n,beta,gamma_over_eta,best_delta,NE_best,NE_base01,impr_vs01_pct
20,3.0,0.1,0.15,0.3864652926419453,0.3990302471990298,3.1488727095962004
20,3.0,0.2,0.1,0.3867829318773056,0.3867829318773056,0.0
20,3.0,0.5,0.1,0.3825806015165556,0.3825806015165556,0.0
20,5.0,0.0,0.05,0.5349406986072526,0.6213310703952537,13.90408043380878
20,5.0,0.05,0.05,0.5275452206903172,0.6068457869146687,13.067663636182145
20,5.0,0.1,0.05,0.5098493497914087,0.5933564249209621,14.073678420298034
20,5.0,0.2,0.05,0.5492575179555134,0.6355927735940867,13.583423101300124
20,5.0,0.5,0.05,0.5613044902959744,0.6467629658854555,13.213260513839645
30,0.8,0.0,1.0,0.256562664296358,0.2653507927718141,3.3118907931861323
30,0.8,0.05,1.0,0.2489582028018697,0.2611935663735644,4.684404651144976
30,0.8,0.1,1.0,0.257364047409805,0.2675581967682026,3.8100680455808327
30,0.8,0.2,0.01,0.2515963784450431,0.2589921816457969,2.8556086727237333
30,0.8,0.5,1.0,0.2482724692295122,0.2546810803976591,2.5163279337987965
30,1.2,0.0,1.0,0.2071790344962071,0.2523397068927466,17.89677611686155
30,1.2,0.05,1.0,0.2114548113272626,0.2607832217477949,18.915484704088097
30,1.2,0.1,1.0,0.2202752642047397,0.2629268335704982,16.22183966031842
30,1.2,0.2,1.0,0.2278842372104679,0.2765708441504536,17.60366574052192
30,1.2,0.5,1.0,0.2187502893133765,0.2822587724639132,22.50009188240774
30,2.0,0.0,0.3,0.2624242344889114,0.2963404560291536,11.445019014516726
30,2.0,0.05,0.3,0.2581887499751574,0.2976360185017681,13.253526480154937
30,2.0,0.1,0.3,0.2665037670113337,0.2945303656292934,9.515690702409609
30,2.0,0.2,0.3,0.24943546387199,0.280447120186976,11.057933593438328
30,2.0,0.5,0.3,0.2531808585032368,0.2893133571604147,12.489053050234249
30,3.0,0.0,0.15,0.3551262965397514,0.3629649923767529,2.159628614779745
30,3.0,0.05,0.15,0.3292687984879159,0.3351912104400973,1.7668756720695131
30,3.0,0.1,0.15,0.3111567363329893,0.314929172859853,1.1978682357707413
30,3.0,0.2,0.15,0.3345122001806977,0.34116814156852,1.9509269995790324
30,3.0,0.5,0.15,0.3433822959261219,0.3546345502195674,3.1729154100971884
30,5.0,0.0,0.05,0.4725260923794561,0.5517516280780871,14.358912899740195
30,5.0,0.05,0.05,0.4636278779290998,0.558001115370615,16.912732760190647
30,5.0,0.1,0.05,0.4368761028551043,0.5266479810053094,17.04589809284773
30,5.0,0.2,0.05,0.4460937997814661,0.5323914329611957,16.20943310446161
30,5.0,0.5,0.05,0.4567066389675207,0.529495451220593,13.746824847178496
50,0.8,0.0,0.01,0.18160542863091,0.1844154245793665,1.5237315180472648
50,0.8,0.05,0.01,0.1807235719169681,0.1838711816542248,1.7118559357365033
50,0.8,0.1,0.01,0.1965763058625006,0.1990081105517076,1.2219626036674314
50,0.8,0.2,0.01,0.1845168282085919,0.1847775194121295,0.14108383117545956
