stratifier,tertile,delta,R_mean_loss,mean_excess_over_l6,n_samples,J1
default_gamma_hat,middle,0.24,0.4164242617190198,0.29172752515051953,660,0.6453094309856472
default_gamma_hat,middle,0.26,0.4277555149195203,0.30305877835102,660,0.6540302094854031
default_gamma_hat,middle,0.28,0.4386703589073614,0.3139736223388611,660,0.6623219450594714
default_gamma_hat,middle,0.3,0.4485689485462759,0.32387221197777566,660,0.6697529011107574
default_gamma_hat,middle,0.32,0.4579755236830629,0.3332787871145626,660,0.6767388888508351
default_gamma_hat,middle,0.34,0.46671724741142084,0.3420205108429206,660,0.6831670713752389
default_gamma_hat,middle,0.36,0.4747927794512628,0.3500960428827626,660,0.689052087618391
default_gamma_hat,middle,0.38,0.4825486442372585,0.35785190766875824,660,0.6946572134781719
default_gamma_hat,middle,0.4,0.49022882674704815,0.36553209017854793,660,0.7001634285986723
default_gamma_hat,middle,0.42,0.4971351484856262,0.37243841191712596,660,0.7050781151657072
default_gamma_hat,middle,0.44,0.5037035722223161,0.37900683565381577,660,0.7097207706008865
default_gamma_hat,middle,0.46,0.5100119494638566,0.3853152128953564,660,0.7141512091034059
default_gamma_hat,middle,0.48,0.5162068902550837,0.3915101536865834,660,0.7184753929363786
default_gamma_hat,middle,0.5,0.5222002875837096,0.3975035510152093,660,0.7226342695885033
default_gamma_hat,high,0.0,0.9410011640814467,0.3981019640908621,680,0.9700521450321352
default_gamma_hat,high,0.02,0.6142416784402543,0.07134247844966986,680,0.7837357197679932
default_gamma_hat,high,0.04,0.646505786860762,0.1036065868701775,680,0.8040558356611573
default_gamma_hat,high,0.06,0.6722047930746342,0.12930559308404965,680,0.8198809627468089
default_gamma_hat,high,0.08,0.6929520820648721,0.1500528820742876,680,0.8324374343245696
default_gamma_hat,high,0.1,0.7102173272874247,0.16731812729684015,680,0.8427439274699193
default_gamma_hat,high,0.12,0.7249854354632651,0.18208623547268057,680,0.8514607656629077
default_gamma_hat,high,0.14,0.7378888888151998,0.1949896888246152,680,0.8590045918475638
default_gamma_hat,high,0.16,0.7493498208879531,0.20645062089736863,680,0.865649941308814
default_gamma_hat,high,0.18,0.759662308594785,0.21676310860420056,680,0.8715860878850609
