n,fold,seed,route,n_rows,target_mse,static_local_mse,cross_term,nonlinear_remainder_mse,u_parallel_energy,u_perp_energy,sensitivity_angle_deg,sensitivity_norm_ratio,mean_exact_compensation,square_identity_max_abs_error,stored_relative_error_max_abs_difference
15,3,42,Q,2400,0.022581198797207845,57.64858430382599,-115.01361536137136,57.38761225634261,9.78143119299968,105.91529421175274,27.679788752461256,1.188453692607969,0.9332136338820631,4.547473508864641e-13,1.0703070840722972e-07
15,3,2026,P,2400,0.024083396510937084,0.02433168465561549,-0.0004393205714774063,0.0001910324267989997,0.006856364718477137,0.03585551669139522,3.8113386474686917,1.0026614089258514,0.3238382568656751,3.29136674512287e-16,1.4869207687340236e-07
15,3,2026,M95,2400,0.03573446780752176,0.016884133360852496,0.005283048371169086,0.013567286075500172,0.005452443638179229,0.9239745787582816,22.089368753928763,0.9112899424966986,0.8543023971223866,2.220446049250313e-16,7.729024487090896e-08
15,3,2026,Q,2400,0.022703767556478547,60.6991375410508,-121.16240128103384,60.48596750753951,10.934054412908134,119.34354463536353,27.90324565717904,1.1937491538462022,0.9307547808278642,2.2737367544323206e-13,9.873194795062545e-08
15,3,3407,P,2400,0.0251803365481853,0.02601268615800239,-0.0010371237739018235,0.0002047741640847364,0.006721856735033714,0.036890497243757044,3.7339176987457683,1.0025057956197474,0.35620296369401494,7.4571425423552995e-16,1.4986109686532245e-07
15,3,3407,M95,2400,0.035704114818128685,0.01712889943777945,0.004754067163172669,0.013821148217176574,0.0054964317761370205,0.9208438412836866,21.650207123323835,0.9127741754012042,0.8552523276875602,1.1102230246251565e-16,8.663947692610918e-08
15,3,3407,Q,2400,0.022731360462565908,79.70517814536446,-159.17391402680252,79.49146724190064,12.89922542324847,140.36044000440987,27.94804177217653,1.1948589590409764,0.931996573051335,4.547473508864641e-13,9.55621382026095e-08
20,1,42,P,2400,0.01445190471308307,0.014410115108287413,-5.534145095284576e-05,9.713105574850178e-05,0.004637223946091534,0.025887888332176087,3.159519994502689,1.0019496542479158,0.3303791618477578,1.0495077029659683e-16,7.030343245062465e-08
20,1,42,M95,2400,0.022455646396843332,0.009698213336773143,0.0024252691197390033,0.010332163940331188,0.00383534906261143,0.8377216009168175,21.119007011310515,0.919343942195808,0.8624414833150028,7.632783294297951e-17,3.240533719139904e-08
20,1,42,Q,2400,0.013995175959686194,56.04631491433317,-111.98487002684269,55.9525502884692,10.917711892844796,116.14546460637413,27.963360450184318,1.1957436781184376,0.9411522267589464,2.2737367544323206e-13,6.320739598386638e-08
