comparison,test_n,representation,train_n,n_seeds,mean_effect_J1,ci_low_J1,ci_high_J1,mean_effect_regret,ci_low_regret,ci_high_regret,per_seed_J1_effects,per_seed_regret_effects
J_minus_S,20,F13,"7,10,20",3,0.012120022201924338,0.007349233751049945,0.0168077560869686,0.0094979729544506,0.005294775246721996,0.014171125720183156,"[0.01694068111469882, 0.006842831600403498, 0.012576553890670694]","[0.0132699589876249, 0.005345479319658699, 0.0098784805560682]"
J_minus_S,20,RAW,"7,10,20",3,0.01211559715486619,0.009537509315360371,0.0142741326513213,0.009536205031311298,0.007110813552219485,0.011962543243642853,"[0.015045679742550777, 0.012281387948202493, 0.0090197237738453]","[0.011867847833098001, 0.009669190659459297, 0.007071576601376597]"
L_minus_S,7,F12,"10,20",3,-0.009548730575994405,-0.018419842144038107,-0.00011025210635951213,-0.012298411292295563,-0.02504162478007512,-0.00020815755251677983,"[-0.007992411289139634, -0.006705683928312056, -0.013948096510531527]","[-0.010275569537129894, -0.008615139758352, -0.018004524581404793]"
L_minus_S,7,F13,"10,20",3,-0.0025691671372700675,-0.009024270287502016,0.004707451614400983,-0.0033443688032989,-0.012313730326879274,0.005772944110722502,"[-0.0038258745058866728, -0.0130362041830685, 0.00915457727714497]","[-0.004934391361518797, -0.016906425825821803, 0.0118077107774439]"
L_minus_S,7,RAW,"10,20",3,0.11443091983196234,0.08251072015978746,0.15116291965364245,0.1610157779305321,0.11206383214245019,0.21596980300206625,"[0.1132885499423204, 0.11537303394737486, 0.11463117560619174]","[0.1590379692218073, 0.16381385841162577, 0.1601955061581632]"
L_minus_S,10,F12,"7,20",3,0.011699924795497271,0.007356230592523199,0.015775358350851323,0.012544605086365868,0.007735367059128256,0.01725714798316268,"[0.013583471566796068, 0.009296021222111595, 0.012220281597584148]","[0.014571096997617203, 0.009966686118487701, 0.013096032142992702]"
L_minus_S,10,F13,"7,20",3,0.01120443577759563,0.005305442919253969,0.017107594046387137,0.012006710203655431,0.00555606796322693,0.019071106351588037,"[0.00774184710863135, 0.016518000875710093, 0.009353459348445448]","[0.008309468914158395, 0.017680417623362102, 0.010030244073445799]"
L_minus_S,10,RAW,"7,20",3,0.06570848617375417,0.04457330318679839,0.08847760835974064,0.07428897517740067,0.049917795552022345,0.09913000475086917,"[0.07813301989923227, 0.05124196343143517, 0.06775047519059507]","[0.0888501504465148, 0.057625411723722195, 0.076391363361965]"
L_minus_S,20,F12,"7,10",3,0.029210572423725805,0.017924571932630463,0.03990993587138108,0.023480272876592833,0.012987310789307559,0.03518137279293741,"[0.034692289980952584, 0.02195954288013041, 0.030979884410094416]","[0.028033624951786996, 0.0174983496271433, 0.0249088440508482]"
L_minus_S,20,F13,"7,10",3,0.08230741996644414,0.052848437393811835,0.11258093187062677,0.07086945807444127,0.04432072483782505,0.0998559345629579,"[0.11993192709068101, 0.0649985215223094, 0.06199181128634201]","[0.10629690710993621, 0.05455554214609799, 0.051755924967289604]"
