seed,family,representation,test_n,train_n,model_J1,specialist_J1,transfer_cost_J1,rel_transfer_cost,model_mean_regret,specialist_mean_regret,delta_mean_regret
2026,J,F13,7,"7,10,20",0.6368389309860208,0.6549593810253181,-0.018120450039297298,-0.027666524923927814,0.0616283920195003,0.0850363587931504,-0.023407966773650098
2026,J,F12,7,"7,10,20",0.646364653622431,0.6457287614418014,0.0006358921806296491,0.0009847666986519405,0.0738518334525277,0.0730302013532454,0.0008216320992823073
2026,J,RAW,7,"7,10,20",0.6429121759214561,0.6522447936926602,-0.009332617771204088,-0.01430845882014299,0.0694006339481438,0.0814878388992634,-0.012087204951119604
2026,L,F13,7,"10,20",0.6419231768422496,0.6549593810253181,-0.0130362041830685,-0.019903836116769158,0.0681299329673286,0.0850363587931504,-0.016906425825821803
2026,L,F12,7,"10,20",0.6390230775134893,0.6457287614418014,-0.006705683928312056,-0.010384675933188134,0.0644150615948934,0.0730302013532454,-0.008615139758352
2026,L,RAW,7,"10,20",0.767617827640035,0.6522447936926602,0.11537303394737486,0.17688609409083147,0.2453016973108892,0.0814878388992634,0.16381385841162577
2026,T,F13,7,10,0.6821141175584158,0.6549593810253181,0.027154736533097634,0.04146018412712519,0.1213442373725789,0.0850363587931504,0.03630787857942851
2026,T,F13,7,20,0.8102508446502844,0.6549593810253181,0.15529146362496626,0.2371009075125581,0.3125709992565819,0.0850363587931504,0.22753464046343147
2026,T,F12,7,10,0.647369384222668,0.6457287614418014,0.0016406227808666296,0.0025407305339836513,0.0751516876289188,0.0730302013532454,0.0021214862756734065
2026,T,F12,7,20,0.6859040713585548,0.6457287614418014,0.04017530991675344,0.06221700552264217,0.1265289631063239,0.0730302013532454,0.053498761753078494
2026,T,RAW,7,10,0.7487549907299765,0.6522447936926602,0.09651019703731634,0.14796622061316483,0.2166986041431298,0.0814878388992634,0.13521076524386638
2026,T,RAW,7,20,0.7673629599252043,0.6522447936926602,0.11511816623254412,0.17649533939674214,0.2449104802652534,0.0814878388992634,0.16342264136599
2026,J,F13,10,"7,10,20",0.5335921612994073,0.5269273625003338,0.006664798799073557,0.012648420396026283,0.0417260990526921,0.0346579498040776,0.007068149248614507
2026,J,F12,10,"7,10,20",0.5433709022809152,0.5314246746997845,0.01194622758113073,0.022479625335198188,0.0522574418980952,0.0394176893322912,0.012839752565803997
2026,J,RAW,10,"7,10,20",0.5399827567094536,0.536666329940759,0.0033164267686945914,0.006179681086124188,0.0485868819960604,0.045016254144603,0.0035706278514573975
2026,L,F13,10,"7,20",0.5434453633760439,0.5269273625003338,0.016518000875710093,0.031347775900894936,0.0523383674274397,0.0346579498040776,0.017680417623362102
2026,L,F12,10,"7,20",0.5407206959218961,0.5314246746997845,0.009296021222111595,0.01749264131810055,0.0493843754507789,0.0394176893322912,0.009966686118487701
2026,L,RAW,10,"7,20",0.5879082933721942,0.536666329940759,0.05124196343143517,0.0954819793466298,0.1026416658683252,0.045016254144603,0.057625411723722195
2026,T,F13,10,7,0.5771272052009667,0.5269273625003338,0.050199842700632935,0.09526899962535375,0.0900813154355981,0.0346579498040776,0.0554233656315205
2026,T,F13,10,20,0.6661027746599301,0.5269273625003338,0.13917541215959628,0.26412637123111654,0.2006984108621769,0.0346579498040776,0.1660404610580993
2026,T,F12,10,7,0.5478908823111681,0.5314246746997845,0.01646620761138362,0.030985026468117623,0.0571899233722296,0.0394176893322912,0.017772234039938398
2026,T,F12,10,20,0.5551186450901351,0.5314246746997845,0.023693970390350594,0.04458575508134983,0.0651622145792267,0.0394176893322912,0.025744525246935504
2026,T,RAW,10,7,0.5844331191072386,0.536666329940759,0.047766789166479584,0.08900649528684317,0.098567575161935,0.045016254144603,0.053551321017331996
2026,T,RAW,10,20,0.664008811045986,0.536666329940759,0.12734248110522695,0.2372842751645774,0.1979132055992232,0.045016254144603,0.1528969514546202
2026,J,F13,20,"7,10,20",0.3940111330265899,0.3871683014261864,0.006842831600403498,0.017674049180155013,0.0256580677255192,0.0203125884058605,0.005345479319658699
2026,J,F12,20,"7,10,20",0.410304885765452,0.3874426757543218,0.022862210011130202,0.059007980900966046,0.0387633940596227,0.0205251217722906,0.018238272287332102
2026,J,RAW,20,"7,10,20",0.3997928894848924,0.3875115015366899,0.012281387948202493,0.03169296369140073,0.0302476492593015,0.0205784585998422,0.009669190659459297
