run_id,phase,seed,representation,family,train_n,test_n,status,n_iter,param_count,J1,J1_hindsight,J1_minus_hindsight,mean_curve_rmse,mean_regret,median_regret,p95_regret,near5_hit,elapsed_s,time_iso
RAW_T_20to7-10_seed42,explore,42,RAW,T,20,"7,10",completed,144,46409,0.7122866116898987,0.541724066083185,0.1705625456067137,0.6241835761289503,0.2138872534189774,0.0968996515483248,0.7560065381986659,0.1696666666666666,19.0,2026-07-19T17:22:39+00:00
RAW_L_hold7_seed42,explore,42,RAW,L,"10,20",7,completed,79,46409,0.7585597346658063,0.5864600855982591,0.1720996490675471,1.2778830173566342,0.2314774390563409,0.079226678677887,0.8395230665208621,0.2393333333333333,20.9,2026-07-19T17:23:00+00:00
RAW_L_hold10_seed42,explore,42,RAW,L,"7,20",10,completed,66,46409,0.6076491051257942,0.4929447185511582,0.114704386574636,0.9213293170471452,0.1262429394126979,0.0388226718306919,0.5308209908421381,0.279,18.0,2026-07-19T17:23:18+00:00
RAW_L_hold20_seed42,explore,42,RAW,L,"7,10",20,completed,67,46409,0.5313766561153271,0.3599815345588963,0.1713951215564308,0.5527645888356627,0.1527744454409287,0.0165347495983692,0.6978600961082017,0.364,18.5,2026-07-19T17:23:37+00:00
F13_J_seed2026,confirm,2026,F13,J,"7,10,20","7,10,20",completed,102,46426,0.5308889374023182,0.4887114461420549,0.0421774912602633,0.1634961605248661,0.0430041862659039,0.0067103147981249,0.1905843504691124,0.4511111111111111,40.7,2026-07-19T21:46:38+00:00
F13_S_7to7_seed2026,confirm,2026,F13,S,7,7,completed,39,46426,0.6549593810253181,0.5864600855982591,0.068499295427059,0.2705199920265561,0.0850363587931504,0.0264174659798457,0.3276104067185878,0.3593333333333333,5.4,2026-07-19T21:46:43+00:00
F13_S_10to10_seed2026,confirm,2026,F13,S,10,10,completed,120,46426,0.5269273625003338,0.4929447185511582,0.0339826439491756,0.1637531826880733,0.0346579498040776,0.0045873695003336,0.1677342427240058,0.5033333333333333,16.0,2026-07-19T21:46:59+00:00
F13_S_20to20_seed2026,confirm,2026,F13,S,20,20,completed,160,46426,0.3871683014261864,0.3599815345588963,0.0271867668672901,0.0873655645031907,0.0203125884058605,0.0023764606383693,0.095882400285184,0.5043333333333333,20.8,2026-07-19T21:47:20+00:00
F13_T_7to10-20_seed2026,confirm,2026,F13,T,7,"10,20",completed,39,46426,0.5200120087898314,0.4316139483212159,0.0883980604686155,0.4285718687034912,0.0841218889002065,0.0304502887196603,0.3127283432997662,0.2705,5.9,2026-07-19T21:47:26+00:00
F13_T_10to7-20_seed2026,confirm,2026,F13,T,10,"7,20",completed,120,46426,0.5802682065764178,0.4865809990244663,0.0936872075519514,0.482453637371252,0.0999501229517645,0.0308852974202007,0.3612494285181684,0.3036666666666666,16.3,2026-07-19T21:47:43+00:00
F13_T_20to7-10_seed2026,confirm,2026,F13,T,20,"7,10",completed,160,46426,0.7416870423791145,0.541724066083185,0.1999629762959295,0.4515186081910488,0.2566347050593794,0.0703384559582566,1.1090937015386395,0.2643333333333333,21.2,2026-07-19T21:48:04+00:00
F13_L_hold7_seed2026,confirm,2026,F13,L,"10,20",7,completed,149,46426,0.6419231768422496,0.5864600855982591,0.0554630912439905,0.246306359304937,0.0681299329673286,0.0058270534081544,0.2758650055449046,0.516,38.3,2026-07-19T21:48:42+00:00
F13_L_hold10_seed2026,confirm,2026,F13,L,"7,20",10,completed,72,46426,0.5434453633760439,0.4929447185511582,0.0505006448248857,0.2120294832356643,0.0523383674274397,0.0103684995600278,0.2087744599750562,0.4366666666666666,19.2,2026-07-19T21:49:02+00:00
F13_L_hold20_seed2026,confirm,2026,F13,L,"7,10",20,completed,37,46426,0.4521668229484958,0.3599815345588963,0.0921852883895995,0.1583166428765948,0.0748681305519585,0.0221624539794971,0.3214020679200513,0.3473333333333333,10.1,2026-07-19T21:49:12+00:00
F12_J_seed2026,confirm,2026,F12,J,"7,10,20","7,10,20",completed,51,46452,0.542029919894041,0.4887114461420549,0.0533184737519861,0.1865146034297277,0.0549575564700819,0.0151387818873023,0.2191240693066479,0.3744444444444444,22.5,2026-07-19T21:49:34+00:00
F12_S_7to7_seed2026,confirm,2026,F12,S,7,7,completed,51,46452,0.6457287614418014,0.5864600855982591,0.0592686758435422,0.2457418834522164,0.0730302013532454,0.0048346324915304,0.2766644755318775,0.5246666666666666,7.5,2026-07-19T21:49:42+00:00
F12_S_10to10_seed2026,confirm,2026,F12,S,10,10,completed,81,46452,0.5314246746997845,0.4929447185511582,0.0384799561486263,0.1592431264989964,0.0394176893322912,0.006137765914851,0.1777616374243978,0.478,11.7,2026-07-19T21:49:54+00:00
