beta,eta,gamma,gamma_over_eta,n,repeat_id,delta,beta_hat,eta_hat,gamma_hat,r_squared,converged,status,loss
1.5,1000.0,100.0,0.1,7,38,0.64,1.4629044111368843,1023.2315291117078,93.93451091695331,0.9343518049196986,True,success,0.0011880864196186
1.5,1000.0,100.0,0.1,7,38,0.66,1.4543780549548646,1018.0732808984432,97.83647736254602,0.9321549526927604,True,success,0.001256374032504
1.5,1000.0,100.0,0.1,7,38,0.68,1.446256204719409,1013.0279458371704,101.6100491793038,0.9298662704498772,True,success,0.0014560509782791
1.5,1000.0,100.0,0.1,7,38,0.7,1.4385178453039449,1008.0840575284582,105.26507741049096,0.9274786408432156,True,success,0.001773097624515
1.5,1000.0,100.0,0.1,7,38,0.72,1.4311436937526256,1003.2309660220186,108.81065438961735,0.9249842965738174,True,success,0.002195262732223
1.5,1000.0,100.0,0.1,7,38,0.74,1.4241165868455758,998.4585923143156,112.2552120103872,0.9223745999381788,True,success,0.0027118072221685
1.5,1000.0,100.0,0.1,7,38,0.76,1.4174212035880376,993.7573502564176,115.60660901055272,0.9196399439940844,True,success,0.003313318083673
1.5,1000.0,100.0,0.1,7,38,0.78,1.4110438757737118,989.1180630087875,118.8722091477001,0.916769622918632,True,success,0.0039915510696231
1.5,1000.0,100.0,0.1,7,38,0.8,1.4049724789621632,984.5318720928448,122.05895241282546,0.9137516636247416,True,success,0.0047392958089907
1.5,1000.0,100.0,0.1,7,38,0.82,1.399196341915961,979.99015085826,125.17342069384506,0.9105726257168268,True,success,0.0055502629423817
1.5,1000.0,100.0,0.1,7,38,0.84,1.39370617932934,975.4844185927302,128.22189953095324,0.9072173602840146,True,success,0.0064189899283234
1.5,1000.0,100.0,0.1,7,38,0.86,1.3884941035676772,971.006240261334,131.2104374782511,0.90366869935581,True,success,0.0073407583732232
1.5,1000.0,100.0,0.1,7,38,0.88,1.383553217792214,966.5472215459738,134.14490448914557,0.8999072211936764,True,success,0.0083115642606659
1.5,1000.0,100.0,0.1,7,38,0.9,1.3788817941890903,962.0979755013444,137.03105100258404,0.8959093930029012,True,success,0.0093276932122765
1.5,1000.0,100.0,0.1,7,38,0.92,1.374469174035203,957.6511762232476,139.87456939445775,0.8916518209619296,True,success,0.0103869545007363
1.5,1000.0,100.0,0.1,7,38,0.94,1.3703144282039457,953.19726261552,142.68116042587516,0.8871043688790274,True,success,0.0114869988073441
1.5,1000.0,100.0,0.1,7,38,0.96,1.3664202613452583,948.7257008869173,145.45660672728445,0.8822310589734691,True,success,0.0126258219909497
1.5,1000.0,100.0,0.1,7,38,0.98,1.3627851939547402,944.2265675864094,148.20685731540803,0.8769920451850689,True,success,0.0138025337434384
1.5,1000.0,100.0,0.1,7,38,1.0,1.3594116352143175,939.6885873256048,150.93812768402003,0.8713392865699676,True,success,0.0150166430454511
1.5,1000.0,100.0,0.1,7,39,0.48,1.6365342190981682,1177.707556667376,2.9517150420494787,0.9463411368087238,True,success,0.0492834977476333
1.5,1000.0,100.0,0.1,7,39,0.5,1.6219594497481258,1169.415847456568,9.79272127277322,0.9440314055920276,True,success,0.0434497968971834
1.5,1000.0,100.0,0.1,7,39,0.52,1.6082169243582267,1161.434412584094,16.312236201120076,0.9416330129241244,True,success,0.0382695570282748
