beta,eta,gamma,gamma_over_eta,n,repeat_id,default_loss,base_l6_delta,base_l6_loss,loss_048,loss_050,new_grid_best_delta,new_grid_best_loss,extended_l6_loss,extended_l6_delta,loss_reduction,at_new_upper_boundary
1.5,1000.0,100.0,0.1,7,269,0.6014542302089384,0.5,0.14271981578145138,0.1476762294626227,0.14271981578145138,0.78,0.1188801355820402,0.1188801355820402,0.78,0.02383968019941117,False
1.5,1000.0,100.0,0.1,7,275,0.7788593514257941,0.5,0.24956914944440473,0.2635636351993395,0.24956914944440473,0.66,0.1799360310880167,0.1799360310880167,0.66,0.06963311835638802,False
1.5,1000.0,100.0,0.1,7,276,0.08491280100445336,0.5,0.025569722982552584,0.028077798024437512,0.025569722982552584,0.86,0.0087173737221702,0.0087173737221702,0.86,0.016852349260382385,False
1.5,1000.0,100.0,0.1,7,288,0.30917233470768846,0.5,0.3047373644446028,0.30854876245851864,0.3047373644446028,1.0,0.2746839586894233,0.2746839586894233,1.0,0.030053405755179508,True
1.5,1000.0,100.0,0.1,7,296,0.8161153137449798,0.5,0.3310085717110377,0.3492062558867212,0.3310085717110377,0.72,0.2046394146789686,0.2046394146789686,0.72,0.1263691570320691,False
1.5,1000.0,100.0,0.1,10,7,0.37154236011604874,0.5,0.06571371832749007,0.07103605833984727,0.06571371832749007,0.7,0.0447114841502428,0.0447114841502428,0.7,0.021002234177247267,False
1.5,1000.0,100.0,0.1,10,8,0.4134759521750472,0.5,0.23451140453466487,0.23665005207426174,0.23451140453466487,1.0,0.2181370399045533,0.2181370399045533,1.0,0.016374364630111576,True
1.5,1000.0,100.0,0.1,10,12,0.3894566545470605,0.5,0.10968926354177498,0.11005745163874925,0.10968926354177498,0.52,0.1096839108419723,0.1096839108419723,0.52,5.352699802674277e-06,False
1.5,1000.0,100.0,0.1,10,13,0.11715469358150599,0.5,0.01996297052273014,0.021932258064491127,0.01996297052273014,0.78,0.0095552554906527,0.0095552554906527,0.78,0.010407715032077441,False
1.5,1000.0,100.0,0.1,10,14,0.3870460080908319,0.5,0.11259378148583735,0.11340124583929578,0.11259378148583735,0.54,0.1121308373928268,0.1121308373928268,0.54,0.0004629440930105505,False
1.5,1000.0,100.0,0.1,10,16,0.2618171031509003,0.5,0.16114688844855088,0.16339366423066684,0.16114688844855088,1.0,0.1307018301574254,0.1307018301574254,1.0,0.030445058291125482,True
1.5,1000.0,100.0,0.1,10,19,0.6700444906469581,0.5,0.531316524794092,0.5538905516591216,0.531316524794092,1.0,0.1692274277583493,0.1692274277583493,1.0,0.36208909703574266,True
