R,target,beta,gamma_over_eta,s_beta,s_eta,s_gamma,s_norm,W_bb,W_be,W_bg,W_ee,W_eg,W_gg,rank
0.9,B10,3.5,1.0,0.2215501173613175,0.34457726138900235,0.6554227386109976,0.7729145553406913,0.049084454502813554,0.07634113270077485,0.14520898466054266,0.11873348906634486,0.2258437723226575,0.42957896628834014,1
0.9,B10,4.0,0.1,0.47858911291913514,0.8506862095099853,1.493137904900147,1.7838652889455502,0.2290475390047247,0.4071291583819254,0.7145995453720974,0.7236670270504666,1.2701918245951869,2.2294608030496,1
0.9,B10,4.0,0.25,0.3910135418249266,0.6950217185954327,1.2199131256182691,1.4574411868976247,0.1528915898904736,0.2717629038332476,0.477002551966716,0.4830551893193489,0.8478661171043355,1.488188034055735,1
0.9,B10,4.0,0.5,0.299632221774659,0.5325925561361609,0.9348148877276783,1.1168317570227755,0.08977946832561842,0.15958189089572267,0.2801006617578726,0.28365483085164966,0.4978754505690224,0.8738788743173118,1
0.9,B10,4.0,0.75,0.2428721065260706,0.43170215560519426,0.7577304591930744,0.9052673970002066,0.05898686012841099,0.10484841192367905,0.18403159280318876,0.18636675115417137,0.3271138726013639,0.5741554487889473,1
0.9,B10,4.0,1.0,0.20419156453622425,0.3629479721963167,0.6370520278036833,0.7610917892593208,0.041694195027751034,0.07411091428801593,0.13008065024820833,0.13173123052141827,0.23121674167489842,0.4058352861287849,1
0.9,B10,4.5,0.1,0.42929677761186735,0.858453407053569,1.4154659294643097,1.7101993371604598,0.1842957232679331,0.3685312813780258,0.6076549623384149,0.7369422520818806,1.2151115497168834,2.0035437974742623,1
0.9,B10,4.5,0.25,0.35411179949986415,0.7081079957077352,1.1675680171690592,1.4106832298026182,0.125395166545032,0.2507493966003082,0.41344961159822385,0.5014169335852259,0.826764248490037,1.3632150747160885,1
0.9,B10,4.5,0.5,0.27410325191528423,0.5481170201186104,0.9037659597627792,1.0919513590266632,0.07513259271053377,0.15024065764462638,0.2477251885413157,0.3004322677437052,0.4953695047498105,0.8167929100259373,1
0.9,B10,4.5,0.75,0.2235859167541055,0.44709884167891706,0.7372015444281106,0.8907043019479555,0.049990662170773796,0.09996500439647935,0.16482788314350152,0.19989737423062934,0.32960195659771696,0.5434661171071915,1
0.9,B10,4.5,1.0,0.18879155945314333,0.3775214860383503,0.6224785139616498,0.7520932293840026,0.035642252920749753,0.07127287007624823,0.11751868937689511,0.1425224724206043,0.234999013617746,0.3874795003439038,1
0.9,B10,5.0,0.1,0.38905328239299486,0.8644217272244858,1.355782727755141,1.6543077657792995,0.1513624565407634,0.33630611034850827,0.5274717204448658,0.7472249224977634,1.1719680472672238,1.838146804879171,1
0.9,B10,5.0,0.25,0.3233038217841652,0.7183356642719267,1.126657342912293,1.374732067016488,0.10452536118024727,0.23224066558298095,0.36425262480473714,0.5160061265649902,0.8093181508277459,1.2693567683381883,1
0.9,B10,5.0,0.5,0.25225311555580304,0.5604709784359123,0.8790580431281756,1.0726147468522218,0.06363163430760932,0.1413805504890682,0.22174513013346978,0.3141277176689089,0.492686521534007,0.7727430431883374,1
0.9,B10,5.0,0.75,0.2068047670890774,0.45949113413421916,0.7206784878210413,0.8793621534082197,0.042768211690767555,0.09502495697412322,0.14903974681993895,0.211132102347951,0.3311453757150243,0.5193774828080228,1
0.9,B10,5.0,1.0,0.17523308788990105,0.3893432991208091,0.610656700879191,0.7451150555386485,0.030706635091429787,0.06822582855418077,0.10700725933572029,0.15158820457027583,0.2377550945505333,0.37290160632865776,1
0.95,B5,1.5,0.1,1.1483218775559567,0.5799224198777525,4.200775801222475,4.393343883613805,1.3186431344736376,0.6659376020308146,4.823842755251421,0.33631001307686825,2.4361240680088425,17.646517332136327,1
0.95,B5,1.5,0.25,0.7044416573933199,0.3557552273476753,2.576979090609299,2.695110584724451,0.4962380486710475,0.2506088019791337,1.8153314216567447,0.12656178178519614,0.9167737822499166,6.640821233437529,1
0.95,B5,1.5,0.5,0.4284287042354333,0.21636390959833066,1.567272180803339,1.6391176238176384,0.18355115461285237,0.09269650943252523,0.6714643896058162,0.0468133413766746,0.3391011364433122,2.456342088720054,1
0.95,B5,1.5,0.75,0.3078194780651895,0.1554541632394988,1.1260611156806684,1.1776809687656542,0.09475283107632568,0.047851819391443284,0.3466235448983283,0.024165996868492735,0.17505088849467473,1.2680136362479915,1
0.95,B5,1.5,1.0,0.24019961613299293,0.1213049628019167,0.8786950371980834,0.9189753631014015,0.057695855590437155,0.029137405500047377,0.21106221063294558,0.014714894000374394,0.10659006880154231,0.7721049683965412,1
0.95,B5,2.0,0.1,1.0302162902172247,0.6937027392724108,3.0629726072758934,3.3052035168844704,1.061345604628941,0.7146638625667497,3.1555242765047513,0.48122349047404633,2.1247924879836453,9.381801192922484,1
0.95,B5,2.0,0.25,0.7058955021942072,0.4753192588412133,2.0987229646351473,2.2646975383327272,0.4982884600180119,0.3355257269222966,1.4814791010876425,0.2259283978253603,0.9975634440634121,4.404638082286942,1
0.95,B5,2.0,0.5,0.4629792212484516,0.3117500247822121,1.376499950435576,1.4853585260160846,0.21434975930782268,0.14433378369785405,0.6372908751011952,0.09718807795170985,0.4291238936610045,1.894752113549143,1
0.95,B5,2.0,0.75,0.34444655483420467,0.2319352944526342,1.0240862740631544,1.1050747063771467,0.11864342913715276,0.07988931311866666,0.35274298895405065,0.05379398081283013,0.23752175151973876,1.0487526967245542,1
0.95,B5,2.0,1.0,0.27423617831756597,0.18465868761052145,0.8153413123894786,0.8798214410306567,0.07520548149822384,0.05064009278344667,0.2235960855341193,0.03409883091004015,0.1505598567004813,0.6647814556889974,1
0.95,B5,2.5,0.1,0.8945852647705173,0.7529683991810011,2.4703160081899886,2.7330761764776073,0.8002827959445364,0.6735944347451684,2.2099083002534883,0.5669614101651994,1.8600698901580166,6.10246118031972,1
0.95,B5,2.5,0.25,0.6527211419091746,0.5493924533409595,1.8024301866361618,1.9941493260487,0.42604488909521687,0.35860006950099405,1.1764842896327223,0.3018320677879984,0.9902415422118446,3.248754577697269,1
0.95,B5,2.5,0.5,0.44996397779157166,0.37873265902020853,1.242534681959583,1.3746994013932405,0.202467581310014,0.170416053772312,0.5590958480385194,0.14343842700851753,0.470588464023382,1.5438924358724022,1
0.95,B5,2.5,0.75,0.3433178834962951,0.2889691204702865,0.9480411727062845,1.0488814932393715,0.11786716912837567,0.09920826683564468,0.3254794888808672,0.08350315258537096,0.273954623846554,0.8987820651463072,1
0.95,B5,2.5,1.0,0.27753842097358344,0.2336028423241576,0.7663971576758424,0.8479165444500096,0.07702757511651002,0.06483376399358769,0.21270465697999574,0.054570287941925234,0.17903255438223234,0.58736460329361,1
0.95,B5,3.0,0.1,0.7801064749664263,0.787934539203775,2.12065460796225,2.3930279807445487,0.6085661122845435,0.6146728358825523,1.6543363908387394,0.6208408380702652,1.6709370113350974,4.497175966271524,1
0.95,B5,3.0,0.25,0.5918424592173719,0.5977813674790209,1.6088745300839165,1.8155157155448416,0.3502774965324665,0.35379239460310724,0.9522002584570587,0.35734256330508823,0.9617552166957307,2.588477253552743,1
0.95,B5,3.0,0.5,0.422075734476105,0.4263110998634354,1.1473778002731292,1.2947451085290573,0.1781479256335435,0.17993557059017565,0.48428032777185875,0.181741153866772,0.4891398919933268,1.3164758165596047,1
0.95,B5,3.0,0.75,0.32799281564582955,0.33128409563472455,0.8916212058203672,1.0061395598048821,0.10757928711527913,0.10865880330591557,0.29244534978655196,0.10974915202051733,0.29537992481894293,0.7949883746685656,1
0.95,B5,3.0,1.0,0.26820786143911757,0.27089922272848216,0.7291007772715178,0.8227452760305415,0.07193545693774489,0.0726573011935254,0.19555056024559217,0.07338638887489578,0.19751283385358637,0.5315879434179314,1
0.95,B5,3.5,0.1,0.6879029972784482,0.8106068081722902,1.893931918277098,2.171928185320295,0.4732105336646727,0.5576188529560345,1.3028414432241366,0.6570833974552681,1.5352341071702211,3.586978111068768,1
0.95,B5,3.5,0.25,0.5357125364950689,0.6312695700181307,1.4749217199274773,1.6914145771225586,0.28698792175798055,0.3381790225665643,0.7901340557140185,0.3985012700308756,0.9310731999490204,2.175394079913828,1
0.95,B5,3.5,0.5,0.3913937505591697,0.46120810657105993,1.0775837868578801,1.235754345831972,0.15318906797677354,0.18051397061914037,0.42175955988005864,0.21271291756686217,0.4969903780083955,1.1611868176989693,1
0.95,B5,3.5,0.75,0.30833070766627185,0.3633288004147071,0.8488949327803905,0.9734979452474452,0.09506782528998399,0.1120254261474043,0.2617403753584901,0.13200781721079008,0.3084279776052227,0.7206226069002237,1
0.95,B5,3.5,1.0,0.2543513208189668,0.29972090998174866,0.7002790900182514,0.8030678814393156,0.06469459440235296,0.07623440933092042,0.17811691148804637,0.08983262388028748,0.2098882861014612,0.49039080391679024,1
0.95,B5,4.0,0.1,0.6136115664633085,0.8263585589683878,1.7364144103161225,2.0185446804149154,0.37651915449755524,0.5070631698289547,1.065483966343538,0.6828684679803105,1.434900909880774,3.0151350043534877,1
0.95,B5,4.0,0.25,0.48681474556126497,0.6555996555691135,1.3776013777235463,1.6014321905044973,0.23698859649587917,0.31915557951593093,0.6706366641813363,0.4298109083823402,0.9031549887470931,1.8977855559058128,1
0.95,B5,4.0,0.5,0.36210549006318804,0.4876521032480417,1.0246957935039167,1.191186983206567,0.13112038593390157,0.17658150382697652,0.3710479724724231,0.2378045738022387,0.49969505889160604,1.0500014692246216,1
