beta,gamma_over_eta,n,repeat_id,max_feature_rel_diff,max_curve_rel_diff,delta_consistent,selected_delta_0.001,selected_delta_1,selected_delta_1000
1.5,1.0,7,895,5.98427828530986e-15,0.0,True,0.02,0.02,0.02
2.0,0.5,7,260,9.41092455573955e-15,0.0,True,0.14,0.14,0.14
2.5,1.0,20,877,1.5899510982195045e-13,0.0,True,0.12,0.12,0.12
4.0,0.5,10,47,8.327034990251861e-15,0.0,True,0.04,0.04,0.04
5.0,0.5,20,302,8.018946569353929e-13,0.0,True,0.0,0.0,0.0
5.0,0.1,10,973,4.702705951720944e-15,0.0,True,0.0,0.0,0.0
1.5,0.5,10,88,1.1647084135636583e-15,0.0,True,0.24,0.24,0.24
1.5,1.0,10,707,7.519550987176618e-16,0.0,True,0.0,0.0,0.0
2.0,0.1,10,925,8.038840941438643e-16,0.0,True,0.28,0.28,0.28
1.5,0.5,7,719,6.368400085601236e-16,0.0,True,0.0,0.0,0.0
2.5,0.5,20,51,5.356153791173682e-15,0.0,True,0.12,0.12,0.12
5.0,0.1,10,69,1.2995096706083606e-14,0.0,True,0.2,0.2,0.2
1.5,0.5,10,216,1.9948627838468783e-16,0.0,True,0.28,0.28,0.28
2.5,0.1,7,23,3.0222489022647313e-15,0.0,True,0.32,0.32,0.32
1.5,0.1,7,659,2.542302074763384e-15,0.0,True,0.0,0.0,0.0
1.5,0.1,20,383,1.839119669539891e-15,0.0,True,0.34,0.34,0.34
2.0,1.0,7,774,1.713676880723174e-14,0.0,True,0.02,0.02,0.02
2.0,0.1,7,282,5.5510911885514106e-15,0.0,True,0.2,0.2,0.2
1.5,0.1,10,235,2.9591433982861085e-15,0.0,True,0.02,0.02,0.02
1.5,0.5,10,662,1.7270564500937484e-15,0.0,True,0.0,0.0,0.0
5.0,1.0,10,202,9.012928738010351e-15,0.0,True,0.08,0.08,0.08
4.0,0.1,20,10,6.446954611345248e-15,0.0,True,0.0,0.0,0.0
4.0,0.1,7,472,5.702137147876754e-15,0.0,True,0.24,0.24,0.24
2.5,0.5,7,282,1.153541363628006e-13,0.0,True,0.14,0.14,0.14
2.5,1.0,10,951,5.717390712307376e-14,0.0,True,0.08,0.08,0.08
5.0,0.1,10,104,1.7786541279278516e-15,0.0,True,0.28,0.28,0.28
2.0,1.0,20,107,2.5280834844545563e-14,0.0,True,0.2,0.2,0.2
2.5,0.1,7,254,1.3941013202257019e-15,0.0,True,0.0,0.0,0.0
2.5,1.0,20,45,1.4863830941199372e-14,0.0,True,0.0,0.0,0.0
4.0,1.0,10,412,3.7269800360668294e-13,0.0,True,0.06,0.06,0.06
2.0,0.5,20,497,4.3202065395938225e-15,0.0,True,0.42,0.42,0.42
1.5,0.5,7,950,6.901863922298845e-15,0.0,True,0.06,0.06,0.06
1.5,1.0,7,338,4.608473313488082e-15,0.0,True,0.2,0.2,0.2
4.0,0.5,20,396,2.20399543507711e-14,0.0,True,0.08,0.08,0.08
5.0,0.5,7,458,1.6267136995256902e-15,0.0,True,0.16,0.16,0.16
1.5,0.5,20,423,2.6048580744238206e-15,0.0,True,0.46,0.46,0.46
2.0,0.1,10,604,8.909686601275184e-15,0.0,True,0.06,0.06,0.06
2.5,0.1,7,219,8.078119391680603e-15,0.0,True,0.06,0.06,0.06
2.5,1.0,20,530,2.697733060939846e-13,0.0,True,0.02,0.02,0.02
4.0,0.1,20,869,6.363296214056532e-15,0.0,True,0.08,0.08,0.08
1.5,0.1,20,900,3.1762605525001143e-15,0.0,True,0.04,0.04,0.04
2.5,0.1,10,61,1.4333784193141912e-14,0.0,True,0.02,0.02,0.02
2.0,1.0,10,211,5.2782723946016844e-15,0.0,True,0.04,0.04,0.04
1.5,0.1,20,719,3.921564249643361e-14,0.0,True,0.04,0.04,0.04
5.0,0.1,20,939,4.181003402166314e-15,0.0,True,0.02,0.02,0.02
4.0,0.5,10,793,1.4419201730903392e-13,0.0,True,0.04,0.04,0.04
5.0,1.0,10,922,1.7587788063586683e-13,0.0,True,0.02,0.02,0.02
5.0,0.5,20,682,5.148833349482195e-15,0.0,True,0.16,0.16,0.16
2.5,0.5,7,105,2.684421407766458e-15,0.0,True,0.32,0.32,0.32
5.0,0.1,20,213,5.352871073297866e-15,0.0,True,0.0,0.0,0.0
1.5,1.0,10,38,1.2220152219815788e-14,0.0,True,0.1,0.1,0.1
2.5,1.0,7,100,1.7024594742582236e-15,0.0,True,0.0,0.0,0.0
