method,beta_group,beta,gamma_over_eta,n,n_total,n_valid,failure_rate,J1_primary,J1_valid,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,beta_mae,eta_bias,eta_sd,eta_rmse,eta_mae,gamma_bias,gamma_sd,gamma_rmse,gamma_mae,x0.90_bias,x0.90_sd,x0.90_rmse,x0.90_mae,x0.95_bias,x0.95_sd,x0.95_rmse,x0.95_mae,x0.99_bias,x0.99_sd,x0.99_rmse,x0.99_mae
Adaptive-MDM,far_ood,1.0,0.1,15,300,300,0.0,0.4249273626003819,0.4249273626003819,0.7455328499787082,0.9160735095401389,0.056325168263348456,0.2733031135652172,0.27860031315737677,0.21094109594240923,-0.001072502229165811,0.31200596182966306,0.31148736423418616,0.24195554969837701,0.0021134988500898827,0.07704590153488103,0.07694641588513078,0.057941379063062674,0.10871746924681801,0.35057143851895584,0.36648349737243563,0.27198950332033633,0.12383053053594632,0.4153479318017925,0.43275034187931843,0.3002760394640603,0.09292010577173809,0.6186060842399195,0.6245254640314906,0.44954604521523567
Adaptive-MDM,far_ood,1.0,0.1,20,300,300,0.0,0.38299641997491835,0.38299641997491835,0.6831453279879252,0.8333752925799792,0.055962352285233906,0.24656688322421524,0.2524368475807842,0.19002354625583295,0.03711868862520571,0.28031375395527075,0.2822971455155532,0.2204226452820522,-0.00574791874871018,0.05699127517197635,0.05718581407001748,0.04253417470602479,0.09167144599545564,0.3059672433562859,0.31891621915154916,0.24278302965733148,0.08279218447195637,0.31764759839557943,0.32774717276211984,0.23132364893876467,0.01986143565231829,0.44147837264656414,0.4411892484665141,0.31959238723315064
Adaptive-MDM,far_ood,1.0,0.25,7,300,300,0.0,0.6792458804126992,0.6792458804126992,1.2224518681238608,1.5607444641028598,0.05572963731001547,0.4316118886401508,0.4344808996363808,0.33371273019757663,0.04596455913392377,0.48704693513715297,0.48840223381906067,0.37769413424190523,0.014248192722354827,0.18432257127407328,0.18456590126384553,0.1388871192973397,0.14405599177563488,0.4041008767073625,0.42837521200492984,0.2858168373779288,0.14917093469911463,0.4930682680547773,0.514351919407653,0.34497385023735444,0.11573860753658403,0.6460615545169646,0.6552859216087544,0.47727046287395514
Adaptive-MDM,far_ood,1.0,0.25,10,300,300,0.0,0.5478976343263176,0.5478976343263176,0.943118429666338,1.2021982962355964,0.09523285597095903,0.3667212951385531,0.37829290697833984,0.2998775912307803,0.012113921753716308,0.37547684581429713,0.37504621844571784,0.2953438769772087,0.00028925068033867646,0.1283802277225619,0.12816640846890917,0.09327622127873642,0.11389449499885212,0.30831372794750833,0.32819575405916523,0.2113804964071858,0.10851497234978645,0.3404442859453743,0.3567793015541791,0.2354307568349904,0.061942877614088454,0.43453223790196127,0.4382074755683054,0.309066100256186
Adaptive-MDM,far_ood,1.0,0.25,15,300,300,0.0,0.4790445855426469,0.4790445855426469,0.8885029918775209,1.0544005520839623,0.12533510574924037,0.3412884918577201,0.36304058169683356,0.27601303885146833,0.012319965390650799,0.29492186170550233,0.2946875572150276,0.23316282017110845,-0.017135415292679146,0.10288906327761684,0.10413690316881365,0.07637465487969358,0.0735839466227761,0.22215679682502526,0.23367440474918785,0.16378383543180575,0.056092216182176975,0.2309201660271531,0.23726085373973796,0.16248091473354467,-0.003902975014618401,0.3169695068683816,0.3164648520832424,0.2368610759519791
Adaptive-MDM,far_ood,1.0,0.25,20,300,300,0.0,0.400684471905084,0.400684471905084,0.7978175668241163,0.9603507790463373,0.0882234594232225,0.2762753043961362,0.28958072414967145,0.21608159043416061,0.02718578344042512,0.2677485432510283,0.26868082357996315,0.20816017573311094,-0.005988727814497741,0.06693830139521582,0.06709445034576732,0.04878809421598429,0.07230641494986921,0.1792834999606561,0.1930379472794182,0.1442652108446486,0.05992836922777099,0.15988192539058013,0.17049466874757035,0.12344408983562741,0.01837208762126176,0.20142041341773448,0.20192197156772337,0.15180747680661516
Adaptive-MDM,far_ood,1.0,0.5,7,300,300,0.0,0.7580427259219574,0.7580427259219574,1.3742019689679905,1.8466535245031999,0.15306038151837686,0.5399965345836951,0.5604032032638728,0.4052084428916558,0.023459413348664734,0.4699541199374853,0.46975635103536295,0.3704258229921606,-0.0012287572608466106,0.20009483933394479,0.19976484865141567,0.143825148544122,0.09764360416274055,0.24654895890846404,0.2647981141843876,0.17645685463269706,0.08954497318905197,0.2692110615708409,0.28328663207068816,0.1898991061494592,0.05147420175414153,0.3315747190489622,0.3349998732998511,0.23733192254417115
Adaptive-MDM,far_ood,1.0,0.5,10,300,300,0.0,0.6672462113655614,0.6672462113655614,1.2341285373303306,1.6089985739091177,0.19345397096086478,0.4534871102105067,0.49233067763835964,0.36489768611967377,0.06832249010595415,0.41532224548080937,0.42022084077327226,0.32390206383482617,-0.018717312955477367,0.1611791342713489,0.1619952327003892,0.11706114857271255,0.08388689252501391,0.20013361520640752,0.2166955540075469,0.1425334315619035,0.06442103418215796,0.20941263580808628,0.21876366892395238,0.1441625016090903,0.015500398155455146,0.2613127161303557,0.26133691569000245,0.18260289710017275
Adaptive-MDM,far_ood,1.0,0.5,15,300,300,0.0,0.4908306405563052,0.4908306405563052,0.9461917171549203,1.1633735490232797,0.10320709417818255,0.32865485283102785,0.3439559126842531,0.262732449036722,0.04693615136983671,0.3326777119332823,0.3354229381778359,0.26068015925861326,-0.010130782056468321,0.10015640429814643,0.10050124567687198,0.07191602152331936,0.05228461758592185,0.12969998588382262,0.13964130461021312,0.10144650128415607,0.03962611223756037,0.12184703715988333,0.12793529706127593,0.09010604555628525,0.009085476948124364,0.1563894601750031,0.15639272234034535,0.11438459697100697
Adaptive-MDM,far_ood,1.0,0.5,20,300,300,0.0,0.3969419157238091,0.3969419157238091,0.7556234397461893,0.9221886958937389,0.062470665747889786,0.27020859858332563,0.2768969035667514,0.2044943872576321,0.012140758527368647,0.2774087009717096,0.2772119527867595,0.21869251335324602,-0.007814279465298665,0.0632201085835838,0.063596560329818,0.04623414255576218,0.027346859262852973,0.10423519613801263,0.10759465710910471,0.07560803318033539,0.02070156891741838,0.08549715151566542,0.08782910677300718,0.06023170871334791,0.002439714002522509,0.0977599298481493,0.09762734969626148,0.0731090791158771
