method,beta_group,beta,n_total,n_valid,failure_rate,J1,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.95_bias,x0.95_sd,x0.95_rmse,beta_abs_bias,beta_abs_sd,beta_abs_rmse,eta_abs_bias,eta_abs_sd,eta_abs_rmse,gamma_abs_bias,gamma_abs_sd,gamma_abs_rmse
Direct-P,seen_grid,2.0,6000,6000,0.0,0.3682532590134253,0.6944668313163374,0.8157006298371071,0.0933547155240733,0.2448750904667099,0.2620475507867574,0.0233098616526166,0.2018049402379346,0.2031299978233555,-0.0352733215936412,0.1563317432183736,0.1602490183587853,0.0380836026198413,0.229402335896142,0.2325231635726355,0.1867094310481466,0.4897501809334199,0.5240951015735148,23.309861652616643,201.80494023793463,203.12999782335555,-35.273321593641256,156.33174321837365,160.24901835878538
Direct-P,seen_grid,2.5,6000,6000,0.0,0.3443399563187655,0.5495920142558658,0.6082262126529634,0.0048283393359115,0.2318510267471847,0.2318819792797603,-0.0109416450332212,0.1941717932896322,0.1944636755912523,-0.0083751116525711,0.1640700340685967,0.1642699974993921,0.010665288002436,0.1811384542348834,0.1814370950150788,0.0120708483397787,0.579627566867962,0.579704948199401,-10.941645033221258,194.17179328963235,194.46367559125235,-8.375111652571103,164.07003406859673,164.26999749939216
Direct-P,seen_grid,3.0,6000,6000,0.0,0.3297703184458216,0.5283816658454192,0.5780616518361084,-0.0595790290179281,0.2073694473489737,0.2157419323588306,-0.0321916396209615,0.1839369692855861,0.1867176251188075,0.019965324733697,0.1641532420515035,0.1653493574826609,-1.3320643471510668e-05,0.1539654718010298,0.1539526413866791,-0.1787370870537843,0.6221083420469212,0.6472257970764921,-32.19163962096158,183.9369692855862,186.71762511880755,19.965324733697077,164.15324205150355,165.34935748266102
Direct-P,seen_grid,3.5,6000,6000,0.0,0.3277523208940425,0.5643426015493457,0.6131525308777208,-0.1144596421928904,0.1814985804327811,0.2145629373888294,-0.0597385979740776,0.172423953373713,0.1824657907160846,0.0483666841933948,0.1604852685323541,0.1676024014412166,-0.0085093368391611,0.1332353193593818,0.1334956947989383,-0.4006087476751166,0.6352450315147342,0.750970280860903,-59.73859797407762,172.42395337371303,182.46579071608463,48.366684193394825,160.48526853235416,167.6024014412167
Direct-P,seen_grid,4.0,6000,6000,0.0,0.3384674670780622,0.5830150791737979,0.6362142635474884,-0.1664565862678444,0.1550451274187127,0.2274703940068681,-0.0804436612250584,0.1643059748098045,0.1829293212708095,0.0684151060044758,0.1570916795261903,0.1713309941020603,-0.0215844136504369,0.1189855612614801,0.1209177038624941,-0.6658263450713778,0.6201805096748509,0.9098815760274724,-80.44366122505845,164.30597480980455,182.9293212708096,68.41510600447585,157.0916795261904,171.33099410206037
Direct-P,seen_grid,4.5,6000,6000,0.0,0.3627223329269027,0.6028027512640518,0.6517224368035632,-0.2161463270145408,0.1328927217832729,0.2537257708082869,-0.1009030594425333,0.1583142282625943,0.1877249185451038,0.0904108971587491,0.1542073668231303,0.1787458502704598,-0.0294150615997767,0.1051630944695841,0.1091910210346876,-0.9726584715654338,0.5980172480247282,1.1417659686372914,-100.90305944253336,158.3142282625944,187.72491854510383,90.41089715874917,154.2073668231304,178.74585027045987
Direct-P,seen_grid,5.0,6000,6000,0.0,0.394886173087405,0.6213472479739711,0.6671065580787141,-0.2604933516253586,0.1127076091306933,0.2838268384586699,-0.1217343909653782,0.1565613652583145,0.1983094495775319,0.1097715291291889,0.1549354378401463,0.1898704233798103,-0.0370534388433614,0.095262617646196,0.1022076863867745,-1.3024667581267937,0.5635380456534664,1.4191341922933496,-121.73439096537822,156.5613652583145,198.30944957753192,109.77152912918892,154.93543784014636,189.8704233798104
MDM-0.1,far_ood,0.75,6000,6000,0.0,0.6993273417902589,1.4536237089140056,1.9738365570362215,0.1329804614655318,0.4406355633455244,0.460229445892444,0.0961685524164447,0.5040526534478299,0.5131034233713818,-0.0135971939235003,0.1174303183348161,0.1182051819233495,0.0670472945633356,0.3310679552133829,0.3377618436299039,0.0997353460991488,0.3304766725091433,0.345172084419333,96.16855241644475,504.0526534478301,513.1034233713816,-13.597193923500337,117.4303183348162,118.2051819233496
MDM-0.1,far_ood,1.0,6000,6000,0.0,0.6063050265414929,1.2259250439324585,1.639753004108946,0.1160337844700063,0.4219351452852761,0.4375653487433251,0.036828537536302,0.3903023607806749,0.3920036794290232,-0.0127140663593528,0.1493905559566319,0.1499181980371966,0.077519799502851,0.3344735632893151,0.3433121588685587,0.1160337844700063,0.4219351452852761,0.4375653487433251,36.828537536302015,390.3023607806749,392.0036794290232,-12.714066359352842,149.39055595663194,149.91819803719662
MDM-0.1,far_ood,5.5,6000,5994,0.001,0.8377689261514119,1.2917011068655764,1.3826392601872717,-0.4905895889520178,0.1757678994984142,0.5211212383590778,-0.4117584510849451,0.2277690897976021,0.4705476864168766,0.3977354937020067,0.2207223618101789,0.4548667454307404,0.0311875718020283,0.1127715344995773,0.1169955637482562,-2.6982427392360977,0.9667234472412782,2.866166810974928,-411.75845108494514,227.76908979760208,470.5476864168766,397.7354937020068,220.72236181017897,454.8667454307405
