fold,layer,delta_star,mean_train_loss,group_id,n_train_repeats,n,beta,gamma_over_eta
3,L4,0.06,0.2803127725612522,beta=4.0|n=20,800,20.0,4.0,
3,L4,0.02,0.6510440071320005,beta=5.0|n=7,800,7.0,5.0,
3,L4,0.04,0.5307188926617574,beta=5.0|n=10,800,10.0,5.0,
3,L4,0.04,0.32795499838839764,beta=5.0|n=20,800,20.0,5.0,
3,L5,0.16,0.28836920764213336,beta=1.5|gamma_over_eta=0.1|n=7,800,7.0,1.5,0.1
3,L5,0.24,0.1970540613432417,beta=1.5|gamma_over_eta=0.1|n=10,800,10.0,1.5,0.1
3,L5,0.5,0.09487624526140684,beta=1.5|gamma_over_eta=0.1|n=20,800,20.0,1.5,0.1
3,L5,0.3,0.3514532366714861,beta=1.5|gamma_over_eta=0.5|n=7,800,7.0,1.5,0.5
3,L5,0.42,0.22100588124292536,beta=1.5|gamma_over_eta=0.5|n=10,800,10.0,1.5,0.5
3,L5,0.5,0.09662395510889085,beta=1.5|gamma_over_eta=0.5|n=20,800,20.0,1.5,0.5
3,L5,0.3,0.36112816201377074,beta=1.5|gamma_over_eta=1.0|n=7,800,7.0,1.5,1.0
3,L5,0.42,0.20743852803512777,beta=1.5|gamma_over_eta=1.0|n=10,800,10.0,1.5,1.0
3,L5,0.5,0.09264730738089699,beta=1.5|gamma_over_eta=1.0|n=20,800,20.0,1.5,1.0
3,L5,0.08,0.30225183980619075,beta=2.0|gamma_over_eta=0.1|n=7,800,7.0,2.0,0.1
3,L5,0.1,0.23328150043980447,beta=2.0|gamma_over_eta=0.1|n=10,800,10.0,2.0,0.1
3,L5,0.08,0.11158297761336788,beta=2.0|gamma_over_eta=0.1|n=20,800,20.0,2.0,0.1
3,L5,0.16,0.3773610196655139,beta=2.0|gamma_over_eta=0.5|n=7,800,7.0,2.0,0.5
3,L5,0.2,0.2596436497360265,beta=2.0|gamma_over_eta=0.5|n=10,800,10.0,2.0,0.5
3,L5,0.32,0.11867619644406538,beta=2.0|gamma_over_eta=0.5|n=20,800,20.0,2.0,0.5
3,L5,0.18,0.42514362541297507,beta=2.0|gamma_over_eta=1.0|n=7,800,7.0,2.0,1.0
3,L5,0.24,0.2569040322809233,beta=2.0|gamma_over_eta=1.0|n=10,800,10.0,2.0,1.0
3,L5,0.32,0.12586975172349132,beta=2.0|gamma_over_eta=1.0|n=20,800,20.0,2.0,1.0
3,L5,0.04,0.3716766553892283,beta=2.5|gamma_over_eta=0.1|n=7,800,7.0,2.5,0.1
3,L5,0.04,0.25139324310149735,beta=2.5|gamma_over_eta=0.1|n=10,800,10.0,2.5,0.1
3,L5,0.04,0.1347772731705392,beta=2.5|gamma_over_eta=0.1|n=20,800,20.0,2.5,0.1
3,L5,0.12,0.42907029926103346,beta=2.5|gamma_over_eta=0.5|n=7,800,7.0,2.5,0.5
3,L5,0.16,0.3173489131241031,beta=2.5|gamma_over_eta=0.5|n=10,800,10.0,2.5,0.5
3,L5,0.18,0.14846223089057262,beta=2.5|gamma_over_eta=0.5|n=20,800,20.0,2.5,0.5
3,L5,0.14,0.4228524045955072,beta=2.5|gamma_over_eta=1.0|n=7,800,7.0,2.5,1.0
3,L5,0.14,0.3012576621840266,beta=2.5|gamma_over_eta=1.0|n=10,800,10.0,2.5,1.0
3,L5,0.18,0.16497646537580749,beta=2.5|gamma_over_eta=1.0|n=20,800,20.0,2.5,1.0
3,L5,0.02,0.48421361525616924,beta=4.0|gamma_over_eta=0.1|n=7,800,7.0,4.0,0.1
3,L5,0.0,0.3535200859045278,beta=4.0|gamma_over_eta=0.1|n=10,800,10.0,4.0,0.1
3,L5,0.0,0.21320711123281366,beta=4.0|gamma_over_eta=0.1|n=20,800,20.0,4.0,0.1
3,L5,0.04,0.594712011476657,beta=4.0|gamma_over_eta=0.5|n=7,800,7.0,4.0,0.5
3,L5,0.06,0.4698664921609813,beta=4.0|gamma_over_eta=0.5|n=10,800,10.0,4.0,0.5
3,L5,0.06,0.2740959235982645,beta=4.0|gamma_over_eta=0.5|n=20,800,20.0,4.0,0.5
