sample_size,group_id,gamma,gradient,sigma_min,best_beta,best_eta,source,virtual
7,1,1012.4430289600491,2.4636083684294965,240.99869739838877,1.085993113896385,484.06149047064326,trace_grid,False
7,1,1012.2792657816688,2.4715613581206655,240.59459774451895,1.0839948231247964,484.6147776842259,trace_grid,False
7,1,1012.1006691916903,2.4802242399425913,240.15241155433597,1.081820654199981,485.2215341343961,trace_grid,False
7,1,1011.9058956029786,2.489656810159399,239.66841049287308,1.0794577212064707,485.88710832756846,trace_grid,False
7,1,1011.6934797283856,2.4999225592260967,239.13847713363148,1.0768901923350802,486.61760529746005,trace_grid,False
7,1,1011.4618235573536,2.5110883886842474,238.55806067876827,1.0741018448906097,487.4197764034813,trace_grid,False
7,1,1011.2091843340374,2.523224061440275,237.9221272983375,1.0710726841871816,488.30137612589675,trace_grid,False
7,1,1010.9336614465034,2.536401289121945,237.22510451512056,1.0677889842223591,489.2704642002462,trace_grid,False
7,1,1010.6331821283728,2.550692308350385,236.4608190637872,1.0642300973566683,490.33656981205684,trace_grid,False
7,1,1010.3054858653426,2.5661677315061255,235.6224277370545,1.0603755906713135,491.51027293815656,trace_grid,False
7,1,1009.9481073892726,2.582893400872809,234.70234087285948,1.0562064116542784,492.8032513924465,trace_grid,False
7,1,1009.5583581319056,2.6009258294267923,233.69213845468894,1.0517044709549948,494.22847849883857,trace_grid,False
7,1,1009.1333059986919,2.6203057720349587,232.58247931253732,1.0468430470311758,495.8013409487805,trace_grid,False
7,1,1008.669753310561,2.641049006684445,231.36300480502848,1.041611141712963,497.5375915109211,trace_grid,False
7,1,1008.1642127476921,2.663133692902658,230.02223975384638,1.035990727671347,499.45571563609263,trace_grid,False
7,1,1007.6128811143104,2.6864827325766454,228.54749561061922,1.0299687830291497,501.5760773398703,trace_grid,False
7,1,1007.0116107271384,2.7109397567273747,226.92478415865088,1.0235395392572975,503.9209148934545,trace_grid,False
7,1,1006.3558782122589,2.736236810121026,225.13875500223645,1.0167046892344014,506.5145265883825,trace_grid,False
7,1,1005.6407504756467,2.7619517555080133,223.17267719108105,1.009475317075114,509.3832279093823,trace_grid,False
7,1,1004.8608475913647,2.7874537241819923,221.00849511184768,1.0018822882309986,512.5540626023563,trace_grid,False
7,1,1004.0103023282306,2.8118362953528697,218.62700144189643,0.9939737827279772,516.0547918643949,trace_grid,False
7,1,1003.0827160104726,2.8338410065016273,216.00818477052195,0.9858261299288024,519.911757345074,trace_grid,False
7,1,1002.0711103803133,2.851779827193552,213.13182363892233,0.9775479854291776,524.147913306938,trace_grid,False
7,1,1000.9678751003412,2.863474661743634,209.97840576098284,0.9692923649731934,528.778714196668,trace_grid,False
7,1,999.76471050073,2.866244612462833,206.5304394063505,0.9612499111388763,533.8100258491486,trace_grid,False
7,1,998.4525651405904,2.8569836734956353,202.77417720725256,0.9536667682419435,539.2308256942279,trace_grid,False
7,1,997.0215677137279,2.8323729173935064,198.70167637325545,0.9468202851159294,545.0129238408941,trace_grid,False
7,1,995.46095278653,2.7892486446555647,194.31297586728863,0.9410210018370999,551.1063958959409,trace_grid,False
7,1,993.758979809309,2.725093529552008,189.61801850871328,0.9365867987480512,557.4421572289024,trace_grid,False
7,1,991.9028447918184,2.638544583036116,184.63786338033304,0.9338060461085983,563.9409140658016,trace_grid,False
7,1,989.8785839784769,2.529763092496367,179.4048050292494,0.932927775765442,570.5196694181221,trace_grid,False
7,1,987.6709687986446,2.400532542645432,173.96126023453743,0.9341370984524512,577.1047640554459,trace_grid,False
7,1,985.2633913016616,2.254045431168462,168.35761017006195,0.937551902422461,583.6410599724182,trace_grid,False
7,1,982.6377392147706,2.094455240106367,162.6494417682561,0.9432292138369495,590.0976630882282,trace_grid,False
7,1,979.7742596839831,1.9263378086355196,156.8947075295594,0.9511789388355708,596.4692661673142,trace_grid,False
7,1,976.6514106728076,1.7542005824002713,151.15122164619765,0.9613790474885634,602.7743241396487,trace_grid,False
7,1,973.2456989009067,1.5821234860129592,145.4747202344773,0.9737980292920999,609.0486532021296,trace_grid,False
7,1,969.5315031034935,1.4135526594201469,139.91753046954616,0.9883943148762764,615.3445254120005,trace_grid,False
7,1,965.4808812818405,1.2512266747034801,134.52776982200916,1.0051337585877704,621.7235553735902,trace_grid,False
7,1,961.063360494843,1.097196067974761,129.3489395695199,1.0239953332548728,628.2530874664455,trace_grid,False
7,1,956.2457076102321,0.9528976669305074,124.41976847010147,1.044972099681246,635.0042914359543,trace_grid,False
7,1,950.9916792907919,0.8192528026193745,119.77418178410296,1.0680725317015585,642.0505354344701,trace_grid,False
7,1,945.2617493347221,0.6967684769236311,115.44130170929878,1.093322759546612,649.4659475374883,trace_grid,False
7,1,939.0128113189169,0.585629219363318,111.44541892838824,1.120768975035715,657.3244261077363,trace_grid,False
7,1,932.1978543081404,0.48577342386262257,107.80590744191504,1.150472041013523,665.701100581408,trace_grid,False
7,1,924.7656091904479,0.39695275779468986,104.537084594307,1.1825117635855218,674.6714154642116,trace_grid,False
7,1,916.6601629782247,0.3187755703434802,101.64804385598968,1.2169856840426974,684.3119509822671,trace_grid,False
7,1,907.8205381732179,0.250737402502721,99.14250749704483,1.2540138107649326,694.7000126157433,trace_grid,False
7,1,898.1802340311145,0.1922423752808763,97.01875706876633,1.2937305170156765,705.9163574492294,trace_grid,False
7,1,887.6667262745839,0.1426195621567885,95.26969904810419,1.336290800411038,718.0445977594021,trace_grid,False
7,1,876.2009214911154,0.10113794913257755,93.88311001379762,1.381873773428004,731.1715669005735,trace_grid,False
7,1,875.8377413555665,0.09999999999728199,93.84658565534292,1.3833040600296778,731.5859009879644,solver_root,False
7,1,863.6965621110644,0.06702252225579668,92.84208210467202,1.430673417326505,745.3902600331951,trace_grid,False
7,1,850.0595774895478,0.039472622291545904,92.12566003367691,1.4829164620093065,760.7975276376945,trace_grid,False
