beta,eta,gamma,gamma_over_eta,n,delta,count,beta_bias,beta_bias_sq,beta_var,eta_bias,eta_bias_sq,eta_var,gamma_bias,gamma_bias_sq,gamma_var,bias_sq_sum,var_sum,risk
1.5,1000.0,100.0,0.1,20,0.0,300,0.04709321034966626,0.002217770461037913,0.06389971937108975,0.006094512832909098,3.7143086670493685e-05,0.040558354997104855,-0.0006875017081500892,4.7265859870929046e-07,0.010217750803835213,0.002255386206307116,0.11467582517202982,0.11693121137833692
1.5,1000.0,100.0,0.1,20,0.02,300,0.040236750984187025,0.0016189961297634755,0.06172757609695406,0.002674778886698836,7.154442092729864e-06,0.04029492634367292,0.002283055668669827,5.212343186245431e-06,0.010205399070407682,0.0016313629150424508,0.11222790151103466,0.11385926442607706
1.5,1000.0,100.0,0.1,20,0.04,300,0.03417226529402668,0.0011677437153253401,0.06028733623675149,-0.00037825120442357054,1.4307397364788175e-07,0.040063181336134575,0.0049144496677211245,2.415181553656427e-05,0.010211655074916611,0.0011920386048355524,0.11056217264780269,0.11175421125263824
1.5,1000.0,100.0,0.1,20,0.06,300,0.028013288090073078,0.0007847443096174302,0.059009546034373424,-0.003523659250019159,1.2416174510245584e-05,0.03975464463142552,0.0076108433207918045,5.7924936053641224e-05,0.010165286634840369,0.000855085420181317,0.10892947730063932,0.10978456272082066
1.5,1000.0,100.0,0.1,20,0.08,300,0.02185731983712264,0.0004777424304622748,0.05764193504038379,-0.006690223226140531,4.4759086815590215e-05,0.03937614357277342,0.010320982083495623,0.00010652267116783765,0.010090347161264765,0.0006290241884457027,0.10710842577442198,0.10773744996286776
1.5,1000.0,100.0,0.1,20,0.1,300,0.01561420771482829,0.0002438034825618033,0.05557776467315406,-0.009886992444405116,9.775261959572384e-05,0.03888321174756071,0.013068074648504256,0.00017077457501887963,0.009996166793984412,0.0005123306771764068,0.10445714321469918,0.10496947389187561
1.5,1000.0,100.0,0.1,20,0.12,300,0.009929081478366035,9.858665900403146e-05,0.05391207840518624,-0.012788433296707155,0.00016354402618432826,0.03850454097354152,0.01554942230539742,0.0002417845340315908,0.009947646113798466,0.0005039152192199505,0.10236426549252622,0.10286818071174618
1.5,1000.0,100.0,0.1,20,0.14,300,0.004544975910326448,2.065680602544772e-05,0.05245531508534625,-0.015533385589623227,0.00024128606787591453,0.038177689143265595,0.01789065777476923,0.00032007563561391064,0.009908626754662819,0.0005820185095152729,0.10054163098327466,0.10112364949278996
1.5,1000.0,100.0,0.1,20,0.16,300,-0.0006180295380222133,3.8196050986795043e-07,0.05115485153966321,-0.01817705350746608,0.000330405274213285,0.03789191771156196,0.020135770686252604,0.00040544926112934964,0.009867840063019067,0.0007362364958525026,0.09891460931424424,0.09965084581009674
1.5,1000.0,100.0,0.1,20,0.18,300,-0.005491125116576363,3.0152455045895772e-05,0.05000604224365615,-0.020678652673158573,0.0004276066763771282,0.03765016542374908,0.022250693053323518,0.0004950933413532194,0.009834802982752635,0.0009528524727762434,0.09749101065015786,0.09844386312293407
1.5,1000.0,100.0,0.1,20,0.2,300,-0.010121759895215868,0.00010245002337640034,0.04896838329634802,-0.02306925151507564,0.0005321903654658197,0.03740886523090058,0.02426629012149008,0.0005888528362603271,0.009803383848310454,0.0012234932251025473,0.09618063237555904,0.0974041256006616
1.5,1000.0,100.0,0.1,20,0.22,300,-0.014718243882445053,0.00021662670298313124,0.047942990204325915,-0.025461485178939102,0.0006482872275173356,0.03713652677798989,0.026281027015491457,0.0006906923809889918,0.009751855553274591,0.0015556063114894585,0.0948313725355904,0.09638697884707988
1.5,1000.0,100.0,0.1,20,0.24,300,-0.01912097870250158,0.00036561182654151905,0.04697396795100909,-0.027757528011957504,0.0007704803613346055,0.03689826331537,0.02820711234034423,0.0007956411865807998,0.009703943871331217,0.0019317333744569244,0.09357617513771031,0.0955079085121672
1.5,1000.0,100.0,0.1,20,0.26,300,-0.02331108898154781,0.0005434068695056397,0.046089912189315886,-0.02995361673403117,0.0008972191554492323,0.03668280104373843,0.030041336470503773,0.0009024818969340201,0.00966189910572103,0.002343107921888892,0.09243461233877535,0.09477772026066428
1.5,1000.0,100.0,0.1,20,0.28,300,-0.027314319538707194,0.0007460720518626015,0.04527506322334704,-0.03206434393325254,0.001028122151869909,0.036486352539754234,0.031796362865758696,0.0010110086914909984,0.009624028272575313,0.002785202895223509,0.0913854440356766,0.09417064693090009
1.5,1000.0,100.0,0.1,20,0.3,300,-0.031145893101868934,0.0009700666571130468,0.04452424755001682,-0.03409685695535761,0.0011625956542341185,0.036310961402196654,0.03347813074944201,0.0011207852384767347,0.00959005731083335,0.0032534475498239004,0.09042526626304681,0.09367871381287071
1.5,1000.0,100.0,0.1,20,0.32,300,-0.0349038708893197,0.001218280203058299,0.04376645492607106,-0.03610890269358378,0.001303852853734702,0.036140322970446614,0.03513682053452937,0.001234596157275725,0.009547971873012383,0.0037567292140687257,0.08945474976953006,0.09321147898359876
1.5,1000.0,100.0,0.1,20,0.34,300,-0.03858867883976491,0.0014890861345985202,0.04303727990427058,-0.03809874365048411,0.0014515142677453032,0.035954873634016046,0.036772822687031054,0.0013522404883718258,0.009498864924957637,0.00429284089071565,0.08849101846324425,0.09278385935395997
1.5,1000.0,100.0,0.1,20,0.36,300,-0.04227481294485377,0.0017871598095223755,0.042269337619285176,-0.04011467270075449,0.0016091869658886578,0.03572210565385882,0.03842880647996066,0.0014767731674742662,0.009432556803454163,0.0048731199428853,0.08742400007659816,0.09229712001948341
