model_id,representation,n,fold,seed,max_abs_representation_diff,max_abs_prediction_curve_diff,delta_indices,selected_deltas,delta_consistent,curve_consistent_at_1e-10
sample_sd_n10_fold5_seed3407,sample_sd,10,5,3407,4.440892098500626e-16,5.551115123125783e-16,"[24, 24, 24]","[0.48, 0.48, 0.48]",True,True
sample_sd_n15_fold1_seed42,sample_sd,15,1,42,4.440892098500626e-16,2.220446049250313e-16,"[8, 8, 8]","[0.16, 0.16, 0.16]",True,True
sample_sd_n15_fold1_seed2026,sample_sd,15,1,2026,4.440892098500626e-16,2.498001805406602e-16,"[6, 6, 6]","[0.12, 0.12, 0.12]",True,True
sample_sd_n15_fold1_seed3407,sample_sd,15,1,3407,4.440892098500626e-16,1.6653345369377348e-16,"[10, 10, 10]","[0.2, 0.2, 0.2]",True,True
sample_sd_n15_fold2_seed42,sample_sd,15,2,42,4.440892098500626e-16,5.551115123125783e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
sample_sd_n15_fold2_seed2026,sample_sd,15,2,2026,4.440892098500626e-16,3.3306690738754696e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
sample_sd_n15_fold2_seed3407,sample_sd,15,2,3407,4.440892098500626e-16,7.771561172376096e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
sample_sd_n15_fold3_seed42,sample_sd,15,3,42,8.881784197001252e-16,1.6653345369377348e-16,"[24, 24, 24]","[0.48, 0.48, 0.48]",True,True
sample_sd_n15_fold3_seed2026,sample_sd,15,3,2026,8.881784197001252e-16,8.881784197001252e-16,"[21, 21, 21]","[0.42, 0.42, 0.42]",True,True
sample_sd_n15_fold3_seed3407,sample_sd,15,3,3407,8.881784197001252e-16,9.992007221626409e-16,"[23, 23, 23]","[0.46, 0.46, 0.46]",True,True
sample_sd_n15_fold4_seed42,sample_sd,15,4,42,8.881784197001252e-16,2.220446049250313e-16,"[2, 2, 2]","[0.04, 0.04, 0.04]",True,True
sample_sd_n15_fold4_seed2026,sample_sd,15,4,2026,8.881784197001252e-16,2.498001805406602e-16,"[2, 2, 2]","[0.04, 0.04, 0.04]",True,True
sample_sd_n15_fold4_seed3407,sample_sd,15,4,3407,8.881784197001252e-16,3.3306690738754696e-16,"[1, 1, 1]","[0.02, 0.02, 0.02]",True,True
sample_sd_n15_fold5_seed42,sample_sd,15,5,42,8.881784197001252e-16,3.885780586188048e-16,"[4, 4, 4]","[0.08, 0.08, 0.08]",True,True
sample_sd_n15_fold5_seed2026,sample_sd,15,5,2026,8.881784197001252e-16,4.996003610813204e-16,"[6, 6, 6]","[0.12, 0.12, 0.12]",True,True
sample_sd_n15_fold5_seed3407,sample_sd,15,5,3407,8.881784197001252e-16,3.885780586188048e-16,"[3, 3, 3]","[0.06, 0.06, 0.06]",True,True
sample_sd_n20_fold1_seed42,sample_sd,20,1,42,8.881784197001252e-16,2.498001805406602e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
sample_sd_n20_fold1_seed2026,sample_sd,20,1,2026,8.881784197001252e-16,2.7755575615628914e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
sample_sd_n20_fold1_seed3407,sample_sd,20,1,3407,8.881784197001252e-16,4.440892098500626e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
sample_sd_n20_fold2_seed42,sample_sd,20,2,42,8.881784197001252e-16,1.3877787807814457e-16,"[10, 10, 10]","[0.2, 0.2, 0.2]",True,True
sample_sd_n20_fold2_seed2026,sample_sd,20,2,2026,8.881784197001252e-16,2.220446049250313e-16,"[10, 10, 10]","[0.2, 0.2, 0.2]",True,True
sample_sd_n20_fold2_seed3407,sample_sd,20,2,3407,8.881784197001252e-16,2.7755575615628914e-16,"[11, 11, 11]","[0.22, 0.22, 0.22]",True,True
sample_sd_n20_fold3_seed42,sample_sd,20,3,42,8.881784197001252e-16,3.3306690738754696e-16,"[6, 6, 6]","[0.12, 0.12, 0.12]",True,True
sample_sd_n20_fold3_seed2026,sample_sd,20,3,2026,8.881784197001252e-16,2.220446049250313e-16,"[7, 7, 7]","[0.14, 0.14, 0.14]",True,True
sample_sd_n20_fold3_seed3407,sample_sd,20,3,3407,8.881784197001252e-16,2.7755575615628914e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
sample_sd_n20_fold4_seed42,sample_sd,20,4,42,4.440892098500626e-16,6.661338147750939e-16,"[18, 18, 18]","[0.36, 0.36, 0.36]",True,True
sample_sd_n20_fold4_seed2026,sample_sd,20,4,2026,4.440892098500626e-16,1.6653345369377348e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
sample_sd_n20_fold4_seed3407,sample_sd,20,4,3407,4.440892098500626e-16,2.7755575615628914e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
sample_sd_n20_fold5_seed42,sample_sd,20,5,42,8.881784197001252e-16,5.551115123125783e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
sample_sd_n20_fold5_seed2026,sample_sd,20,5,2026,8.881784197001252e-16,2.7755575615628914e-16,"[2, 2, 2]","[0.04, 0.04, 0.04]",True,True
sample_sd_n20_fold5_seed3407,sample_sd,20,5,3407,8.881784197001252e-16,3.3306690738754696e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
rms_n7_fold1_seed42,rms,7,1,42,2.220446049250313e-16,1.2212453270876722e-15,"[22, 22, 22]","[0.44, 0.44, 0.44]",True,True
rms_n7_fold1_seed2026,rms,7,1,2026,2.220446049250313e-16,1.1102230246251565e-15,"[3, 3, 3]","[0.06, 0.06, 0.06]",True,True
rms_n7_fold1_seed3407,rms,7,1,3407,2.220446049250313e-16,1.6653345369377348e-15,"[10, 10, 10]","[0.2, 0.2, 0.2]",True,True
rms_n7_fold2_seed42,rms,7,2,42,4.440892098500626e-16,1.7208456881689926e-15,"[3, 3, 3]","[0.06, 0.06, 0.06]",True,True
rms_n7_fold2_seed2026,rms,7,2,2026,4.440892098500626e-16,1.6653345369377348e-15,"[6, 6, 6]","[0.12, 0.12, 0.12]",True,True
rms_n7_fold2_seed3407,rms,7,2,3407,4.440892098500626e-16,1.5543122344752192e-15,"[16, 16, 16]","[0.32, 0.32, 0.32]",True,True
rms_n7_fold3_seed42,rms,7,3,42,2.220446049250313e-16,3.885780586188048e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
rms_n7_fold3_seed2026,rms,7,3,2026,2.220446049250313e-16,3.885780586188048e-16,"[4, 4, 4]","[0.08, 0.08, 0.08]",True,True
rms_n7_fold3_seed3407,rms,7,3,3407,2.220446049250313e-16,4.440892098500626e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
rms_n7_fold4_seed42,rms,7,4,42,2.220446049250313e-16,5.551115123125783e-16,"[7, 7, 7]","[0.14, 0.14, 0.14]",True,True
rms_n7_fold4_seed2026,rms,7,4,2026,2.220446049250313e-16,9.992007221626409e-16,"[8, 8, 8]","[0.16, 0.16, 0.16]",True,True
rms_n7_fold4_seed3407,rms,7,4,3407,2.220446049250313e-16,6.661338147750939e-16,"[8, 8, 8]","[0.16, 0.16, 0.16]",True,True
rms_n7_fold5_seed42,rms,7,5,42,2.220446049250313e-16,7.771561172376096e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
rms_n7_fold5_seed2026,rms,7,5,2026,2.220446049250313e-16,9.992007221626409e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
rms_n7_fold5_seed3407,rms,7,5,3407,2.220446049250313e-16,1.6653345369377348e-15,"[2, 2, 2]","[0.04, 0.04, 0.04]",True,True
