representation,n,fold,seed,J1,failure_rate,n_iter,runtime_s
rms,10,2,2026,0.6361821137899014,0.0,91,9.26538896560669
rms,10,2,3407,0.6417118796299389,0.0,50,5.112712144851685
rms,10,3,42,0.6129149440781745,0.0,54,5.497228145599365
rms,10,3,2026,0.618491311508291,0.0,48,4.897507667541504
rms,10,3,3407,0.6167044417374634,0.0,69,6.887632608413696
rms,10,4,42,0.5885979255015593,0.0,39,3.9713852405548096
rms,10,4,2026,0.5794132969469669,0.0,49,5.015062093734741
rms,10,4,3407,0.5826601314792699,0.0,81,8.24616527557373
rms,10,5,42,0.5843826210846108,0.0,44,4.503852128982544
rms,10,5,2026,0.5827120560220692,0.0,53,5.393063068389893
rms,10,5,3407,0.5790032382087259,0.0,50,5.114583730697632
rms,15,1,42,0.5119559168760779,0.0,45,4.674531936645508
rms,15,1,2026,0.514510864913409,0.0,34,3.365856170654297
rms,15,1,3407,0.5140920719273221,0.0,36,3.6914708614349365
rms,15,2,42,0.5313144917834944,0.0,36,3.7497756481170654
rms,15,2,2026,0.5298557369565684,0.0,41,4.272361516952515
rms,15,2,3407,0.5271311133983575,0.0,43,4.469619035720825
rms,15,3,42,0.5667394560329044,0.0,40,4.167871952056885
rms,15,3,2026,0.5765886869211662,0.0,42,4.400162696838379
rms,15,3,3407,0.5616890383024712,0.0,48,4.970710754394531
rms,15,4,42,0.5342366745473262,0.0,42,4.411891222000122
rms,15,4,2026,0.529526981673266,0.0,44,4.514928340911865
