reliability,route,rmsre,mae,signed_relative_bias,relative_error_sd,within_10pct
0.79,P,0.10426888193004138,0.07353336646286289,-0.010418240716966719,0.1037470963415567,0.75304375
0.79,Q,0.27953234926019715,0.25369402112934336,-0.2519749391292094,0.12102464349774406,0.06517916666666666
0.79,QCP,0.10338285857494899,0.07473972705398425,-0.018443555875493012,0.10172438593471808,0.73776875
0.8,P,0.10647162874506466,0.07494852640111638,-0.010703994841092971,0.10593220578307964,0.7459770833333333
0.8,Q,0.27244656128390227,0.24623147052541117,-0.24414704294829795,0.12091050481668267,0.07709791666666667
0.8,QCP,0.1054506474856287,0.07613358334061451,-0.01878464323261378,0.10376404114028012,0.7307354166666666
0.81,P,0.10877691286284617,0.0764212778110381,-0.010992373784275457,0.10822007434186139,0.7385625
0.81,Q,0.2650973487759901,0.23848004789745372,-0.2359398282311521,0.12086770363630399,0.09092083333333334
0.81,QCP,0.10761136512009956,0.07758276604904173,-0.01913114742262256,0.10589714397142758,0.7236791666666667
0.8200000000000001,P,0.11119453191611936,0.07795634646059135,-0.011283494392388974,0.11062055271215115,0.7311875
0.8200000000000001,Q,0.2574694480665879,0.23041631420337086,-0.22731137581310834,0.12091341990724278,0.10665833333333333
0.8200000000000001,QCP,0.10987360362798584,0.07909206531653888,-0.019483512821455627,0.10813233328813318,0.716675
0.8300000000000001,P,0.11373596082432687,0.0795597118480766,-0.01157745067489214,0.11314517851195983,0.72354375
0.8300000000000001,Q,0.24954858023783616,0.2220275855650061,-0.21821264492715342,0.12106913517745067,0.12435208333333334
0.8300000000000001,QCP,0.11224740148683109,0.0806672354855094,-0.01984221901492312,0.11047970621390008,0.709225
0.8400000000000001,P,0.11641474454904539,0.081238336566355,-0.011874301414204631,0.1158075719214599,0.71573125
0.8400000000000001,Q,0.24132286689902652,0.2133021801523442,-0.20858575902847767,0.12136188536307067,0.14572916666666666
0.8400000000000001,QCP,0.1147445775762425,0.08231454526432552,-0.02020778281055565,0.11295115580210655,0.7016416666666667
0.8500000000000001,P,0.11924701451127873,0.08300019809109739,-0.012174051890766468,0.11862395597186111,0.7075895833333333
0.8500000000000001,Q,0.23278518501743078,0.20422685292269255,-0.19836174360132966,0.12182594567266787,0.17050625
0.8500000000000001,QCP,0.11737916946363769,0.08404158036049733,-0.020580759067391447,0.11556081420699388,0.6938875
0.86,P,0.12225217855685999,0.08485482048974985,-0.012476626632491923,0.12161385180057316,0.69915
0.86,Q,0.22393708246252814,0.19478420331767266,-0.18745749121713495,0.12250512596788303,0.19870833333333332
0.86,QCP,0.12016801766877931,0.08585719464925344,-0.02096173920785515,0.11832564371185954,0.6857916666666667
0.87,P,0.1254538595788692,0.08681383914297036,-0.012781828196058389,0.1248010246400288,0.6903916666666666
0.87,Q,0.21479532183262376,0.18499371607930837,-0.17577161361043545,0.12345594408518451,0.23152083333333334
0.87,QCP,0.12313155870050785,0.08777253787151525,-0.02135134538821197,0.12126623931717305,0.6774895833333333
0.88,P,0.12888119887099997,0.08889157889389995,-0.01308927369777282,0.12821479765023627,0.6815229166666666
0.88,Q,0.20540291159168753,0.17488297871168154,-0.16317865172946325,0.12475208900093472,0.2679125
0.88,QCP,0.12629492377392193,0.08980059052152425,-0.021750216673988965,0.12440794124852032,0.6690708333333333
0.89,P,0.13257070901127863,0.09110561440672785,-0.013398294923217171,0.13189192007436848,0.6722083333333333
0.89,Q,0.1958478945489733,0.16448595931434767,-0.1495207956659294,0.12649082758324082,0.30743125
0.89,QCP,0.12968949729922247,0.09195765467880238,-0.022158980485849217,0.1277824138665129,0.66016875
0.9,P,0.13656898075056703,0.09347817524103134,-0.013707776882803715,0.1358792970109134,0.6627708333333333
0.9,Q,0.18629565302806153,0.15390960392222464,-0.13459570627494796,0.12880243083692103,0.3518895833333333
0.9,QCP,0.1333551887390113,0.09426447935254358,-0.022578196550834997,0.13142994865756127,0.6508125
0.91,P,0.14093676599985333,0.09603789454383999,-0.014015888316846995,0.14023810782090254,0.6527375
0.91,Q,0.17704469959278604,0.1433490188089662,-0.11813800246609744,0.13186446840305466,0.4008729166666667
0.91,QCP,0.13734385228758209,0.09674729367101353,-0.023008248278310488,0.13540293302715709,0.6409729166666667
