delta,mse,mse_beta,mse_eta,mse_gamma,est_beta,est_eta,est_gamma,failure
0.001,,,,,,,,no_intersection
0.003,,,,,,,,no_intersection
0.005,,,,,,,,no_intersection
0.007,,,,,,,,no_intersection
0.40900000000000003,0.253459650049872,0.10839300177921346,0.14131005088335497,0.0037565973873035776,1.341538150598796,624.0877085231783,1061.29108733987,
0.41100000000000003,0.2543583602402578,0.10896590159794961,0.14159341883764617,0.003799039804662006,1.3398003283916309,623.71099027789,1061.6363513250258,
0.41300000000000003,0.25525945556863316,0.10954053825604211,0.14187719667613166,0.0038417206364593534,1.3380618208441453,623.3341047079897,1061.9816153101817,
0.41500000000000004,0.2561629387086997,0.11011691183400667,0.14216138699199746,0.003884639882695592,1.3363226330994655,622.9570488763947,1062.3268792953377,
0.41700000000000004,0.2570688124046588,0.11069502248509759,0.14244599237619046,0.003927797543370723,1.334582770030419,622.5798198609533,1062.6721432804936,
0.419,0.25797696726928887,0.11127468541170717,0.142731088239097,0.003971193618484715,1.3328427909054503,622.2023183778161,1063.0174072656494,
0.421,0.258887678208975,0.11185634945925027,0.14301650064168717,0.004014828108037629,1.331101354585763,621.8247752143365,1063.3626712508053,
0.423,0.2598007802468638,0.11243973811435058,0.14330234112048382,0.004058701012029434,1.3293592970469192,621.4470431756162,1063.7079352359613,
0.425,0.2607162634401597,0.11302483041046814,0.14358862069923145,0.0041028123304601306,1.3276166854822522,621.0691082806372,1064.0531992211172,
0.427,0.26163401248269086,0.11361143144011929,0.14387541897924186,0.004147162063329719,1.325874102440444,620.6908662064122,1064.3984632062732,
0.429,0.2625544638478015,0.11420025685344724,0.14416245678371611,0.0041917502106381685,1.3241294299839732,620.312685511201,1064.743727191429,
0.431,0.26347716106552044,0.11479054864563977,0.14445003564749515,0.00423657677238554,1.3223849215206622,619.9341693239247,1065.0889911765848,
0.433,0.26440226461358307,0.11538256689130676,0.14473805597370448,0.004281641748571802,1.3206398101410217,619.5554495413235,1065.4342551617408,
0.435,0.26532977680510816,0.11597631060094986,0.14502652106496136,0.004326945139196955,1.318894103384944,619.1765224346569,1065.7795191468967,
0.437,0.2662600479882711,0.11657235368632869,0.14531520735768136,0.004372486944261,1.3171461248954395,618.7976818568893,1066.1247831320527,
0.439,0.26719191200196724,0.11716876468932326,0.14560488014888007,0.004418267163763909,1.3154015346516668,618.4179247542148,1066.4700471172084,
0.441,0.2681269119201197,0.1177680880266336,0.14589453809578037,0.004464285797705735,1.31365289240317,618.0385646484971,1066.8153111023644,
0.443,0.26906397438420704,0.118368545089441,0.14618488644867958,0.0045105428460864554,1.3119053986857883,617.6586780785007,1067.1605750875203,
0.445,0.2700035722356,0.118970912236317,0.14647562169037695,0.004557038308906068,1.3101567939413565,617.2786631367713,1067.5058390726763,
0.447,0.27094607819682387,0.11957580092125232,0.14676650508940695,0.004603772186164571,1.3084053183511246,616.8988317827692,1067.8511030578322,
0.449,0.27156435792172806,0.11997176948885677,0.1469580496670513,0.0046345387658199705,1.3072611762320325,616.6489211348802,1068.0774468221302,
0.451,0.27212882352417056,0.12033399538643075,0.14713218914643644,0.004662638991303354,1.3062161852956478,616.4218604424433,1068.283519177788,
0.453,0.27269416886394393,0.12069685701130264,0.14730648770422303,0.00469082414841827,1.3051709360963586,616.1947268415622,1068.489591533446,
