method,beta,gamma_over_eta,n,n_total,n_valid,failure_rate,J1,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.95_bias,x0.95_sd,x0.95_rmse,beta_abs_bias,beta_abs_sd,beta_abs_rmse,eta_abs_bias,eta_abs_sd,eta_abs_rmse,gamma_abs_bias,gamma_abs_sd,gamma_abs_rmse
LSE,0.75,0.5,15,2,2,0.0,0.23609602187950968,0.2499174650964487,0.25151316540674085,0.17781451511080873,0.04338457531684908,0.18044143779022517,0.1337992417637379,0.09791923424838887,0.15065299636730298,-0.021922333494228043,0.003257316456056893,0.022042998005706988,-0.0035454952934594183,0.003450983771029478,0.004304088912870796,0.13336088633310655,0.03253843148763681,0.1353310783426689,133.79924176373788,97.91923424838886,150.652996367303,-21.92233349422804,3.2573164560568935,22.042998005706988
LSE,0.75,0.5,20,2,2,0.0,0.32938802951909024,0.3655747354770788,0.36991452756255877,0.10287321330601788,0.22346716204927425,0.18855154274914793,-0.16026760751448835,0.29049408174229435,0.26053620052128545,0.054490999203278274,0.06475197203400315,0.07117357610319884,0.1210445814779384,0.17325179507698432,0.17222044870998318,0.07715490997951341,0.1676003715369557,0.14141365706186093,-160.26760751448836,290.4940817422943,260.5362005212855,54.49099920327828,64.75197203400316,71.17357610319884
LSE,0.75,0.75,7,2,2,0.0,0.5541556480964897,0.60169228462834,0.6072889566318829,-0.32586959776132707,0.08403350658933942,0.33124282612606026,-0.4400251802153511,0.03422512583454667,0.4406901846453441,0.053989186625385405,0.022090782785717526,0.05620350179938587,0.04769277031084088,0.02707995885889282,0.051393213810991524,-0.24440219832099533,0.06302512994200456,0.24843211959454523,-440.0251802153511,34.225125834546674,440.6901846453441,53.9891866253854,22.090782785717522,56.20350179938587
LSE,0.75,0.75,10,2,2,0.0,0.5972218166240728,0.7630319994872301,0.7870657483831894,0.2876028229281378,0.2853792929418876,0.351334675453818,-0.16274510746651852,0.6413451418070211,0.4818171494083856,0.029394288754999536,0.021262850236179534,0.03301633855374324,0.05278025390339096,0.033871220199518694,0.057960201699170766,0.21570211719610338,0.21403446970641565,0.2635010065903635,-162.7451074665185,641.3451418070209,481.8171494083856,29.394288754999536,21.262850236179535,33.01633855374324
LSE,0.75,0.75,15,2,2,0.0,0.2665242091662004,0.32813967520415677,0.33646919801230873,-0.10216731559509543,0.16386842712417996,0.1544816852574575,0.21238115958670617,0.062010869724949416,0.2168603950227341,0.006140677671590254,0.014451583996346226,0.011921915209734226,0.003637872887853449,0.033097390963993736,0.02368444137951973,-0.07662548669632158,0.12290132034313496,0.11586126394309314,212.3811595867062,62.01086972494943,216.8603950227341,6.140677671590254,14.451583996346226,11.921915209734227
LSE,0.75,0.75,20,2,2,0.0,0.38933451766819743,0.437506883967397,0.4433491921936207,-0.1456577191743103,0.3539254086545853,0.28956479171460026,0.054889040812791515,0.3597671874864213,0.2602479997949901,-0.0003523845657693415,0.002984116295561092,0.0021393106167429438,-0.0008946304580568516,0.02845556949683223,0.020141004973709915,-0.10924328938073274,0.265444056490939,0.21717359378595022,54.88904081279151,359.7671874864213,260.2479997949901,-0.3523845657693414,2.984116295561092,2.1393106167429434
LSE,0.75,1.0,7,2,2,0.0,2.1890241911825377,2.939609681373287,3.0759101480095525,0.8829662905452839,1.72801946196772,1.5075327859482537,0.9642487225439069,1.4756368605045727,1.420748982391841,-0.4820537203575814,0.7324866532509962,0.7075621088681953,-0.07845651190023306,0.13751371877778232,0.12494172916043268,0.6622247179089629,1.29601459647579,1.1306495894611903,964.248722543907,1475.6368605045725,1420.7489823918413,-482.05372035758137,732.4866532509961,707.5621088681952
LSE,0.75,1.0,10,2,2,0.0,1.1072762424420826,1.4055586168555485,1.4481812564939665,0.7012498584030877,0.9636264556534819,0.9777726407135744,-0.12132985973173716,0.6700881458742175,0.4891114356494809,-0.11527372087784943,0.18710057691274215,0.17547462399322816,-0.0018231102112707376,0.011324658192866197,0.008212653190964864,0.5259373938023159,0.7227198417401115,0.7333294805351809,-121.32985973173714,670.0881458742175,489.11143564948094,-115.27372087784943,187.10057691274213,175.47462399322816
LSE,0.75,1.0,15,2,2,0.0,0.4469061062056112,0.5412284926235871,0.553672641278692,-0.07806792105688612,0.2594117545713573,0.19935352894553754,0.19652586996675658,0.4907502286456314,0.3987985845311644,0.01951777375142285,0.03352562436554405,0.030707120294184397,0.023458343415569932,0.0058891593711679485,0.023825091287386933,-0.058550940792664596,0.194558815928518,0.14951514670915314,196.5258699667566,490.7502286456314,398.7985845311644,19.51777375142285,33.52562436554405,30.707120294184396
LSE,0.75,1.0,20,2,2,0.0,0.46989015364843406,0.5514302171091734,0.5617699032403887,0.17080151619688538,0.36162023744579125,0.30750244877127425,0.010651018931397915,0.5019066224263248,0.3550613651497128,0.005008482346520451,0.01704949137222331,0.01305478737632925,0.03218406830134745,0.03627165950710535,0.041153747024122736,0.12810113714766402,0.2712151780843435,0.23062683657845565,10.651018931397914,501.9066224263248,355.0613651497128,5.008482346520452,17.04949137222331,13.054787376329251
LSE,1.0,0.1,7,2,2,0.0,0.41492230783991063,0.5540792636414404,0.5778802891777374,0.18498337688411293,0.12761717543116116,0.2058201191719693,0.2640423745756908,0.3311418615347449,0.3529105294574214,-0.061241847831125996,0.054812304449741805,0.07247591520854625,-0.03591990503093233,0.0002975729488173146,0.03592052132501882,0.18498337688411293,0.12761717543116116,0.2058201191719693,264.0423745756908,331.14186153474486,352.9105294574214,-61.241847831125995,54.81230444974181,72.47591520854624
