n,beta,eta,gamma,seed,mse,step,delta,est_beta,est_eta,est_gamma
5,2.0,100.0,1000,12645,0.160115,4,0.008568,1.2244,109.8377,1007.8062
5,2.0,100.0,1000,12645,0.160115,5,0.007832,,,
7,1.0,100.0,1000,11800,0.446547,0,0.5,0.6084,45.0234,1010.8662
7,1.0,100.0,1000,11800,0.446547,1,0.002953,0.6174,45.2209,1010.7804
7,1.0,100.0,1000,11800,0.446547,2,0.003035,,,
7,1.0,100.0,1000,11801,0.448301,0,0.5,0.6557,42.4097,1002.1491
7,1.0,100.0,1000,11801,0.448301,1,0.321274,0.6573,42.4834,1002.1271
7,1.0,100.0,1000,11801,0.448301,2,0.324302,0.6573,42.4817,1002.1276
7,1.0,100.0,1000,11801,0.448301,3,0.324232,,,
7,1.0,100.0,1000,11802,0.045483,0,0.5,0.9705,84.7624,996.1695
7,1.0,100.0,1000,11802,0.045483,1,0.969917,0.8757,81.6773,998.5442
7,1.0,100.0,1000,11802,0.045483,2,0.891423,0.8872,82.0361,998.2704
7,1.0,100.0,1000,11802,0.045483,3,0.90236,0.8855,81.9838,998.3103
7,1.0,100.0,1000,11802,0.045483,4,0.900828,0.8858,81.991,998.3048
7,1.0,100.0,1000,11802,0.045483,5,0.901039,,,
7,1.0,100.0,1000,11803,0.055519,0,0.5,1.1783,84.6006,1001.4018
7,1.0,100.0,1000,11803,0.055519,1,0.254162,1.1783,84.6006,1001.4018
7,1.0,100.0,1000,11803,0.055519,2,0.254162,,,
7,1.0,100.0,1000,11804,0.123111,0,0.5,0.6441,105.1665,1012.1615
7,1.0,100.0,1000,11804,0.123111,1,0.001932,0.6552,106.4057,1011.8079
7,1.0,100.0,1000,11804,0.123111,2,0.002129,,,
7,1.0,100.0,1000,11806,0.513361,0,0.5,0.6313,38.3709,1002.8722
7,1.0,100.0,1000,11806,0.513361,1,0.218786,0.6334,38.4401,1002.8497
7,1.0,100.0,1000,11806,0.513361,2,0.221096,0.6334,38.4396,1002.8498
7,1.0,100.0,1000,11806,0.513361,3,0.221077,,,
7,1.0,100.0,1000,11808,0.404256,0,0.5,0.7241,41.5189,1004.9893
7,1.0,100.0,1000,11808,0.404256,1,0.055669,0.7395,42.0222,1004.778
7,1.0,100.0,1000,11808,0.404256,2,0.062032,0.7392,42.014,1004.7817
7,1.0,100.0,1000,11808,0.404256,3,0.061917,,,
7,1.0,100.0,1000,11811,0.032625,0,0.5,0.8205,82.6656,1009.9304
7,1.0,100.0,1000,11811,0.032625,1,0.003814,0.8993,85.1731,1007.9801
7,1.0,100.0,1000,11811,0.032625,2,0.00892,0.8978,85.1256,1008.0174
7,1.0,100.0,1000,11811,0.032625,3,0.008765,,,
7,1.0,100.0,1000,11812,0.036956,0,0.5,0.9168,114.7888,1017.2499
7,1.0,100.0,1000,11812,0.036956,1,0.00104,0.9555,118.6389,1015.2102
7,1.0,100.0,1000,11812,0.036956,2,0.001124,,,
7,1.0,100.0,1000,11813,0.177246,0,0.5,1.2363,161.7362,985.0583
7,1.0,100.0,1000,11813,0.177246,1,0.999943,1.0446,141.863,997.9144
7,1.0,100.0,1000,11813,0.177246,2,0.907802,1.0446,141.863,997.9144
7,1.0,100.0,1000,11813,0.177246,3,0.907802,,,
7,1.0,100.0,1000,11815,0.452013,0,0.5,0.9083,34.0914,999.8527
7,1.0,100.0,1000,11815,0.452013,1,0.801033,0.8826,33.694,1000.1319
7,1.0,100.0,1000,11815,0.452013,2,0.753478,0.8864,33.7522,1000.0914
7,1.0,100.0,1000,11815,0.452013,3,0.760835,0.8857,33.7428,1000.0979
