oracle_delta,selected_delta,row_percent
0.1,0.34,0.7633587786259541
0.12,0.34,0.8885298869143781
0.14,0.34,2.1021021021021022
0.16,0.34,1.9906819144430326
0.18,0.34,2.014098690835851
0.2,0.34,2.448525319977741
0.22,0.34,2.7278775781769795
0.24,0.34,2.9350104821802936
0.26,0.34,3.733333333333334
0.28,0.34,3.048180924287119
0.3,0.34,3.968253968253968
0.32,0.34,3.8130381303813037
0.34,0.34,4.511278195488721
0.36,0.34,6.972789115646258
0.38,0.34,4.455445544554455
0.4,0.34,3.4904013961605584
0.42,0.34,4.230118443316413
0.44,0.34,4.49438202247191
0.46,0.34,3.463203463203463
0.48,0.34,3.6093418259023355
0.5,0.34,3.1164069660861595
0.0,0.36,0.3130173062452972
0.02,0.36,0.10611956137247967
0.04,0.36,0.10452299505891297
0.06,0.36,0.25773195876288657
0.08,0.36,0.3503742634177417
0.1,0.36,0.4240882103477523
0.12,0.36,0.5654281098546041
0.14,0.36,1.001001001001001
0.16,0.36,1.228293096145701
0.18,0.36,1.2588116817724069
0.2,0.36,2.003338898163606
0.22,0.36,2.7278775781769795
0.24,0.36,2.375960866526904
0.26,0.36,2.7555555555555555
0.28,0.36,3.048180924287119
0.3,0.36,3.670634920634921
0.32,0.36,4.059040590405904
0.34,0.36,4.260651629072681
0.36,0.36,4.081632653061225
0.38,0.36,5.445544554455446
0.4,0.36,4.537521815008725
0.42,0.36,3.2148900169204735
0.44,0.36,5.056179775280898
0.46,0.36,4.545454545454546
0.48,0.36,3.397027600849257
0.5,0.36,4.139932783379162
0.0,0.38,0.24228743416102333
0.02,0.38,0.07074637424831977
0.04,0.38,0.13302926643861648
0.06,0.38,0.1718213058419244
0.08,0.38,0.23889154323936934
0.1,0.38,0.5301102629346904
0.12,0.38,0.6192784060312331
0.14,0.38,1.2345679012345678
0.16,0.38,1.228293096145701
0.18,0.38,2.014098690835851
0.2,0.38,1.7807456872565388
0.22,0.38,2.5282767797737855
0.24,0.38,2.3060796645702304
0.26,0.38,2.0444444444444447
0.28,0.38,3.2448377581120944
0.3,0.38,3.869047619047619
0.32,0.38,2.091020910209102
0.34,0.38,3.7593984962406015
0.36,0.38,4.761904761904762
0.38,0.38,4.29042904290429
0.4,0.38,3.8394415357766145
0.42,0.38,2.8764805414551606
0.44,0.38,2.6217228464419478
0.46,0.38,4.761904761904762
0.48,0.38,5.520169851380043
0.5,0.38,4.124656278643447
0.0,0.4,0.4213694507148232
0.02,0.4,0.10022403018511968
0.04,0.4,0.10452299505891297
0.06,0.4,0.1840942562592047
0.08,0.4,0.2866698518872432
0.1,0.4,0.4240882103477523
0.12,0.4,0.6462035541195477
0.14,0.4,0.9342676009342675
0.16,0.4,0.9741634900465904
0.18,0.4,1.7623363544813697
0.2,0.4,1.279910962715637
0.22,0.4,3.260146373918829
0.24,0.4,2.86512928022362
0.26,0.4,3.111111111111111
0.28,0.4,1.966568338249754
0.3,0.4,3.7698412698412698
0.32,0.4,2.706027060270603
0.34,0.4,2.631578947368421
0.36,0.4,4.081632653061225
0.38,0.4,4.9504950495049505
0.4,0.4,5.4101221640488655
0.42,0.4,3.8917089678511
0.44,0.4,5.430711610486892
0.46,0.4,4.545454545454546
0.48,0.4,4.45859872611465
0.5,0.4,5.66758325695081
0.0,0.42,0.17306245297215953
0.02,0.42,0.035373187124159884
0.04,0.42,0.07601672367920942
0.06,0.42,0.049091801669121256
0.08,0.42,0.19111323459149546
0.1,0.42,0.1272264631043257
0.12,0.42,0.3500269251480883
0.14,0.42,0.5005005005005005
0.16,0.42,1.0165184243964422
0.18,0.42,0.9566968781470292
0.2,0.42,0.9460211463550361
0.22,0.42,1.1976047904191618
0.24,0.42,1.4675052410901468
0.26,0.42,2.666666666666667
0.28,0.42,2.55653883972468
0.3,0.42,2.2817460317460316
0.32,0.42,1.8450184501845017
0.34,0.42,2.631578947368421
0.36,0.42,2.0408163265306123
0.38,0.42,2.8052805280528053
0.4,0.42,2.4432809773123907
0.42,0.42,3.3840947546531304
0.44,0.42,2.9962546816479403
0.46,0.42,4.545454545454546
0.48,0.42,4.670912951167728
0.5,0.42,5.362053162236481
0.0,0.44,0.32505643340857787
0.02,0.44,0.029477655936799903
0.04,0.44,0.10452299505891297
0.06,0.44,0.09818360333824251
0.08,0.44,0.19111323459149546
0.1,0.44,0.19083969465648853
0.12,0.44,0.4308023694130318
0.14,0.44,0.7340674007340674
0.16,0.44,1.1012282930961457
0.18,0.44,1.6112789526686808
0.2,0.44,1.725097384529772
0.22,0.44,1.8629407850964737
0.24,0.44,2.026554856743536
0.26,0.44,2.577777777777778
0.28,0.44,3.8348082595870205
0.3,0.44,3.373015873015873
0.32,0.44,4.674046740467404
0.34,0.44,2.506265664160401
0.36,0.44,4.2517006802721085
0.38,0.44,3.9603960396039604
0.4,0.44,5.2356020942408374
0.42,0.44,3.2148900169204735
0.44,0.44,5.430711610486892
0.46,0.44,5.411255411255411
0.48,0.44,3.821656050955414
0.5,0.44,5.927283837457989
0.0,0.46,0.3340857787810384
0.02,0.46,0.035373187124159884
0.04,0.46,0.03800836183960471
0.06,0.46,0.11045655375552282
0.08,0.46,0.23889154323936934
0.1,0.46,0.275657336726039
0.12,0.46,0.7000538502961766
0.14,0.46,0.8341675008341675
0.16,0.46,1.058873358746294
0.18,0.46,1.7119838872104733
0.2,0.46,1.3912075681691707
0.22,0.46,1.8629407850964737
0.24,0.46,2.4458420684835778
0.26,0.46,3.2
0.28,0.46,3.44149459193707
0.3,0.46,4.166666666666666
0.32,0.46,4.059040590405904
0.34,0.46,3.7593984962406015
0.36,0.46,3.061224489795918
0.38,0.46,4.455445544554455
0.4,0.46,5.5846422338568935
0.42,0.46,6.429780033840947
0.44,0.46,5.617977528089887
0.46,0.46,7.792207792207792
0.48,0.46,5.520169851380043
0.5,0.46,8.631225175679806
0.0,0.48,0.26335590669676445
0.02,0.48,0.029477655936799903
0.04,0.48,0.07601672367920942
0.06,0.48,0.09818360333824251
0.08,0.48,0.17518713170887085
0.1,0.48,0.23324851569126379
0.12,0.48,0.5385029617662896
0.14,0.48,0.3670337003670337
0.16,0.48,0.46590427784836935
0.18,0.48,0.7049345417925479
0.2,0.48,0.667779632721202
0.22,0.48,1.1310711909514306
0.24,0.48,1.397624039133473
0.26,0.48,1.4222222222222223
0.28,0.48,2.8515240904621435
0.3,0.48,1.6865079365079365
0.32,0.48,1.968019680196802
0.34,0.48,2.380952380952381
0.36,0.48,2.891156462585034
