beta_true,eta_true,gamma,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
1.5,200,1000,10,145,1.478908,184.923976,1041.714343,-0.021092,-15.076024,41.714343,0.821239
1.5,200,1000,10,146,2.0493,192.115522,1000.042025,0.5493,-7.884478,0.042025,0.884634
1.5,200,1000,10,147,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,148,2.325022,194.837801,962.204307,0.825022,-5.162199,-37.795693,0.847972
1.5,200,1000,10,149,1.617121,221.240624,1001.106301,0.117121,21.240624,1.106301,0.797855
1.5,200,1000,10,150,2.578265,213.944277,968.409549,1.078265,13.944277,-31.590451,0.889711
1.5,200,1000,10,151,12.776049,1214.277963,0.000591,11.276049,1014.277963,-999.999409,0.836943
1.5,200,1000,10,152,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,153,12.417434,1226.06354,0.000239,10.917434,1026.06354,-999.999761,0.847685
1.5,200,1000,10,154,11.180244,1196.485716,6.3e-05,9.680244,996.485716,-999.999937,0.885658
1.5,200,1000,10,155,2.342141,173.522892,1006.175089,0.842141,-26.477108,6.175089,0.811752
1.5,200,1000,10,156,18.887102,1223.315237,9.4e-05,17.387102,1023.315237,-999.999906,0.958493
1.5,200,1000,10,157,10.891035,1194.436829,0.000545,9.391035,994.436829,-999.999455,0.764396
1.5,200,1000,10,158,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,159,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,160,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,161,1.391384,136.780069,1030.265898,-0.108616,-63.219931,30.265898,0.779085
1.5,200,1000,10,162,1.604467,175.452375,1019.476921,0.104467,-24.547625,19.476921,0.827897
1.5,200,1000,10,163,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,164,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,165,23.830556,1131.681732,6.2e-05,22.330556,931.681732,-999.999938,0.908097
1.5,200,1000,10,166,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,167,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,168,1.733174,220.098636,982.828778,0.233174,20.098636,-17.171222,0.795007
1.5,200,1000,10,169,1.827073,217.880847,1047.524124,0.327073,17.880847,47.524124,0.866789
1.5,200,1000,10,170,2.360577,266.258373,960.962048,0.860577,66.258373,-39.037952,0.862965
1.5,200,1000,10,171,1.567138,125.139161,1129.677887,0.067138,-74.860839,129.677887,0.793776
1.5,200,1000,10,172,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,173,13.324082,1184.126825,0.000114,11.824082,984.126825,-999.999886,0.798954
1.5,200,1000,10,174,13.895146,1136.775683,0.000195,12.395146,936.775683,-999.999805,0.671348
1.5,200,1000,10,175,12.19202,1305.850825,8.2e-05,10.69202,1105.850825,-999.999918,0.909285
1.5,200,1000,10,176,1.528753,287.668246,984.251239,0.028753,87.668246,-15.748761,0.8222
1.5,200,1000,10,177,9.409979,1237.298611,7.9e-05,7.909979,1037.298611,-999.999921,0.727663
1.5,200,1000,10,178,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,179,13.66523,1228.296065,9.1e-05,12.16523,1028.296065,-999.999909,0.867992
1.5,200,1000,10,180,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,181,9.678732,1245.916639,7.7e-05,8.178732,1045.916639,-999.999923,0.825397
1.5,200,1000,10,182,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,183,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,184,18.012249,1158.56643,7.7e-05,16.512249,958.56643,-999.999923,0.964461
1.5,200,1000,10,185,13.663966,1157.672539,8.2e-05,12.163966,957.672539,-999.999918,0.83774
1.5,200,1000,10,186,37.93632,1163.074403,4.5e-05,36.43632,963.074403,-999.999955,0.694167
1.5,200,1000,10,187,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,188,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,189,1.377249,191.605674,1037.554464,-0.122751,-8.394326,37.554464,0.775269
1.5,200,1000,10,190,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,191,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,192,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,193,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,194,8.766381,1269.518996,7.8e-05,7.266381,1069.518996,-999.999922,0.882403
1.5,200,1000,10,195,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,196,8.601911,1197.221787,0.000101,7.101911,997.221787,-999.999899,0.658034
1.5,200,1000,10,197,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,198,1.922353,212.966124,993.95331,0.422353,12.966124,-6.04669,0.872761
1.5,200,1000,10,199,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,200,12.394059,1201.63955,0.000119,10.894059,1001.63955,-999.999881,0.765732
1.5,200,1000,10,201,11.936789,1224.296837,3.7e-05,10.436789,1024.296837,-999.999963,0.831584
1.5,200,1000,10,202,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,203,2.091555,184.429466,993.155909,0.591555,-15.570534,-6.844091,0.867769
1.5,200,1000,10,204,14.426688,1181.304077,5e-05,12.926688,981.304077,-999.99995,0.826899
1.5,200,1000,10,205,12.472346,1229.349409,9.3e-05,10.972346,1029.349409,-999.999907,0.907965
1.5,200,1000,10,206,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,207,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,208,14.0444,1203.741733,6e-05,12.5444,1003.741733,-999.99994,0.860295
1.5,200,1000,10,209,1.266006,173.262751,1043.111505,-0.233994,-26.737249,43.111505,0.731867
1.5,200,1000,10,210,10.709843,1261.592732,0.000594,9.209843,1061.592732,-999.999406,0.899528
1.5,200,1000,10,211,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,212,1.854797,197.3946,1042.800268,0.354797,-2.6054,42.800268,0.838286
1.5,200,1000,10,213,8.765349,1310.368375,2.7e-05,7.265349,1110.368375,-999.999973,0.839045
1.5,200,1000,10,214,10.874353,1318.668971,0.000152,9.374353,1118.668971,-999.999848,0.865227
1.5,200,1000,10,215,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,216,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,217,10.827671,1228.311398,8.3e-05,9.327671,1028.311398,-999.999917,0.909968
1.5,200,1000,10,218,9.98125,1258.091109,6.8e-05,8.48125,1058.091109,-999.999932,0.892643
1.5,200,1000,10,219,17.245075,1208.965181,6.4e-05,15.745075,1008.965181,-999.999936,0.959366
1.5,200,1000,10,220,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,221,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,222,17.04093,1278.90499,3.4e-05,15.54093,1078.90499,-999.999966,0.887484
1.5,200,1000,10,223,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
