sim_id,est_beta,est_eta,est_gamma,r_squared,has_intersection,gradient_type,grad_min,grad_max,sigma_min_min,sigma_min_max
303,1.725374,692.592090,1280.622209,0.983443,True,normal,-0.008500,1.813978,39.650130,179.372134
304,6.983752,2097.124316,0.000000,0.609368,False,below_offset,-0.411119,-0.006432,109.018833,201.557252
305,1.665573,914.680039,1218.040907,0.930039,True,normal,-0.047021,1.149797,149.285557,277.070455
306,1.013283,849.017148,1489.626478,0.943483,True,normal,-0.046050,2.203612,188.939257,277.429186
307,2.408421,1139.534711,817.196660,0.875845,True,normal,0.012981,0.613066,125.941490,313.068427
308,1.442495,837.715653,984.507871,0.922186,True,normal,0.007784,2.066892,146.894181,304.742459
309,1.502267,649.855100,1420.050262,0.894477,True,normal,0.004041,1.722160,105.762621,230.475026
310,2.135485,1383.860585,845.138622,0.956155,True,normal,0.005656,0.961924,98.720556,367.959908
311,1.997226,555.827852,1304.229479,0.957135,True,normal,-0.006311,1.047266,48.671990,144.396466
312,1.397840,521.651180,1334.160386,0.944432,True,normal,-0.054927,1.571479,94.370841,166.160189
313,2.359572,1170.680017,1076.551992,0.900245,True,normal,0.010281,0.667251,112.447381,318.072652
314,2.534964,1130.643709,1200.097972,0.894694,True,normal,0.016463,0.606207,77.580915,290.268636
315,0.730389,487.751988,1324.395693,0.946760,True,normal,-0.763538,0.393248,159.786469,382.868869
316,1.954168,1021.169605,1017.149086,0.911371,True,normal,0.016064,1.019938,116.226936,322.921844
317,1.554242,820.905106,1283.127016,0.960571,True,normal,-0.041202,1.638074,107.443526,246.181830
318,2.430138,727.313880,923.298473,0.946223,True,normal,0.003807,0.750561,33.408127,177.199930
319,1.188579,1501.670931,912.100496,0.976059,True,normal,-0.094011,3.068660,199.548490,487.772214
320,1.707316,1291.767504,861.397835,0.945309,True,normal,-0.042040,1.239754,166.875516,379.220742
321,1.736060,1376.427652,939.787343,0.978865,True,normal,-0.000986,1.774060,87.149637,391.656797
322,2.318045,670.233670,931.569602,0.928506,True,normal,-0.002086,0.736798,57.275765,172.548160
323,2.304457,2101.856304,693.852085,0.943700,True,normal,0.054951,0.817835,157.185924,552.481224
324,1.169223,624.682959,1148.628833,0.886689,True,normal,-0.071387,2.352145,151.668847,243.748010
325,1.895098,841.937675,1546.125764,0.934588,True,normal,-0.019485,0.964441,111.326433,234.873390
326,2.126178,1249.011332,824.682206,0.962103,True,normal,0.005438,0.992738,80.473549,328.365488
327,2.608068,1100.252837,834.422645,0.841725,True,normal,0.027213,0.520445,107.692532,294.614993
328,1.545243,1034.578163,1086.912023,0.914581,True,normal,0.008153,1.627965,170.853496,362.274236
329,2.601915,1040.520428,946.226411,0.871423,True,normal,0.014623,0.548218,92.314604,272.010516
330,2.172363,1490.237542,650.790904,0.968849,True,normal,0.045148,1.069806,68.191002,389.924180
331,1.681997,1227.751380,1049.599261,0.922485,True,normal,0.013463,1.581802,153.723080,417.828730
332,2.149001,1178.777257,1117.298831,0.844496,True,normal,0.020558,0.739251,162.762905,395.678007
333,1.276620,631.083202,1026.965202,0.977103,True,normal,-0.023998,2.721816,80.238091,187.503230
334,1.251661,657.610121,1088.370788,0.948110,True,normal,-0.107114,1.854424,129.999318,212.871965
335,3.232455,1359.639576,750.831514,0.468385,True,normal,0.052179,0.291392,204.926104,382.175426
336,1.118127,637.931291,1433.190805,0.984137,True,normal,-0.253939,2.426825,77.660021,171.502562
337,1.678863,749.049094,1048.222927,0.988579,True,normal,-0.043530,1.772331,44.160804,192.764365
338,1.358100,501.450573,1219.212707,0.832876,True,normal,0.004421,1.207551,121.340751,201.006808
339,1.137220,785.631153,1062.634341,0.979664,True,normal,-0.293118,2.704492,108.393080,239.903442
340,6.142016,1991.365693,0.000000,0.391545,False,below_offset,-1.711298,-0.016379,83.304146,286.866955
341,2.197220,1455.485757,858.199996,0.896029,True,normal,0.034640,0.773013,165.667057,439.646098
342,1.360393,892.508415,1033.263982,0.950011,True,normal,-0.018190,2.714129,127.767828,303.883795
343,1.624844,1097.049722,1034.330132,0.974755,True,normal,-0.016865,1.750466,98.408025,312.393265
344,2.433341,887.283380,876.818329,0.860027,True,normal,0.004725,0.586349,102.218021,244.329221
345,2.233250,577.322178,1352.165967,0.955037,True,normal,0.001057,0.908568,26.925668,142.045578
346,1.296558,912.127018,931.753641,0.933610,True,normal,-0.018555,3.092773,157.259117,333.710335
347,1.777241,729.396017,1357.536284,0.887234,True,normal,0.004362,1.403223,90.810207,250.264339
348,5.716197,2102.760601,0.000000,0.676833,False,below_offset,-0.881556,-0.015122,59.757679,233.023803
349,4.550474,2199.514006,0.000000,0.802342,False,below_offset,-0.587305,-0.005168,153.125128,228.375651
350,2.375709,1174.746505,814.156799,0.944124,True,normal,0.012861,0.763146,72.174800,295.852782
351,1.010416,762.757868,1008.164609,0.910575,True,normal,-0.126006,3.450156,186.350396,299.242293
352,4.641142,1940.704080,0.000000,0.748255,False,below_offset,-0.644077,-0.007090,128.943744,225.376091
353,1.826281,845.277485,1091.360420,0.967290,True,normal,-0.005080,1.318269,71.832514,228.633690
354,1.376332,468.450147,1785.521544,0.957775,True,normal,-0.071613,1.219767,72.732188,125.246064
355,1.475084,916.459871,1196.879914,0.983692,True,normal,-0.023414,2.583998,72.044522,261.780064
356,1.485774,368.950196,1431.578031,0.863240,True,normal,-0.005072,1.050112,78.414764,127.682523
357,2.500999,745.315516,1322.339460,0.910255,True,normal,0.006844,0.634152,43.289318,189.749752
358,1.893699,780.445763,1244.500369,0.980458,True,normal,-0.006267,1.481245,39.541009,199.586960
359,1.496615,563.362552,1492.611176,0.973184,True,normal,-0.036892,1.616344,58.416811,144.341357
360,2.475139,1360.518462,706.204492,0.904452,True,normal,0.027920,0.630047,123.660510,356.919570
361,2.453230,959.149651,1047.665644,0.900910,True,normal,0.005736,0.631263,83.212752,251.448927
362,1.041256,691.484358,1054.438558,0.965418,True,normal,-0.255153,2.799718,126.278322,223.033720
363,2.667930,1170.987570,961.990922,0.865322,True,normal,0.027585,0.528831,91.964040,301.905912
364,1.684638,790.027909,882.841053,0.955134,True,normal,-0.046179,1.275579,101.676946,227.218657
365,1.741184,605.090131,1541.125142,0.944308,True,normal,-0.044935,1.054645,84.035923,164.737240
366,2.151315,1376.141496,923.492899,0.966002,True,normal,0.007918,0.999054,74.514858,352.913667
367,4.457866,1756.364180,0.000000,0.610800,False,below_offset,-1.586715,-0.018434,82.310244,265.244859
368,1.712285,1223.321672,711.160172,0.985116,True,normal,-0.015036,1.756979,72.647141,335.780458
369,2.325577,735.942093,1127.257231,0.890464,True,normal,-0.001910,0.659985,83.510825,199.650414
370,1.911374,1045.976431,846.278720,0.895926,True,normal,-0.007905,0.887163,165.251014,320.703580
371,1.121187,755.141729,1489.820737,0.978956,True,normal,-0.147330,2.810157,96.112378,212.271929
372,1.296503,832.215290,1014.268594,0.950785,True,normal,-0.122916,1.871057,152.695944,270.629672
373,4.355342,802.691156,1239.356347,-2.658696,False,below_offset,0.022289,0.195095,151.894217,270.098187
374,1.651062,1003.245767,1128.271172,0.893768,True,normal,0.010735,1.749392,142.145027,366.365321
375,0.953934,540.819492,1184.833962,0.976313,True,normal,-0.382348,2.288656,93.184222,216.001157
376,2.028206,1206.339026,940.746816,0.961900,True,normal,0.001755,1.083473,85.163282,323.907350
377,1.996664,862.189779,1052.618880,0.859221,True,normal,0.010259,0.893521,119.851257,298.689023
378,4.525013,1674.297561,0.000000,0.677816,False,below_offset,-0.487472,-0.009437,140.394941,217.966726
379,2.499588,1277.416044,678.049530,0.871479,True,normal,0.044001,0.579229,133.983897,354.837677
380,1.846353,1093.795221,1193.239441,0.966907,True,normal,-0.012643,1.288210,99.282532,308.356803
381,1.634496,378.678970,1463.757991,0.996691,True,normal,-0.082372,1.396229,12.671855,73.322875
382,0.999981,547.625846,1463.619837,0.955311,True,normal,-0.270635,1.368923,119.113521,209.307941
383,1.386276,399.731288,1370.253087,0.954982,True,normal,-0.015160,1.335807,55.779448,106.791084
384,1.191553,434.364008,1510.813979,0.883032,True,normal,0.000438,0.918036,113.268729,154.405095
385,1.179698,630.880286,995.953077,0.969253,True,normal,-0.240915,2.261210,101.427241,201.657869
386,2.082367,1183.365863,987.537191,0.964588,True,normal,-0.010885,1.002033,87.422173,306.566098
387,1.422994,1083.482539,1042.147732,0.980969,True,normal,-0.108703,2.081486,105.560815,312.319372
388,1.947909,476.808518,1395.137647,0.984523,True,normal,-0.016224,1.241320,22.938286,108.556564
389,1.307329,705.666845,1283.187405,0.977731,True,normal,-0.103742,2.239361,80.281003,195.562775
390,1.119597,670.047713,1566.243677,0.966289,True,normal,-0.106857,2.000658,116.727401,190.434785
391,1.043455,372.982403,1198.136636,0.903928,True,normal,-0.056305,0.847253,91.923781,114.233244
392,2.033890,1466.813819,847.290650,0.959660,True,normal,-0.006629,1.022174,120.772815,394.275861
393,1.226448,718.415012,1260.125624,0.840133,True,normal,-0.000865,1.801021,209.328166,309.113610
394,2.640751,1242.946498,907.550027,0.838613,True,normal,0.023279,0.508474,130.762207,335.156789
395,5.599674,1944.887851,0.000000,0.654161,False,below_offset,-0.460066,-0.015699,108.393084,231.413295
396,2.497499,1134.227985,768.076563,0.901756,True,normal,0.022667,0.619860,96.594373,297.226894
397,2.060095,1013.720792,772.674737,0.957324,True,normal,0.005366,1.030044,70.733660,269.185283
398,1.648762,803.115183,1006.180208,0.914310,True,normal,0.001409,1.550495,116.895983,278.832653
399,0.611216,622.916489,1264.426264,0.988066,False,below_offset,-0.934531,0.020545,119.701254,300.467991
400,1.697457,1017.649227,875.360096,0.966297,True,normal,-0.012914,1.461145,102.108001,289.569758
401,1.887462,812.624866,1100.454635,0.957857,True,normal,0.002784,1.289866,58.366280,222.787938
402,2.003160,1109.056143,945.493725,0.899936,True,normal,-0.003602,0.845165,154.036127,327.559321
403,1.964894,601.921045,1284.982485,0.952933,True,normal,0.000888,1.119793,46.602849,161.543689
404,1.814147,1101.966278,958.274643,0.969476,True,normal,-0.015420,1.294604,97.822806,300.749016
405,0.962999,429.278549,1255.646545,0.972676,True,normal,-0.325539,1.020215,77.904284,152.832149
