comparison,seed,test_n,point_estimate_J1,ci_low_J1,ci_high_J1,bootstrap_mean_J1,point_estimate_regret,ci_low_regret,ci_high_regret,bootstrap_mean_regret,representation,train_n
T_minus_S,2026,20,0.02556332486700469,0.013138956222859788,0.03736948827913003,0.025406761123712582,0.020462129553554698,0.009565256891415299,0.03269610387888939,0.020541097676390105,F12,10
T_minus_S,2026,20,0.12642454869057473,0.09023018885542296,0.1640754951969326,0.12644329318648742,0.1139650998999813,0.08033215056994376,0.147569686331678,0.11389277168296348,RAW,7
T_minus_S,2026,20,0.0756442942943934,0.04557062839059729,0.10929612871076783,0.07577832250636479,0.064348127388704,0.03909886277302845,0.09114726813946607,0.06427522161305484,RAW,10
RAW_minus_F13,3407,7,-0.0013390323124026215,-0.005358709341471165,0.002970864811822645,-0.0013496503078610188,-0.0017354187942761057,-0.00715195556571414,0.003720937892281115,-0.0017876148308631095,,
F12_minus_F13,3407,7,-0.009167069720568688,-0.01905891071098665,0.0012710832030556722,-0.009123112654116567,-0.011808987547037103,-0.025834357503892773,0.0015221235378346395,-0.011922225384559088,,
J_minus_S,3407,7,0.008351613394310342,0.001211150899137062,0.01581871413183614,0.008296676671404948,0.010765329900464596,0.0014804919089761385,0.021456904246902046,0.010823313078352664,F13,"7,10,20"
J_minus_S,3407,7,-0.012870838986393407,-0.023413672686215338,-0.0022401008184089032,-0.012821222924661068,-0.0166278409387247,-0.03180020663333949,-0.0027801473044445383,-0.016741823095269375,F12,"7,10,20"
J_minus_S,3407,7,0.005915175207378165,1.277696479765061e-05,0.011429314330626161,0.005875868032462034,0.0076233025729156995,1.5655008270995232e-05,0.015171177840370717,0.007624671841536815,RAW,"7,10,20"
L_minus_S,3407,7,0.00915457727714497,0.0022564237261984924,0.01764880042216873,0.009211947542502548,0.0118077107774439,0.0029412555841707125,0.02238368200848005,0.011838641383976445,F13,"10,20"
L_minus_S,3407,7,-0.013948096510531527,-0.030345752127264203,0.0032924004828313595,-0.013820121682630651,-0.018004524581404793,-0.0411206501986276,0.004087784688179669,-0.0180976407865521,F12,"10,20"
L_minus_S,3407,7,0.11463117560619174,0.08319822075640106,0.15045220145218216,0.11436972276196126,0.1601955061581632,0.1111982180270173,0.21499892660086115,0.16010174935447136,RAW,"10,20"
T_minus_S,3407,7,0.04137098434341069,0.029053798418089857,0.053604962301023976,0.0412979508050386,0.0546937392274888,0.03784037567920994,0.0709084586934002,0.05459523034435633,F13,10
T_minus_S,3407,7,0.16243795014552942,0.12896341247069187,0.19307398928885705,0.16222616110752255,0.2344139359883379,0.17831097184482297,0.2874533087980029,0.2343842104706206,F13,20
T_minus_S,3407,7,-0.006495204258262222,-0.01944112625103107,0.007737990679178189,-0.006407459418983869,-0.008432567476008193,-0.026467608789012834,0.009515411458718443,-0.008544054560545081,F12,10
T_minus_S,3407,7,0.04215866134138213,0.006220033393091649,0.08041971993803909,0.04221524247384507,0.056784757928098506,0.008539587158377136,0.1062365815796944,0.05652017864475611,F12,20
T_minus_S,3407,7,0.12089655184414205,0.0826437797610915,0.16365646454450786,0.12075385490352483,0.16970874647349352,0.11392544283531608,0.23306578378362053,0.16959489040466583,RAW,10
T_minus_S,3407,7,0.08395972563091958,0.049264150227524034,0.12211439925291043,0.08383860818210329,0.114757406165304,0.06502306531570391,0.1757932887835902,0.11510198411996983,RAW,20
RAW_minus_F13,3407,10,-0.0004132140556070141,-0.004766783446990349,0.003710588990962148,-0.00039529823034376764,-0.00044541402525979934,-0.005199074842886452,0.004052611706121653,-0.0004238394279425361,,
F12_minus_F13,3407,10,-0.0036798214531675866,-0.012686669843817961,0.0053848424958869955,-0.0036142067983608826,-0.003954553362232403,-0.014370739112806527,0.005504303978367455,-0.004008449279076396,,
J_minus_S,3407,10,0.007667845460871181,-0.0031460189904410404,0.018176256741427737,0.007619435534945171,0.008209739831717397,-0.003339165732635783,0.02022169915047496,0.008244225743138685,F13,"7,10,20"
J_minus_S,3407,10,0.005767898269088412,0.00140925995402017,0.01041889593521991,0.005806691044238519,0.006144030486554798,0.0015688667501342715,0.01059394723929027,0.006125313865792228,F12,"7,10,20"
J_minus_S,3407,10,0.008861505328036312,0.002170328215050524,0.015470940533168184,0.00878478783135908,0.009469855824978002,0.002184539798930738,0.017519762291712405,0.009486472532137559,RAW,"7,10,20"
L_minus_S,3407,10,0.009353459348445448,-0.001233382650346082,0.019901127786009033,0.00934432370573563,0.010030244073445799,-0.0013220102792260398,0.022316864984194936,0.01010964508869604,F13,"7,20"
L_minus_S,3407,10,0.012220281597584148,0.006820847515834019,0.017981862148160346,0.012263258285438346,0.013096032142992702,0.0072917244041982325,0.01893003251218977,0.013113314604937198,F12,"7,20"
L_minus_S,3407,10,0.06775047519059507,0.04410388151688163,0.0943838865531867,0.0677297458932886,0.076391363361965,0.04977205692997635,0.10473805434412292,0.07622106261546505,RAW,"7,20"
T_minus_S,3407,10,0.03483216069471584,0.01610543488934589,0.055993731509133095,0.034653812989234006,0.0382399764085637,0.016832211354652092,0.06523581243102189,0.03831345902831766,F13,7
T_minus_S,3407,10,0.12464221049853053,0.09809369578089264,0.15245703345212505,0.12463910504058585,0.1480307446315261,0.11442792838652349,0.1801294060374199,0.14793124877073988,F13,20
T_minus_S,3407,10,0.0340720799793679,0.02304618079640077,0.04441574883014361,0.033959206830977015,0.037258347383156205,0.023089668555409646,0.05242411431763645,0.03735498388745833,F12,7
