run_id,phase,seed,representation,family,train_n,test_n,J1,J1_hindsight,J1_minus_hindsight,mean_curve_rmse,mean_regret,median_regret,p95_regret,near5_hit,n_samples
F12_T_20to7-10_seed2026,confirm,2026,F12,T,20,"7,10",0.6239475559824514,0.541724066083185,0.08222348989926642,0.2566808306048136,0.09584558884277529,0.014386211159442597,0.41708655188844457,0.44333333333333336,
F12_T_20to7-10_seed2026,confirm,2026,F12,T,20,7,0.6859040713585548,0.5864600855982591,0.09944398576029567,,0.1265289631063239,0.01913467780905645,0.6102165072213673,0.43933333333333335,3000.0
F12_T_20to7-10_seed2026,confirm,2026,F12,T,20,10,0.5551186450901351,0.4929447185511582,0.06217392653897691,,0.06516221457922672,0.01117508654806876,0.2731295395216446,0.44733333333333336,3000.0
F12_L_hold7_seed2026,confirm,2026,F12,L,"10,20",7,0.6390230775134893,0.5864600855982591,0.05256299191523017,0.22238299405816772,0.06441506159489349,0.0003593096037898119,0.27459864921655497,0.596,
F12_L_hold7_seed2026,confirm,2026,F12,L,"10,20",7,0.6390230775134893,0.5864600855982591,0.05256299191523017,,0.06441506159489349,0.0003593096037898119,0.27459864921655497,0.596,3000.0
F12_L_hold10_seed2026,confirm,2026,F12,L,"7,20",10,0.5407206959218961,0.4929447185511582,0.04777597737073791,0.18805421613061654,0.04938437545077899,0.010130247716067652,0.21199073664659188,0.42766666666666664,
F12_L_hold10_seed2026,confirm,2026,F12,L,"7,20",10,0.5407206959218961,0.4929447185511582,0.04777597737073791,,0.04938437545077899,0.010130247716067652,0.21199073664659188,0.42766666666666664,3000.0
F12_L_hold20_seed2026,confirm,2026,F12,L,"7,10",20,0.4094022186344522,0.3599815345588963,0.04942068407555589,0.16888542788131636,0.03802347139943396,0.009183737039673505,0.16391882029544658,0.3873333333333333,
F12_L_hold20_seed2026,confirm,2026,F12,L,"7,10",20,0.4094022186344522,0.3599815345588963,0.04942068407555589,,0.03802347139943396,0.009183737039673505,0.16391882029544658,0.3873333333333333,3000.0
RAW_J_seed2026,confirm,2026,RAW,J,"7,10,20","7,10,20",0.5368897459672335,0.4887114461420549,0.04817829982517857,0.18133838727646048,0.04941172173450193,0.00684437881709345,0.20100687658070895,0.4708888888888889,
RAW_J_seed2026,confirm,2026,RAW,J,"7,10,20",7,0.6429121759214561,0.5864600855982591,0.05645209032319698,,0.0694006339481438,0.009755895945776749,0.29405393965921,0.4876666666666667,3000.0
RAW_J_seed2026,confirm,2026,RAW,J,"7,10,20",10,0.5399827567094536,0.4929447185511582,0.04703803815829544,,0.048586881996060406,0.009307522022979874,0.18798027346927537,0.4533333333333333,3000.0
RAW_J_seed2026,confirm,2026,RAW,J,"7,10,20",20,0.39979288948489244,0.3599815345588963,0.039811354925996134,,0.030247649259301578,0.0029590484919413498,0.128758042573496,0.4716666666666667,3000.0
RAW_S_7to7_seed2026,confirm,2026,RAW,S,7,7,0.6522447936926602,0.5864600855982591,0.06578470809440107,0.26548715972310793,0.08148783889926343,0.026360537954776827,0.30386550844956,0.36466666666666664,
RAW_S_7to7_seed2026,confirm,2026,RAW,S,7,7,0.6522447936926602,0.5864600855982591,0.06578470809440107,,0.08148783889926343,0.026360537954776827,0.30386550844956,0.36466666666666664,3000.0
RAW_S_10to10_seed2026,confirm,2026,RAW,S,10,10,0.536666329940759,0.4929447185511582,0.043721611389600845,0.18669686436833108,0.04501625414460305,0.01492726534108889,0.18175388481184607,0.37933333333333336,
RAW_S_10to10_seed2026,confirm,2026,RAW,S,10,10,0.536666329940759,0.4929447185511582,0.043721611389600845,,0.04501625414460305,0.01492726534108889,0.18175388481184607,0.37933333333333336,3000.0
RAW_S_20to20_seed2026,confirm,2026,RAW,S,20,20,0.38751150153668995,0.3599815345588963,0.02752996697779364,0.08259017319086762,0.020578458599842236,0.0033132730648006703,0.09396103948823714,0.482,
RAW_S_20to20_seed2026,confirm,2026,RAW,S,20,20,0.38751150153668995,0.3599815345588963,0.02752996697779364,,0.020578458599842236,0.0033132730648006703,0.09396103948823714,0.482,3000.0
RAW_T_7to10-20_seed2026,confirm,2026,RAW,T,7,"10,20",0.5503146074894874,0.4316139483212159,0.11870065916827144,0.8184997459513824,0.11655556683087932,0.02810624811906897,0.5012133937726446,0.29533333333333334,
RAW_T_7to10-20_seed2026,confirm,2026,RAW,T,7,10,0.5844331191072386,0.4929447185511582,0.09148840055608043,,0.09856757516193507,0.0230080999507011,0.3861440051463183,0.339,3000.0
