scope,scope_value,contrast,n_cells,n_samples,J1_direct,J1_comparator,delta_J1,ci95_low,ci95_high,relative_change_percent,bootstrap_reps,bootstrap_seed
beta,4.5,Direct-P minus MDM-0.1,20,6000,0.3627223329269027,0.7307311927296972,-0.3680088598027945,-0.375517256101672,-0.36054615815381597,-50.361728562328345,3000,20260830
beta,4.75,Direct-P minus Adaptive-MDM,20,6000,0.3787999217456695,0.671207253639651,-0.29240733189398144,-0.3008427951769776,-0.28404984713438786,-43.56438794551009,3000,20260830
beta,4.75,Direct-P minus MDM-0.1,20,6000,0.3787999217456695,0.7637364909619451,-0.38493656921627556,-0.3922546635999213,-0.37749596363269294,-50.40175162135285,3000,20260830
beta,5.0,Direct-P minus Adaptive-MDM,20,6000,0.39488617308740503,0.6854856292965286,-0.29059945620912353,-0.2988067705395298,-0.28264443871707357,-42.39322369271953,3000,20260830
beta,5.0,Direct-P minus MDM-0.1,20,6000,0.39488617308740503,0.7867857669431971,-0.3918995938557921,-0.3994836302928235,-0.38448352374607264,-49.81020378373033,3000,20260830
beta,5.25,Direct-P minus Adaptive-MDM,20,6000,0.4123645176030837,0.7089295852597872,-0.29656506765670354,-0.30453529512047756,-0.2884658464489349,-41.83279606648484,3000,20260830
beta,5.25,Direct-P minus MDM-0.1,20,6000,0.4123645176030837,0.8161844986434496,-0.40381998104036587,-0.411144517068422,-0.39680444793750086,-49.476556061961524,3000,20260830
beta,5.5,Direct-P minus Adaptive-MDM,20,6000,0.4288390431726805,0.7271011906409883,-0.2982621474683078,-0.3063325094356311,-0.2901400848756763,-41.02072054171302,3000,20260830
beta,5.5,Direct-P minus MDM-0.1,20,6000,0.4288390431726805,0.8377689261514117,-0.40892988297873123,-0.4159442444988235,-0.40173927618260435,-48.811774967268775,3000,20260830
beta,5.75,Direct-P minus Adaptive-MDM,20,6000,0.4469738874959023,0.7455482035401994,-0.2985743160442971,-0.3066968253414986,-0.2903043805987652,-40.047620613466904,3000,20260830
beta,5.75,Direct-P minus MDM-0.1,20,6000,0.4469738874959023,0.8617515653566731,-0.4147776778607708,-0.42141983270692684,-0.40776292519360197,-48.13193204808362,3000,20260830
seen_grid_n,7,Direct-P minus Adaptive-MDM,40,12000,0.40763086937490384,0.6944721217876271,-0.28684125241272324,-0.29285473443280147,-0.280852689583127,-41.303494181216486,3000,20260830
seen_grid_n,7,Direct-P minus MDM-0.1,40,12000,0.40763086937490384,0.7550642910373094,-0.3474334216624056,-0.3534228120359129,-0.34161531402064355,-46.01375350238065,3000,20260830
seen_grid_n,10,Direct-P minus Adaptive-MDM,40,12000,0.37653214087211506,0.5907127135134514,-0.2141805726413364,-0.21961372845894075,-0.20858614387529179,-36.2579927165321,3000,20260830
seen_grid_n,10,Direct-P minus MDM-0.1,40,12000,0.37653214087211506,0.6565025690096857,-0.27997042813757067,-0.28526059954841687,-0.27469332192565077,-42.64574753452946,3000,20260830
seen_grid_n,15,Direct-P minus Adaptive-MDM,40,12000,0.3487825832353885,0.5107374027251019,-0.1619548194897134,-0.16682289407936135,-0.15705206097634722,-31.7099978630082,3000,20260830
seen_grid_n,15,Direct-P minus MDM-0.1,40,12000,0.3487825832353885,0.5688066809463889,-0.22002409771100034,-0.22473589492102272,-0.21546023252621718,-38.68170066935941,3000,20260830
seen_grid_n,20,Direct-P minus Adaptive-MDM,40,12000,0.32507683792595893,0.45347519699325,-0.12839835906729108,-0.13264921583942654,-0.12398726256268242,-28.314306916592464,3000,20260830
seen_grid_n,20,Direct-P minus MDM-0.1,40,12000,0.32507683792595893,0.505509045096821,-0.1804322071708621,-0.18456096843329106,-0.17609844698888782,-35.69317085835796,3000,20260830
