window_id,beta_center,beta_lower,beta_upper,beta_levels,delta,mean_loss,J1,excess_J1_pct
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.12,0.3074019263438448,0.5544383882306895,0.15007676708509443
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.14,0.3124696942408696,0.5589898874227239,0.9722294231127915
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.16,0.3187698650551937,0.5645970820462977,1.9850759069050428
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.18,0.32615323747008046,0.5710982730407093,3.15940797154719
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.2,0.33444895983392803,0.5783156230242513,4.463102250749773
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.22,0.34312217574737236,0.5857663149647412,5.808945874942495
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.24,0.3514223104224647,0.5928088312622077,7.081059355532271
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.26,0.3599469825099329,0.5999558171315058,8.372043527367158
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.28,0.3682562974125125,0.6068412456421469,9.615781711001127
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.3,0.37660869285080617,0.6136845222512999,10.85190585444682
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.32,0.384790459910412,0.620314807102339,12.04955657798028
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.34,0.39262630832763296,0.6265990012181898,13.18469176429038
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.36,0.40012268663038775,0.632552516895149,14.26009538845905
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.38,0.40739018023979773,0.6382712434692619,15.293088264791187
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.4,0.4144942557902019,0.6438122830376894,16.29398493776213
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.42,0.4214850190250674,0.6492187759338661,17.270577991357673
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.44,0.4281848794766048,0.6543583723592178,18.198960634906935
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.46,0.43449035020977006,0.6591588201714137,19.066081720158646
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.48,0.44064492496213925,0.6638109105476794,19.906404501193386
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.5,0.4465497315220502,0.6682437665418587,20.707126236084818
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.0,0.9079595279537381,0.9528691032632647,65.75189280664844
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.02,0.4936580828374698,0.7026080577658285,22.218901921634803
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.04,0.3784359345545905,0.6151714676044319,7.009278406529074
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.06,0.33967560644398503,0.5828169579241711,1.3812008437575019
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.08,0.33148247162969857,0.5757451446861698,0.15105661328602693
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.1,0.33048328381760034,0.5748767553290012,0.0
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.12,0.33689582152454156,0.5804272749660732,0.9655147099999484
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.14,0.3467255150106082,0.5888340301057745,2.427872521786978
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.16,0.3562076833902518,0.5968313693081587,3.819012297095381
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.18,0.36702191498700654,0.6058233364496671,5.38316792839455
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.2,0.37794232771092157,0.6147701421758555,6.939467716697534
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.22,0.38932998272420144,0.6239631260933626,8.53859028206303
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.24,0.4001290218991469,0.6325575245771303,10.033588715048758
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.26,0.4105739669742788,0.640760459902356,11.460492003307676
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.28,0.42074037558041283,0.6486450304908015,12.832015641262595
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.3,0.43040489546062355,0.6560525096824366,14.120549074380051
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.32,0.43987034637110245,0.6632272207706063,15.368592419612126
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.34,0.4490308436552935,0.6700976374046498,16.563703644819295
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.36,0.45777452010984226,0.6765903635951684,17.69311549359074
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.38,0.46614375522470963,0.6827472118029554,18.76410125718513
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.4,0.4742189222208979,0.6886355510870013,19.788379805493463
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.42,0.4820664856379836,0.6943100788826154,20.775465775314352
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.44,0.4896019302707181,0.699715606707981,21.71575911214827
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.46,0.4966057542184405,0.704702599838003,22.583248201556284
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.48,0.5033953170926281,0.7095035708808153,23.418378687927177
5,3.0,2.5,3.5,2.50;2.75;3.00;3.25;3.50,0.5,0.5098654380067068,0.714048624399422,24.208992237087923
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.0,0.9296787880802576,0.9641985210942079,62.32683365248823
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.02,0.4922973284125424,0.7016390299951553,18.123850653561192
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.04,0.38640493234660156,0.6216147780954066,4.651434815841693
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.06,0.35654742650798893,0.5971159238439291,0.5269507477235313
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.08,0.35281926204643943,0.5939859106464054,0.0
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.1,0.35759453343818975,0.5979920847621562,0.6744560845544312
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.12,0.3689908350450459,0.6074461581449387,2.266088682791345
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.14,0.3823983668594987,0.6183836728597374,4.107464802789873
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.16,0.39556753851642174,0.6289416018331286,5.884936083531467
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.18,0.40905144338646093,0.6395712965623621,7.674489427930786
6,3.25,2.75,3.75,2.75;3.00;3.25;3.50;3.75,0.2,0.4224761368405669,0.6499816434643112,9.427114652764823
