route,n,beta,gamma_over_eta,count,relative_bias,within_cell_variance,cell_mse,identity_residual
Q,10,4.0,0.1,3000,-0.031940329376749864,0.01954245200362434,0.02056263664431961,0.0
Q,10,4.0,0.25,3000,-0.09431720689236317,0.01596268468842192,0.02485842020439876,0.0
Q,10,4.0,0.5,3000,-0.05062764773653423,0.010769369795077035,0.013332528510411635,1.734723475976807e-18
Q,10,4.0,0.75,3000,-0.026380823964790277,0.00694581908287896,0.007641766955940213,-8.673617379884035e-19
Q,10,4.0,1.0,3000,-0.04605089190137369,0.003297725481221908,0.005418410126133913,0.0
Q,10,4.5,0.1,3000,-0.06272629469791355,0.012126857448364767,0.01606144549489426,-3.469446951953614e-18
Q,10,4.5,0.25,3000,-0.0964164112101959,0.010895755111487139,0.020191879462140728,0.0
Q,10,4.5,0.5,3000,-0.06639002284620103,0.008941538965245525,0.013349174098764622,1.734723475976807e-18
Q,10,4.5,0.75,3000,-0.0463864436866833,0.0050820779393867,0.007233780097284542,8.673617379884035e-19
Q,10,4.5,1.0,3000,-0.052997500707870134,0.002382493830137192,0.005191228911417887,0.0
Q,10,5.0,0.1,3000,-0.08810410512735689,0.009906049661286588,0.01766838300157894,-1.734723475976807e-18
Q,10,5.0,0.25,3000,-0.11976110837443654,0.008587074979460959,0.02292979805853449,-1.734723475976807e-18
Q,10,5.0,0.5,3000,-0.08022010957478293,0.005448580472276754,0.011883846452466935,1.734723475976807e-18
Q,10,5.0,0.75,3000,-0.059616069400019414,0.003997956219659483,0.007552031950367415,8.673617379884035e-19
Q,10,5.0,1.0,3000,-0.06155344880385807,0.0016962720707865966,0.005485099130435773,0.0
Q,15,1.5,0.1,3000,0.22251704851116422,0.09661485679953946,0.14612869367765927,0.0
Q,15,1.5,0.25,3000,-0.03480682868394797,0.04009020481924585,0.04130172014227955,0.0
Q,15,1.5,0.5,3000,-0.07409900601091794,0.032352215827303354,0.037842878519109405,0.0
Q,15,1.5,0.75,3000,-0.02208186645979246,0.012664755554910702,0.013152364381258809,0.0
Q,15,1.5,1.0,3000,-0.017481680188364407,0.004980746260777833,0.005286355402986084,-8.673617379884035e-19
Q,15,2.0,0.1,3000,0.1230464210317344,0.05889779359516347,0.07403821532388231,-6.938893903907228e-18
Q,15,2.0,0.25,3000,-0.02075307280858639,0.042885267841846327,0.04331595787284481,0.0
Q,15,2.0,0.5,3000,-0.039965433389807,0.024486275086267568,0.026083510952302665,-3.469446951953614e-18
Q,15,2.0,0.75,3000,0.0004967066721116045,0.01501260722398038,0.015012853941498497,-3.469446951953614e-18
Q,15,2.0,1.0,3000,-0.016629940369709707,0.00573945724976988,0.0060160121664699796,-8.673617379884035e-19
Q,15,2.5,0.1,3000,0.05210377035403508,0.03976779857664438,0.04248260146175041,6.938893903907228e-18
Q,15,2.5,0.25,3000,-0.03717375208155346,0.031116012753596038,0.032497900597416834,-3.469446951953614e-18
Q,15,2.5,0.5,3000,-0.02589569839022685,0.017349594963594044,0.01802018215871164,0.0
Q,15,2.5,0.75,3000,-0.012139509194274069,0.010253015574086668,0.010400383257564533,0.0
Q,15,2.5,1.0,3000,-0.009901906091447017,0.005802071058956547,0.005900118803200381,-8.673617379884035e-19
Q,15,3.0,0.1,3000,0.0137503059343544,0.025649031821500745,0.02583810273478909,3.469446951953614e-18
Q,15,3.0,0.25,3000,-0.04419744880269718,0.0204479611900246,0.022401375670691635,-3.469446951953614e-18
Q,15,3.0,0.5,3000,-0.031244082755384928,0.016651871992366094,0.01762806469959144,3.469446951953614e-18
Q,15,3.0,0.75,3000,-0.00583863880377127,0.009003613976250477,0.009037703679331382,1.734723475976807e-18
Q,15,3.0,1.0,3000,-0.018489845640240674,0.004153057795917689,0.004494932187717616,-8.673617379884035e-19
Q,15,3.5,0.1,3000,-0.011061888619162345,0.021046211468990803,0.02116857684881356,3.469446951953614e-18
Q,15,3.5,0.25,3000,-0.05257761955726043,0.016122034249831316,0.01888644032813933,0.0
Q,15,3.5,0.5,3000,-0.011355803986429236,0.012025436532978585,0.012154390817156788,0.0
