route,n,beta,gamma_over_eta,count,relative_bias,within_cell_variance,cell_mse,identity_residual
P,20,3.0,0.25,3000,-0.02643293322562507,0.019696586849154294,0.020395286808064645,-3.469446951953614e-18
P,20,3.0,0.5,3000,-0.0032298675203289045,0.011193784640239835,0.011204216684438715,5.204170427930421e-18
P,20,3.0,0.75,3000,-0.00442129216292354,0.005908527239561745,0.005928075063951674,8.673617379884035e-19
P,20,3.0,1.0,3000,-0.013627494539725225,0.0029317177628233764,0.0031174263702536172,0.0
P,20,3.5,0.1,3000,0.02369130327236174,0.016941918623161925,0.01750319647390494,0.0
P,20,3.5,0.25,3000,-0.028407859896387586,0.011814863601415409,0.012621870105308193,-1.734723475976807e-18
P,20,3.5,0.5,3000,-0.008687361385463192,0.006765442084420035,0.0068409123322616715,-8.673617379884035e-19
P,20,3.5,0.75,3000,-0.005543938962394046,0.004021387594823323,0.004052122854042072,-1.734723475976807e-18
P,20,3.5,1.0,3000,-0.017315360634537987,0.002355250039158438,0.0026550717530625456,0.0
P,20,4.0,0.1,3000,0.001564592339928519,0.009579425048200217,0.00958187299739038,0.0
P,20,4.0,0.25,3000,-0.040214380726956434,0.008857914813006951,0.010475111230259555,-1.734723475976807e-18
P,20,4.0,0.5,3000,-0.01310371043699221,0.004940103707772506,0.005111810934989043,-8.673617379884035e-19
P,20,4.0,0.75,3000,-0.018191076206921328,0.003325819313719665,0.003656734567285684,0.0
P,20,4.0,1.0,3000,-0.025091955517010926,0.0014520496789585087,0.002081655910626164,0.0
P,20,4.5,0.1,3000,-0.01887061250273109,0.006549249301709598,0.006905349317937829,-8.673617379884035e-19
P,20,4.5,0.25,3000,-0.05509326111425859,0.006778034213109139,0.009813301633313018,8.673617379884035e-19
P,20,4.5,0.5,3000,-0.027811419173168057,0.003087085737878599,0.003860560774304258,-8.673617379884035e-19
P,20,4.5,0.75,3000,-0.024051866831067702,0.0027478872885250832,0.0033263795865844975,-4.336808689942018e-19
P,20,4.5,1.0,3000,-0.027091910586376798,0.001171895445026939,0.001905867064247174,0.0
P,20,5.0,0.1,3000,-0.04184931394791298,0.004651652133888534,0.006403017211799518,-8.673617379884035e-19
P,20,5.0,0.25,3000,-0.07626846561083281,0.004709429668009664,0.010526308514640453,2.6020852139652106e-18
P,20,5.0,0.5,3000,-0.05044293976661862,0.0024388268519175103,0.004983317024216225,0.0
P,20,5.0,0.75,3000,-0.033058322379572624,0.002020462598044469,0.0031133152765962214,0.0
P,20,5.0,1.0,3000,-0.037837061450006634,0.0007800170444506692,0.002211660263622247,-1.0842021724855044e-19
Q,7,1.5,0.1,3000,0.3357502441532415,0.19843676239075012,0.3111649888397114,-2.7755575615628914e-17
Q,7,1.5,0.25,3000,0.06663944398066693,0.09223802615418805,0.09667884164824049,0.0
Q,7,1.5,0.5,3000,-0.07710060361458454,0.07143624612089554,0.07738074919862883,1.3877787807814457e-17
Q,7,1.5,0.75,3000,-0.043212509860393766,0.0383320819221217,0.04019940293055633,0.0
Q,7,1.5,1.0,3000,-0.05311606910427387,0.014816859604040531,0.017638176401130523,-5.204170427930421e-18
Q,7,2.0,0.1,3000,0.18328309669991677,0.13213067528472272,0.16572336882063377,0.0
Q,7,2.0,0.25,3000,0.006464218944572621,0.0650889540354315,0.06513074016199485,-1.3877787807814457e-17
Q,7,2.0,0.5,3000,-0.08364736567770402,0.05629589931268617,0.0632927810975057,-6.938893903907228e-18
Q,7,2.0,0.75,3000,-0.037996928362546895,0.030219333353497344,0.031663099918485864,0.0
Q,7,2.0,1.0,3000,-0.047287331278900335,0.011121942949460324,0.013358034648940791,1.734723475976807e-18
Q,7,2.5,0.1,3000,0.08951549769632403,0.07411974697947023,0.08213277130729081,-1.3877787807814457e-17
Q,7,2.5,0.25,3000,-0.049441179070901245,0.05037534983158823,0.052819780019509134,-2.0816681711721685e-17
Q,7,2.5,0.5,3000,-0.07220959807836819,0.0498859102252487,0.05510013627988817,-6.938893903907228e-18
Q,7,2.5,0.75,3000,-0.03096248221543404,0.02038296014468715,0.021341635449628218,0.0
Q,7,2.5,1.0,3000,-0.04110915278487664,0.009255162934480398,0.010945125377170729,0.0
Q,7,3.0,0.1,3000,0.03334702065890391,0.047990118857649706,0.04910214264447508,6.938893903907228e-18
Q,7,3.0,0.25,3000,-0.03871624113120439,0.03669871911599749,0.03819766644332705,0.0
Q,7,3.0,0.5,3000,-0.06640208343077582,0.030544799001847697,0.03495403568579541,0.0
Q,7,3.0,0.75,3000,-0.036530233139094585,0.015957991524804555,0.01729244945800116,0.0
Q,7,3.0,1.0,3000,-0.053622508165255565,0.006310800419237095,0.009186173801169996,8.673617379884035e-19
Q,7,3.5,0.1,3000,-0.018134765630350255,0.028807875538563583,0.029136745263031314,0.0
Q,7,3.5,0.25,3000,-0.09817584629758615,0.021075039026969687,0.030713535823216943,-3.469446951953614e-18
Q,7,3.5,0.5,3000,-0.06534126592000757,0.022012993327750943,0.026282474359780088,3.469446951953614e-18
Q,7,3.5,0.75,3000,-0.04359723366540372,0.011265822658234365,0.013166541441510176,0.0
Q,7,3.5,1.0,3000,-0.05529230269954011,0.0051309548202559925,0.008188193558073563,0.0
Q,7,4.0,0.1,3000,-0.044474556329233264,0.01861417298259268,0.020592159143274818,-3.469446951953614e-18
Q,7,4.0,0.25,3000,-0.10761532524572491,0.014537221107425936,0.02611827933516909,-1.734723475976807e-18
Q,7,4.0,0.5,3000,-0.0875044091060372,0.016392406343551484,0.02404942795654821,0.0
Q,7,4.0,0.75,3000,-0.04740218640406238,0.009322345677328108,0.011569312953213584,0.0
Q,7,4.0,1.0,3000,-0.0648765998331246,0.0033668110820886336,0.007575784287996016,-8.673617379884035e-19
Q,7,4.5,0.1,3000,-0.08581193308209065,0.016680559115978398,0.024044246975263604,3.469446951953614e-18
Q,7,4.5,0.25,3000,-0.1381094836813912,0.012025681931874572,0.03109991141461503,-1.734723475976807e-18
Q,7,4.5,0.5,3000,-0.10097630397556047,0.014203800159303961,0.02440001412386875,0.0
Q,7,4.5,0.75,3000,-0.0583678586729402,0.006930302786075873,0.010337109712140191,-2.6020852139652106e-18
Q,7,4.5,1.0,3000,-0.07951059560929813,0.003266070823691103,0.009588005637836442,-4.336808689942018e-19
Q,7,5.0,0.1,3000,-0.10879611021562474,0.008661761221549954,0.02049835481960032,1.734723475976807e-18
