n,fold,seed,route,reliability,mse
7,5,17,QCP,0.95,0.03847346493040205
7,5,17,QCP,0.99,0.06467471642652828
7,5,73,P,0.9,0.02917399223227324
7,5,73,P,0.95,0.0421840889955304
7,5,73,P,0.99,0.0751515693354751
7,5,73,Q,0.9,0.04442296721617044
7,5,73,Q,0.95,0.04012720852045517
7,5,73,Q,0.99,0.16202105685058343
7,5,73,QP,0.9,0.027569080115003135
7,5,73,QP,0.95,0.038560581582078
7,5,73,QP,0.99,0.06427306103519159
7,5,73,QCP,0.9,0.02743397276046564
7,5,73,QCP,0.95,0.038606305910087874
7,5,73,QCP,0.99,0.06522512058322855
7,5,314,P,0.9,0.02869740093236077
7,5,314,P,0.95,0.0414227014108647
7,5,314,P,0.99,0.07316096840302447
7,5,314,Q,0.9,0.048541758699952475
7,5,314,Q,0.95,0.040119719439460466
7,5,314,Q,0.99,0.14882731577321734
7,5,314,QP,0.9,0.02741627652607624
7,5,314,QP,0.95,0.03826788026191233
7,5,314,QP,0.99,0.06381734277066253
7,5,314,QCP,0.9,0.02740965768499889
7,5,314,QCP,0.95,0.038279264127332874
7,5,314,QCP,0.99,0.06367444396626179
7,5,2718,P,0.9,0.028839354231930018
7,5,2718,P,0.95,0.04161995337301723
7,5,2718,P,0.99,0.07372742152713307
7,5,2718,Q,0.9,0.047102167964904434
7,5,2718,Q,0.95,0.04085346786263123
7,5,2718,Q,0.99,0.15844292938747048
7,5,2718,QP,0.9,0.027707562209402212
7,5,2718,QP,0.95,0.038663088084580424
7,5,2718,QP,0.99,0.0641919552136458
7,5,2718,QCP,0.9,0.02766321372294718
7,5,2718,QCP,0.95,0.038639690011148024
7,5,2718,QCP,0.99,0.06437783845458125
7,5,4099,P,0.9,0.0291026968551032
7,5,4099,P,0.95,0.04219942649712583
7,5,4099,P,0.99,0.07558486845553508
7,5,4099,Q,0.9,0.046939010538056776
7,5,4099,Q,0.95,0.04009534561214614
7,5,4099,Q,0.99,0.15464722319975785
7,5,4099,QP,0.9,0.02754386111030904
7,5,4099,QP,0.95,0.03849747125063248
7,5,4099,QP,0.99,0.0637446747424671
7,5,4099,QCP,0.9,0.027462755972212805
7,5,4099,QCP,0.95,0.03854590481255202
7,5,4099,QCP,0.99,0.06465338104855606
7,5,8128,P,0.9,0.029006956344384386
7,5,8128,P,0.95,0.042004032882591205
7,5,8128,P,0.99,0.07488397257747996
7,5,8128,Q,0.9,0.04828946691370898
7,5,8128,Q,0.95,0.040750856161549054
7,5,8128,Q,0.99,0.15284575142451068
7,5,8128,QP,0.9,0.027672840348368446
7,5,8128,QP,0.95,0.038696647769057554
7,5,8128,QP,0.99,0.06440185629173956
7,5,8128,QCP,0.9,0.027545342476969974
7,5,8128,QCP,0.95,0.03850977652194785
7,5,8128,QCP,0.99,0.06390669873919454
7,5,12011,P,0.9,0.028532317182756017
7,5,12011,P,0.95,0.04114421220737942
7,5,12011,P,0.99,0.07262868241792492
7,5,12011,Q,0.9,0.04908264606451756
