beta_true,eta_true,gamma,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
2.0,1000,1000,30,129,2.016611,920.452765,1011.090057,0.016611,-79.547235,11.090057,0.960604
2.0,1000,1000,30,130,1.669267,1019.642462,961.502608,-0.330733,19.642462,-38.497392,0.969748
2.0,1000,1000,30,131,2.355882,1108.938325,834.84649,0.355882,108.938325,-165.15351,0.976015
2.0,1000,1000,30,132,1.870037,879.468867,1051.769776,-0.129963,-120.531133,51.769776,0.968006
2.0,1000,1000,30,133,1.997981,899.221276,1031.70327,-0.002019,-100.778724,31.70327,0.979298
2.0,1000,1000,30,134,3.733473,2005.051904,4.5e-05,1.733473,1005.051904,-999.999955,0.898122
2.0,1000,1000,30,135,2.129308,960.84453,1045.312582,0.129308,-39.15547,45.312582,0.935221
2.0,1000,1000,30,136,2.836653,1097.286805,884.411875,0.836653,97.286805,-115.588125,0.955927
2.0,1000,1000,30,137,4.099432,2092.569865,1.3e-05,2.099432,1092.569865,-999.999987,0.857903
2.0,1000,1000,30,138,2.312379,1176.927568,947.707038,0.312379,176.927568,-52.292962,0.973648
2.0,1000,1000,30,139,1.775561,901.30118,1116.783571,-0.224439,-98.69882,116.783571,0.981348
2.0,1000,1000,30,140,2.021086,843.582512,1043.4636,0.021086,-156.417488,43.4636,0.970123
2.0,1000,1000,30,141,3.831515,1957.555959,8e-06,1.831515,957.555959,-999.999992,0.858641
2.0,1000,1000,30,142,1.857067,787.632175,1137.595893,-0.142933,-212.367825,137.595893,0.968589
2.0,1000,1000,30,143,2.224547,1071.863139,877.492079,0.224547,71.863139,-122.507921,0.944601
2.0,1000,1000,30,144,1.918404,1175.032208,1001.468633,-0.081596,175.032208,1.468633,0.969435
2.0,1000,1000,30,145,1.785342,849.765414,1057.218073,-0.214658,-150.234586,57.218073,0.972322
2.0,1000,1000,30,146,2.1,1092.041365,1002.59712,0.1,92.041365,2.59712,0.942663
2.0,1000,1000,30,147,2.053891,851.42961,1154.6377,0.053891,-148.57039,154.6377,0.979065
2.0,1000,1000,30,148,2.155291,958.266215,1016.245788,0.155291,-41.733785,16.245788,0.979116
2.0,1000,1000,30,149,1.62733,829.539266,1247.794876,-0.37267,-170.460734,247.794876,0.96746
2.0,1000,1000,30,150,4.4,1942.37762,0.851065,2.4,942.37762,-999.148935,0.876073
2.0,1000,1000,30,151,1.990238,1165.593943,983.354573,-0.009762,165.593943,-16.645427,0.968087
2.0,1000,1000,30,152,2.176714,933.09363,970.85654,0.176714,-66.90637,-29.14346,0.965102
2.0,1000,1000,30,153,1.917047,938.284302,1087.780418,-0.082953,-61.715698,87.780418,0.963449
2.0,1000,1000,30,154,2.225251,1170.4979,852.646672,0.225251,170.4979,-147.353328,0.98432
2.0,1000,1000,30,155,3.090589,1302.046042,851.339078,1.090589,302.046042,-148.660922,0.950157
2.0,1000,1000,30,156,2.105776,1038.847202,961.77624,0.105776,38.847202,-38.22376,0.968504
2.0,1000,1000,30,157,1.76152,1030.445461,1038.287515,-0.23848,30.445461,38.287515,0.975954
2.0,1000,1000,30,158,2.819049,1173.511159,838.395134,0.819049,173.511159,-161.604866,0.932903
2.0,1000,1000,30,159,2.818088,1208.377991,845.48982,0.818088,208.377991,-154.51018,0.974483
2.0,1000,1000,30,160,2.317472,1095.253904,868.495096,0.317472,95.253904,-131.504904,0.96959
2.0,1000,1000,30,161,3.624526,2196.389996,4e-06,1.624526,1196.389996,-999.999996,0.833796
2.0,1000,1000,30,162,1.813287,913.812312,1146.975041,-0.186713,-86.187688,146.975041,0.971262
2.0,1000,1000,30,163,1.761085,838.593517,1188.46781,-0.238915,-161.406483,188.46781,0.972038
2.0,1000,1000,30,164,2.175529,929.472034,1007.116353,0.175529,-70.527966,7.116353,0.96517
2.0,1000,1000,30,165,1.812516,994.215759,1056.017757,-0.187484,-5.784241,56.017757,0.931855
2.0,1000,1000,30,166,2.234435,1079.322731,943.296011,0.234435,79.322731,-56.703989,0.974376
2.0,1000,1000,30,167,1.871445,864.687958,1073.862236,-0.128555,-135.312042,73.862236,0.975991
2.0,1000,1000,30,168,2.005761,1193.042876,901.065212,0.005761,193.042876,-98.934788,0.984481
2.0,1000,1000,30,169,2.099631,1143.311861,1086.704957,0.099631,143.311861,86.704957,0.970106
2.0,1000,1000,30,170,4.00447,1931.634903,6.8e-05,2.00447,931.634903,-999.999932,0.857418
2.0,1000,1000,30,171,2.256674,1150.411628,1016.231989,0.256674,150.411628,16.231989,0.949684
2.0,1000,1000,30,172,4.092068,2127.987687,3e-06,2.092068,1127.987687,-999.999997,0.845683
2.0,1000,1000,30,173,1.91258,1051.299329,1018.558654,-0.08742,51.299329,18.558654,0.973053
2.0,1000,1000,30,174,3.653331,1947.596853,1e-06,1.653331,947.596853,-999.999999,0.890975
2.0,1000,1000,30,175,1.581281,801.552759,1130.565111,-0.418719,-198.447241,130.565111,0.983222
2.0,1000,1000,30,176,3.858295,2214.130232,5.4e-05,1.858295,1214.130232,-999.999946,0.87338
2.0,1000,1000,30,177,1.505906,663.575959,1100.607917,-0.494094,-336.424041,100.607917,0.973888
2.0,1000,1000,30,178,1.814263,857.474894,1033.931066,-0.185737,-142.525106,33.931066,0.944017
2.0,1000,1000,30,179,3.677667,1994.574029,2e-05,1.677667,994.574029,-999.99998,0.883467
2.0,1000,1000,30,180,1.627792,928.466281,1052.914615,-0.372208,-71.533719,52.914615,0.98568
2.0,1000,1000,30,181,2.137258,810.853684,1097.165275,0.137258,-189.146316,97.165275,0.956888
2.0,1000,1000,30,182,1.717225,849.924763,1144.987087,-0.282775,-150.075237,144.987087,0.975773
2.0,1000,1000,30,183,1.868876,840.381503,1063.372833,-0.131124,-159.618497,63.372833,0.968187
2.0,1000,1000,30,184,1.623356,869.245373,1137.807909,-0.376644,-130.754627,137.807909,0.960269
2.0,1000,1000,30,185,1.932933,936.604043,960.598481,-0.067067,-63.395957,-39.401519,0.969692
2.0,1000,1000,30,186,1.811845,1028.487295,1045.638328,-0.188155,28.487295,45.638328,0.960967
2.0,1000,1000,30,187,2.379635,955.4608,980.179597,0.379635,-44.5392,-19.820403,0.965315
2.0,1000,1000,30,188,1.682411,921.627711,1073.271,-0.317589,-78.372289,73.271,0.945831
2.0,1000,1000,30,189,3.391183,1463.523058,677.126033,1.391183,463.523058,-322.873967,0.969537
2.0,1000,1000,30,190,2.632014,1134.401252,1020.110199,0.632014,134.401252,20.110199,0.96538
2.0,1000,1000,30,191,1.667498,814.654918,1059.169171,-0.332502,-185.345082,59.169171,0.965792
2.0,1000,1000,30,192,1.682255,975.286304,975.884748,-0.317745,-24.713696,-24.115252,0.974715
2.0,1000,1000,30,193,1.505096,801.090922,1320.563627,-0.494904,-198.909078,320.563627,0.981068
2.0,1000,1000,30,194,1.716932,880.356474,1135.595234,-0.283068,-119.643526,135.595234,0.985759
2.0,1000,1000,30,195,2.264838,1236.411764,974.502941,0.264838,236.411764,-25.497059,0.871933
2.0,1000,1000,30,196,1.773797,883.382818,1057.996433,-0.226203,-116.617182,57.996433,0.959819
2.0,1000,1000,30,197,1.711499,852.388787,1087.381374,-0.288501,-147.611213,87.381374,0.961214
2.0,1000,1000,30,198,2.300488,950.424518,940.344261,0.300488,-49.575482,-59.655739,0.964375
2.0,1000,1000,30,199,2.553026,1322.647161,886.50384,0.553026,322.647161,-113.49616,0.97372
2.0,1000,1000,30,200,1.526018,873.228829,1137.267456,-0.473982,-126.771171,137.267456,0.981409
2.0,1000,1000,30,201,4.030998,2050.237219,2.8e-05,2.030998,1050.237219,-999.999972,0.777397
2.0,1000,1000,30,202,2.162838,969.093371,1038.103454,0.162838,-30.906629,38.103454,0.941244
2.0,1000,1000,30,203,2.428969,1297.263641,782.265089,0.428969,297.263641,-217.734911,0.970626
2.0,1000,1000,30,204,4.151073,1986.803294,3.1e-05,2.151073,986.803294,-999.999969,0.878323
2.0,1000,1000,30,205,3.318624,2182.554273,4.2e-05,1.318624,1182.554273,-999.999958,0.887785
2.0,1000,1000,30,206,1.564909,769.404215,972.531608,-0.435091,-230.595785,-27.468392,0.958884
2.0,1000,1000,30,207,3.151354,1143.614515,901.025478,1.151354,143.614515,-98.974522,0.975751
2.0,1000,1000,30,208,2.092375,1178.526123,858.398188,0.092375,178.526123,-141.601812,0.933402
2.0,1000,1000,30,209,2.442005,1310.925832,858.907049,0.442005,310.925832,-141.092951,0.975103
2.0,1000,1000,30,210,2.007249,999.314644,963.885875,0.007249,-0.685356,-36.114125,0.955394
2.0,1000,1000,30,211,3.323175,1232.079145,741.03672,1.323175,232.079145,-258.96328,0.977633
2.0,1000,1000,30,212,2.052956,861.645031,1142.265283,0.052956,-138.354969,142.265283,0.976776
2.0,1000,1000,30,213,1.741714,968.488146,1084.413684,-0.258286,-31.511854,84.413684,0.967744
2.0,1000,1000,30,214,1.764475,989.7833,1004.926318,-0.235525,-10.2167,4.926318,0.972662
2.0,1000,1000,30,215,4.824781,2020.568792,2.6e-05,2.824781,1020.568792,-999.999974,0.875413
2.0,1000,1000,30,216,3.86598,2139.345548,5.8e-05,1.86598,1139.345548,-999.999942,0.889169
2.0,1000,1000,30,217,2.038005,1054.115049,889.967607,0.038005,54.115049,-110.032393,0.943353
2.0,1000,1000,30,218,1.850759,981.082582,1011.78094,-0.149241,-18.917418,11.78094,0.95991
2.0,1000,1000,30,219,1.962853,725.419768,1088.092842,-0.037147,-274.580232,88.092842,0.947873
2.0,1000,1000,30,220,1.78736,918.662273,1065.862987,-0.21264,-81.337727,65.862987,0.979733
2.0,1000,1000,30,221,1.734113,857.143795,1046.284557,-0.265887,-142.856205,46.284557,0.984929
2.0,1000,1000,30,222,2.03044,985.967677,958.6338,0.03044,-14.032323,-41.3662,0.975918
2.0,1000,1000,30,223,2.010074,1050.359631,983.331472,0.010074,50.359631,-16.668528,0.974843
2.0,1000,1000,30,224,2.447944,1189.624965,822.888092,0.447944,189.624965,-177.111908,0.982505
2.0,1000,1000,30,225,3.702606,2006.62222,0.000121,1.702606,1006.62222,-999.999879,0.888189
2.0,1000,1000,30,226,3.598664,2209.900062,8.2e-05,1.598664,1209.900062,-999.999918,0.802234
2.0,1000,1000,30,227,2.41208,957.412923,957.13045,0.41208,-42.587077,-42.86955,0.903557
2.0,1000,1000,30,228,2.013027,1034.862877,1051.328588,0.013027,34.862877,51.328588,0.977721
2.0,1000,1000,30,229,4.245956,1989.602659,9.6e-05,2.245956,989.602659,-999.999904,0.899535
2.0,1000,1000,30,230,1.520211,626.824464,1227.343899,-0.479789,-373.175536,227.343899,0.960155
2.0,1000,1000,30,231,1.944897,1039.077597,1024.831623,-0.055103,39.077597,24.831623,0.972466
2.0,1000,1000,30,232,2.241246,847.754782,993.406419,0.241246,-152.245218,-6.593581,0.9579
2.0,1000,1000,30,233,2.834931,1088.751798,962.935445,0.834931,88.751798,-37.064555,0.95687
2.0,1000,1000,30,234,2.203313,897.313528,1094.625673,0.203313,-102.686472,94.625673,0.958072
2.0,1000,1000,30,235,1.574653,793.290876,1234.673766,-0.425347,-206.709124,234.673766,0.97309
2.0,1000,1000,30,236,2.568931,1092.624194,862.919622,0.568931,92.624194,-137.080378,0.960928
2.0,1000,1000,30,237,2.184414,863.274192,941.89117,0.184414,-136.725808,-58.10883,0.956792
2.0,1000,1000,30,238,4.067277,1913.953073,9.2e-05,2.067277,913.953073,-999.999908,0.879301
2.0,1000,1000,30,239,5.0,1803.913621,6.361967,3.0,803.913621,-993.638033,0.886323
2.0,1000,1000,30,240,2.1,922.825998,1127.674981,0.1,-77.174002,127.674981,0.944646
