n,beta,gamma_over_eta,qcp_vs_q_relative_rmsre_improvement,p_rmsre,p_signed_relative_bias,p_relative_error_sd,p_mae,p_mdape,p_p95_absolute_error,p_within_10pct,p_within_20pct,p_q025_signed_error,p_q975_signed_error,q_rmsre,q_signed_relative_bias,q_relative_error_sd,q_mae,q_mdape,q_p95_absolute_error,q_within_10pct,q_within_20pct,q_q025_signed_error,q_q975_signed_error,qcp_rmsre,qcp_signed_relative_bias,qcp_relative_error_sd,qcp_mae,qcp_mdape,qcp_p95_absolute_error,qcp_within_10pct,qcp_within_20pct,qcp_q025_signed_error,qcp_q975_signed_error
7,3.5,0.25,0.009788010194299838,0.1685139958826992,-0.07929770240992366,0.1486904206761873,0.1382246086035787,0.12115771323442459,0.30734355598688085,0.41233333333333333,0.7286666666666667,-0.3490384891629219,0.23457175493240368,0.17525277693439537,-0.09817584629758615,0.14517244582554117,0.14360444271796707,0.12479864060878754,0.328270514309406,0.396,0.7126666666666667,-0.3728564068675041,0.21969411112368106,0.17353740096718215,-0.09577480331841313,0.14471494941354135,0.1434395302722308,0.1254877746105194,0.30929950177669524,0.38166666666666665,0.7203333333333334,-0.356681901961565,0.21856008209288127
7,3.5,0.5,0.01242348750368217,0.14211221096308438,-0.05322974379504679,0.13176674421237658,0.11493001089031228,0.09851884096860886,0.2791864752769469,0.507,0.8323333333333334,-0.30260227993130684,0.21386673860251912,0.16211870453399288,-0.06534126592000757,0.1483677637755282,0.13095347585152559,0.1091073639690876,0.32159136682748785,0.4633333333333333,0.771,-0.3638769634068012,0.21827872581779964,0.16010462483410168,-0.06682846457589767,0.14549036812001143,0.1299010691512861,0.10913778841495514,0.31583111882209747,0.459,0.78,-0.3546929515898228,0.2225208308547736
7,3.5,0.75,0.0015451626984870504,0.10925950888036957,-0.041901981424557255,0.1009052240147933,0.0875001190886566,0.07220311090350151,0.21584815531969068,0.6306666666666667,0.9256666666666666,-0.2359923779964447,0.15996013619005683,0.1147455508571473,-0.04359723366540372,0.1061405796961481,0.09062730655758303,0.07552063092589378,0.22910293936729428,0.612,0.912,-0.25658471807837485,0.15834312289953237,0.11456825031214549,-0.042188872030720706,0.10651752464436028,0.09046583079704783,0.07455870509147644,0.23046638667583463,0.619,0.9143333333333333,-0.2534340851008892,0.15777047090232374
7,3.5,1.0,0.060474521838894985,0.0848133878098583,-0.05772601291069441,0.062137091863232255,0.06519606373854185,0.046308500692248344,0.17429649233818048,0.751,0.9756666666666667,-0.1982177734375,0.039113116078078755,0.09048863772912909,-0.05529230269954011,0.07163068351102056,0.07077273399048015,0.05540771596133709,0.18315635547041886,0.7256666666666667,0.9656666666666667,-0.2111774146556854,0.06909487862139943,0.08501638063060701,-0.054867179833754484,0.06494133931956358,0.06521359983087685,0.04643934965133667,0.17190049886703487,0.75,0.9733333333333334,-0.20212729275226593,0.04763320703059436
7,4.0,0.1,0.08972866568926761,0.14794824676159865,-0.04253474420384403,0.14170207922025863,0.1175242818067524,0.09614499285817146,0.28706324249505993,0.5213333333333333,0.826,-0.316259840130806,0.22405623570084582,0.14349968342569547,-0.044474556329233264,0.1364337677504828,0.11388730413994441,0.09651290252804756,0.2817385450005531,0.5216666666666666,0.837,-0.31712760403752327,0.19857171401381496,0.1306236483050755,-0.03400046383869873,0.12612099728150503,0.10167497335960313,0.08275384828448296,0.2569339632987976,0.6176666666666667,0.8686666666666667,-0.2822405345737934,0.20786322541534902
7,4.0,0.25,0.013403523637921189,0.1518428788872326,-0.08947603199173561,0.12267966240488562,0.12313933032568214,0.11088413745164871,0.2726175010204315,0.45766666666666667,0.8046666666666666,-0.31199666485190386,0.1944600023329261,0.1616115074342452,-0.10761532524572491,0.12057039896851107,0.13465845095332285,0.12316199392080307,0.2963229790329931,0.388,0.7903333333333333,-0.34324218705296516,0.1830075468868018,0.15944534377419023,-0.10499625462466793,0.11999418388431,0.13246498831053516,0.12409071624279022,0.28758917301893216,0.397,0.789,-0.3227431632578373,0.17856163606047637
7,4.0,0.5,0.011164711361862038,0.1390884911838727,-0.08124984374174749,0.11288964200380766,0.11226317560344273,0.09687212854623795,0.2668286576867103,0.513,0.8233333333333334,-0.29917857348918914,0.13388000354170812,0.15507877983962928,-0.0875044091060372,0.1280328330685199,0.12350668372820534,0.10616433247923851,0.30057403743267047,0.47733333333333333,0.7936666666666666,-0.3265618644654751,0.1355499316006899,0.15334737002437007,-0.08920774511868512,0.12472928326672442,0.1229475460737182,0.10730154067277908,0.2958693385124206,0.4736666666666667,0.7976666666666666,-0.3240683116018772,0.1353017866611482
7,4.0,0.75,0.009429403659239314,0.10412434385745678,-0.0495807849641778,0.09156213598470635,0.08326642590787715,0.06963252648711205,0.2109253726899624,0.6693333333333333,0.9386666666666666,-0.2272859912365675,0.1285715937614442,0.10756074076173697,-0.04740218640406238,0.09655229503915537,0.08527006656182735,0.06832008436322212,0.21657489389181125,0.654,0.93,-0.24132134057581425,0.1309641629457474,0.10654650711920775,-0.048047318253427874,0.09509791474032017,0.08430162682757206,0.06765365973114967,0.22017359286546698,0.6653333333333333,0.9296666666666666,-0.23391203694045543,0.13077455498278143
7,4.0,1.0,0.05194043821478245,0.0834502751535674,-0.0681311247166353,0.04818815485212519,0.06924338044892163,0.06359003856778145,0.1652765408158302,0.764,0.9983333333333333,-0.18265623599290848,0.009101736871525646,0.0870389814278408,-0.0648765998331246,0.058024228405801605,0.07115703189029864,0.06542479991912842,0.17256186604499807,0.7466666666666667,0.9786666666666667,-0.19434310048818587,0.03842038754373796,0.08251813859071044,-0.06543647670784897,0.050272365296839136,0.06754296840303627,0.06177951395511627,0.16760416775941847,0.776,0.9946666666666667,-0.1840102568268776,0.016098571196198463
7,4.5,0.1,0.08653001611254268,0.15786724188411652,-0.08778359869870958,0.13121015913259945,0.12226969984721411,0.1025729551911354,0.32386573404073704,0.493,0.801,-0.3858386509120464,0.15891544222831727,0.15506207458712656,-0.08581193308209065,0.1291532388907781,0.11776630649900592,0.09575123339891434,0.2996399134397503,0.5146666666666667,0.8253333333333334,-0.36959311887621876,0.1459196045994759,0.1416445507746582,-0.08048552554287017,0.11655581899777773,0.10946620210330002,0.08748689293861389,0.28869146108627286,0.5416666666666666,0.8466666666666667,-0.34367358312010765,0.13682886511087425
