method,n,repeat_id,scale,scale_factor,beta_hat,eta_hat,gamma_hat,e_beta,e_eta,e_gamma,L_i,converged
wmle,20,3,display,1000.000000000000,2.112989859912,972.088313974855,1074.238699714490,-0.998943505070,-0.027911686025,0.074238699714,1.004178573074,True
wmle,20,4,norm,1.000000000000,2.227778439201,0.970941921245,1.097541581147,0.113889219601,-0.029058078755,0.097541581147,0.023329486335,True
wmle,20,4,display,1000.000000000000,2.227746310855,970.932816552636,1097.549167777840,-0.998886126845,-0.029067183447,0.097549167778,1.008134235690,True
lse,7,0,norm,1.000000000000,10.918141111788,2.008716531190,0.000000000000,4.459070555894,1.008716531190,-1.000000000000,21.900819262737,True
lse,7,0,display,1000.000000000000,10.918141111788,2008.716531189938,0.000000000000,-0.994540929444,1.008716531190,-1.000000000000,3.006620700635,True
lse,7,1,norm,1.000000000000,1.809238580647,0.748881788062,1.273191244355,-0.095380709676,-0.251118211938,0.273191244355,0.146791292137,True
lse,7,1,display,1000.000000000000,1.809238581043,748.881788168855,1273.191244259365,-0.999095380709,-0.251118211831,0.273191244259,1.135885392008,True
lse,7,2,norm,1.000000000000,2.725566835778,1.097376905367,1.087003177797,0.362783417889,0.097376905367,0.087003177797,0.148663622941,True
lse,7,2,display,1000.000000000000,2.725566505236,1097.376810266807,1087.003269514235,-0.998637216747,0.097376810267,0.087003269514,1.014328102757,True
lse,7,3,norm,1.000000000000,0.892233462369,0.519443209531,1.086641730503,-0.553883268815,-0.480556790469,0.086641730503,0.545228293804,True
lse,7,3,display,1000.000000000000,0.892233462361,519.443209529121,1086.641730503743,-0.999553883269,-0.480556790471,0.086641730504,1.237549583890,True
lse,7,4,norm,1.000000000000,2.266332806033,0.657182063881,1.268848138118,0.133166403016,-0.342817936119,0.268848138118,0.207536749587,True
lse,7,4,display,1000.000000000000,2.266332805976,657.182063869891,1268.848138128239,-0.998866833597,-0.342817936130,0.268848138128,1.187538409968,True
lse,10,0,norm,1.000000000000,1.668628782342,1.222799538351,0.992086438124,-0.165685608829,0.222799538351,-0.007913561876,0.077153979724,True
lse,10,0,display,1000.000000000000,1.668628782399,1222.799538373460,992.086438104145,-0.999165685609,0.222799538373,-0.007913561896,1.048034326059,True
lse,10,1,norm,1.000000000000,1.358325760080,0.966854408102,1.527052215234,-0.320837119960,-0.033145591898,0.527052215234,0.381819125389,True
lse,10,1,display,1000.000000000000,1.358325760079,966.854408102156,1527.052215233908,-0.999320837120,-0.033145591898,0.527052215234,1.277524803347,True
lse,10,2,norm,1.000000000000,2.061640168020,1.222638772317,0.934328526645,0.030820084010,0.222638772317,-0.065671473355,0.054830642930,True
lse,10,2,display,1000.000000000000,2.061640168015,1222.638772315130,934.328526646611,-0.998969179916,0.222638772315,-0.065671473353,1.051820187772,True
lse,10,3,norm,1.000000000000,1.091931025256,0.673242526902,1.387382633877,-0.454034487372,-0.326757473098,0.387382633877,0.462983066978,True
lse,10,3,display,1000.000000000000,1.091931025256,673.242526901553,1387.382633876621,-0.999454034487,-0.326757473098,0.387382633877,1.255744118308,True
lse,10,4,norm,1.000000000000,4.900598761925,1.814819673210,0.325302941655,1.450299380962,0.814819673210,-0.674697058345,3.222515514809,True
lse,10,4,display,1000.000000000000,4.900598753407,1814.819670622141,325.302944214634,-0.997549700623,0.814819670622,-0.674697055785,2.114252617932,True
lse,20,0,norm,1.000000000000,1.978655172609,0.987047726136,0.956526068858,-0.010672413696,-0.012952273864,-0.043473931142,0.002171644501,True
lse,20,0,display,1000.000000000000,1.978655172640,987.047726144635,956.526068850185,-0.999010672414,-0.012952273855,-0.043473931150,1.000080067684,True
lse,20,1,norm,1.000000000000,2.308559604443,1.083643136450,0.839904467562,0.154279802222,0.083643136450,-0.160095532438,0.056429011155,True
lse,20,1,display,1000.000000000000,2.308559604427,1083.643136445993,839.904467566249,-0.998845720198,0.083643136446,-0.160095532434,1.030319526537,True
lse,20,2,norm,1.000000000000,1.522553524208,0.938705734548,1.189381811137,-0.238723237896,-0.061294265452,0.189381811137,0.096611241678,True
lse,20,2,display,1000.000000000000,1.522553524201,938.705734545697,1189.381811138687,-0.999238723238,-0.061294265454,0.189381811139,1.038100483386,True
lse,20,3,norm,1.000000000000,2.804984904348,1.165677769334,0.904397806456,0.402492452174,0.165677769334,-0.095602193544,0.198589076719,True
