sample_id,gamma,objective,beta,eta
Sample-1-4,693.368256513026,2.9600946680160195e-09,1.0000421326320845,1110.0502772035954
Sample-1-4,695.8987975951904,2.5762670381141253e-09,1.0000414205381332,1107.5196745188193
Sample-1-4,697.1640681362726,3.891594485354831e-10,1.0000410652123317,1106.2543726990154
Sample-1-4,698.4293386773547,2.760179402533635e-09,1.0000407090672798,1104.9890716875427
Sample-1-4,699.6946092184369,7.325228878470947e-10,1.0000403484964318,1103.7237691032199
Sample-1-4,700.959879759519,9.268389121609006e-10,1.0000400205637616,1102.458470569477
Sample-1-4,704.7556913827656,2.3619072602324088e-09,1.000039052125362,1098.662575559221
Sample-1-4,706.0209619238477,4.374046258044767e-09,1.0000387161622086,1097.39727461225
Sample-1-4,707.2862324649299,3.0425565891542035e-09,1.0000378652547746,1096.1319231883483
Sample-1-4,709.8167735470942,4.912537352650098e-11,1.0000371458386008,1093.6013175650846
Sample-1-4,711.0820440881764,1.8500600618973951e-09,1.0000374628038697,1092.3360845828965
Sample-1-4,712.3473146292586,1.5208794993046824e-11,1.0000361269299276,1091.0706813555178
Sample-1-4,713.6125851703407,5.5017201296524566e-11,1.0000357655051013,1089.805378303752
Sample-1-4,714.8778557114229,2.8023275505526446e-09,1.0000353975780545,1088.5400749180674
Sample-1-4,716.143126252505,1.7597075759775136e-09,1.0000350304436154,1087.274770941701
Sample-1-4,717.4083967935871,3.2838191267511716e-09,1.000034672371181,1086.0094682164467
Sample-1-4,719.9389378757515,2.9334769824941587e-09,1.0000341089690132,1083.4788778011473
Sample-1-4,722.4694789579158,2.777291134768126e-10,1.0000326715781993,1080.9481960299922
Sample-1-4,723.734749498998,2.935851495310281e-09,1.0000322514315718,1079.6828866344908
Sample-1-4,726.2652905811624,2.6970883844077076e-09,1.000031408060296,1077.1522661962858
Sample-1-4,731.326372745491,5.303836031273005e-10,1.0000297546259689,1072.0910273420204
Sample-1-4,736.3874549098197,1.1258454905789571e-11,1.0000279484532817,1067.0297710791224
Sample-1-4,737.6527254509018,6.172967142090542e-09,1.0000274357415133,1065.7644512499176
Sample-1-4,738.917995991984,3.4571532089257073e-09,1.0000269035988252,1064.4991278902692
Sample-1-4,740.1832665330661,2.1676923864789697e-09,1.0000263438651689,1063.233801699794
Sample-1-4,741.4485370741484,3.1266485537843365e-09,1.000025743814756,1061.968471444853
Sample-1-4,742.7138076152305,1.959687524322846e-10,1.0000251282876353,1060.7031388071912
Sample-1-4,745.2443486973948,3.446669564796098e-09,1.0000238664432521,1058.1724711658144
Sample-1-4,746.509619238477,9.588722151797878e-10,1.0000237886854488,1056.9071952767351
Sample-1-4,747.7748897795591,1.1163562820199532e-09,1.000023436888252,1055.6418906074205
Sample-1-4,749.0401603206412,3.5326644366013936e-09,1.0000230776233925,1054.3765853940033
Sample-1-4,751.5707014028056,1.2324922861266761e-11,1.0000204295237154,1051.8457672512648
Sample-1-4,752.8359719438878,3.0936062645367684e-09,1.0000198903830098,1050.5804423510149
Sample-1-4,754.1012424849699,3.4828797949652926e-09,1.0000193544231286,1049.3151172399387
