budget_policy,domain_id,domain_label,train_beta_min,train_beta_max,train_beta_width,n_train_per_n,beta,n_total,n_valid,failure_rate,J1,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x095_bias,x095_sd,x095_rmse
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,3.0,6000,6000,0.0,0.2987190019621402,-0.1729391860144782,0.05364274447155309,0.18106635939102056,-0.08805497213838698,0.1529414318587028,0.17646773411500993,0.07789739211329909,0.13871682597303994,0.159082225425888,0.0016140145584281537,0.15206025402194154,0.15205614810348841
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,3.25,6000,6000,0.0,0.3420563146935111,-0.22556748844282046,0.04934835416514951,0.23090159381116124,-0.10991772734331864,0.15123043779952675,0.18694582190339842,0.095340907505689,0.1401842455359223,0.16952355609187378,-0.014854018022892101,0.14025725136431802,0.14102999584818063
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,3.5,6000,6000,0.0,0.3855279618468531,-0.2718594134769164,0.04484565601674804,0.2755328263034641,-0.12595188271755203,0.15164700063179593,0.19712142643199004,0.11634525538841378,0.1425615063129469,0.1840016691131666,-0.02133485167862472,0.1312799450293539,0.13299145633861073
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,3.75,6000,6000,0.0,0.42294105532577975,-0.31335157850599976,0.040814659142247564,0.31599805460429575,-0.13790411146162246,0.1506719691574279,0.2042444676706851,0.12779500351538842,0.14484646015111385,0.19315424715056956,-0.03561573445944676,0.12167687423829666,0.12677253141697278
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,4.0,6000,6000,0.0,0.45837522293369726,-0.34988262792139296,0.037463692292110023,0.351882292308045,-0.1497201099704229,0.15210720797194233,0.21342178414145638,0.13989597886466676,0.1455008004264835,0.20183616973533233,-0.04734455150469328,0.1147229825787432,0.12409945901770836
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,4.25,6000,6000,0.0,0.4925180035662833,-0.38328784855384007,0.03467568741542867,0.384852930021605,-0.16149857503843326,0.15215963156721893,0.22187943676511163,0.15246720437409322,0.14828734969037222,0.21267750617190306,-0.05515935492107419,0.10804949967095387,0.12130664875453434
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,4.5,6000,6000,0.0,0.5208986140410612,-0.4129847606180716,0.03182844752110676,0.41420923907210366,-0.16930147279302502,0.152408066658471,0.2277879191323878,0.16129689146224463,0.14787052904952988,0.21881210266926301,-0.06574054889672488,0.10095279756945255,0.12046405492283588
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,4.75,6000,6000,0.0,0.5486007053575969,-0.44057097583671656,0.029693839100026716,0.4415703362729448,-0.17863228046527557,0.15265721951695604,0.23496773024629264,0.16957732934483966,0.14837700781197988,0.2253187470796797,-0.0757156975274217,0.09408793062151119,0.12076394378119465
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,5.0,6000,6000,0.0,0.5741544299443733,-0.4650062804027383,0.027841029417752405,0.4658388504041682,-0.18659291814563297,0.1534281155182512,0.24156402954319614,0.17760573769787372,0.150845247946332,0.23301136133185643,-0.08333960242763379,0.08950385860941691,0.12229102535340125
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,5.25,6000,6000,0.0,0.5968784655909958,-0.4880141820769433,0.026222037454519048,0.48871803993436347,-0.19193703684005747,0.1542476970472365,0.24622796909228295,0.18426660913841814,0.15112905341934058,0.238307296081478,-0.09137775424139208,0.08433960278939047,0.12434579623281451
