estimator,family,mapping,variant,err_bin,err_low,err_high,n,mean_selected_delta,mean_loss,J1
WMLE,PG-beta-n,nearest_grid,one_step,q4,1.702314675974712,3.994654040947622,12000,0.18709000000000003,0.6512748550564388,0.8070160190829169
WMLE,PG-beta-n,nearest_grid,terminal,q1,9.769962616701378e-15,0.4139627416428526,12000,0.2665116666666667,0.41099070991262404,0.6410855714431765
WMLE,PG-beta-n,nearest_grid,terminal,q2,0.41399556702646256,0.9621631568814522,12000,0.25222500000000003,0.4484211204365819,0.669642531830664
WMLE,PG-beta-n,nearest_grid,terminal,q3,0.9621734346215485,1.7022977484047228,11999,0.23333277773147765,0.5116264096315245,0.7152806509556403
WMLE,PG-beta-n,nearest_grid,terminal,q4,1.702314675974712,3.994654040947622,12000,0.21197666666666667,0.6271193770416222,0.7919086923639759
WMLE,PG-beta-n,interpolated,one_step,q1,9.769962616701378e-15,0.4139627416428526,12000,0.1686966666666667,0.29782738155616184,0.5457356333941937
WMLE,PG-beta-n,interpolated,one_step,q2,0.41399556702646256,0.9621631568814522,12000,0.14644666666666667,0.34436955296384886,0.5868300886660881
WMLE,PG-beta-n,interpolated,one_step,q3,0.9621734346215485,1.7022977484047228,11999,0.1310809234102842,0.4314024327394539,0.6568123268784272
WMLE,PG-beta-n,interpolated,one_step,q4,1.702314675974712,3.994654040947622,12000,0.1793666666666667,0.646189758781908,0.8038592904121392
WMLE,PG-beta-n,interpolated,terminal,q1,9.769962616701378e-15,0.4139627416428526,12000,0.2684066666666667,0.4174560327753961,0.6461083754103456
WMLE,PG-beta-n,interpolated,terminal,q2,0.41399556702646256,0.9621631568814522,12000,0.2549616666666667,0.45255896999568795,0.6727250329783246
WMLE,PG-beta-n,interpolated,terminal,q3,0.9621734346215485,1.7022977484047228,11999,0.23621135094591217,0.5138639497200033,0.7168430439922
WMLE,PG-beta-n,interpolated,terminal,q4,1.702314675974712,3.994654040947622,12000,0.20941333333333337,0.6191080619137792,0.7868342023029878
WMLE,PG-full,nearest_grid,one_step,q1,9.769962616701378e-15,0.4139627416428526,12000,0.15222333333333335,0.3037093436457976,0.5510983066983581
WMLE,PG-full,nearest_grid,one_step,q2,0.41399556702646256,0.9621631568814522,12000,0.12829000000000002,0.369296318083095,0.6076975547779463
WMLE,PG-full,nearest_grid,one_step,q3,0.9621734346215485,1.7022977484047228,11999,0.11750979248270689,0.5121904619811917,0.715674829780391
WMLE,PG-full,nearest_grid,one_step,q4,1.702314675974712,3.994654040947622,12000,0.1881366666666667,0.741421514283454,0.8610583686855694
WMLE,PG-full,nearest_grid,terminal,q1,9.769962616701378e-15,0.4139627416428526,12000,0.24808833333333336,0.45113149433035876,0.6716632298483808
WMLE,PG-full,nearest_grid,terminal,q2,0.41399556702646256,0.9621631568814522,12000,0.23588499999999998,0.5026376078037126,0.7089693983549026
WMLE,PG-full,nearest_grid,terminal,q3,0.9621734346215485,1.7022977484047228,11999,0.2242103508625719,0.6218606448207544,0.7885814129313183
WMLE,PG-full,nearest_grid,terminal,q4,1.702314675974712,3.994654040947622,12000,0.21199833333333337,0.738732266357503,0.8594953556346323
WMLE,PG-full,interpolated,one_step,q1,9.769962616701378e-15,0.4139627416428526,12000,0.14684833333333333,0.3010645898408539,0.5486935299790348
WMLE,PG-full,interpolated,one_step,q2,0.41399556702646256,0.9621631568814522,12000,0.12517,0.3672203513428261,0.6059870884291398
WMLE,PG-full,interpolated,one_step,q3,0.9621734346215485,1.7022977484047228,11999,0.11809650804233687,0.5150256070842074,0.7176528457995602
WMLE,PG-full,interpolated,one_step,q4,1.702314675974712,3.994654040947622,12000,0.18437833333333334,0.7448573536642253,0.8630511883221211
WMLE,PG-full,interpolated,terminal,q1,9.769962616701378e-15,0.4139627416428526,12000,0.25016666666666665,0.4674298555904987,0.6836884199622651
WMLE,PG-full,interpolated,terminal,q2,0.41399556702646256,0.9621631568814522,12000,0.24041166666666666,0.5121281917495165,0.7156313239018514
WMLE,PG-full,interpolated,terminal,q3,0.9621734346215485,1.7022977484047228,11999,0.22743895324610383,0.6286482204235474,0.792873394952528
WMLE,PG-full,interpolated,terminal,q4,1.702314675974712,3.994654040947622,12000,0.21045833333333333,0.7441281971979115,0.8626286554467754
