estimator,family,mapping,variant,true_beta,n,PG_J1,Default_J1,J1_diff
MDM-0.1,PG-full,nearest_grid,one_step,3.5,6000,0.6835902525014474,0.6136100743597206,0.06998017814172686
MDM-0.1,PG-full,nearest_grid,one_step,4.0,6000,0.7366991904433188,0.6811755452846217,0.05552364515869712
MDM-0.1,PG-full,nearest_grid,one_step,4.5,6000,0.7710107044570775,0.7305429111984516,0.04046779325862593
MDM-0.1,PG-full,nearest_grid,one_step,5.0,6000,0.8183333661259233,0.789769332128496,0.02856403399742735
MDM-0.1,PG-full,nearest_grid,terminal,1.5,6000,0.5904893755841926,0.5476987191772456,0.042790656406947014
MDM-0.1,PG-full,nearest_grid,terminal,2.0,6000,0.6335085959267927,0.5204978344244865,0.11301076150230616
MDM-0.1,PG-full,nearest_grid,terminal,2.5,6000,0.6698602217668626,0.5318700939484555,0.13799012781840703
MDM-0.1,PG-full,nearest_grid,terminal,3.0,6000,0.7184157345862707,0.5723656222089817,0.14605011237728904
MDM-0.1,PG-full,nearest_grid,terminal,3.5,6000,0.7490542763241356,0.6136100743597206,0.13544420196441498
MDM-0.1,PG-full,nearest_grid,terminal,4.0,6000,0.7887496498013568,0.6811755452846217,0.1075741045167351
MDM-0.1,PG-full,nearest_grid,terminal,4.5,6000,0.8163881826722994,0.7305429111984516,0.0858452714738478
MDM-0.1,PG-full,nearest_grid,terminal,5.0,6000,0.8499662563563998,0.789769332128496,0.06019692422790379
MDM-0.1,PG-full,interpolated,one_step,1.5,6000,0.560636885293568,0.5476987191772456,0.01293816611632248
MDM-0.1,PG-full,interpolated,one_step,2.0,6000,0.5816986600097303,0.5204978344244865,0.06120082558524376
MDM-0.1,PG-full,interpolated,one_step,2.5,6000,0.6095582560266773,0.5318700939484555,0.07768816207822182
MDM-0.1,PG-full,interpolated,one_step,3.0,6000,0.652867440681238,0.5723656222089817,0.08050181847225635
MDM-0.1,PG-full,interpolated,one_step,3.5,6000,0.683404533826454,0.6136100743597206,0.06979445946673346
MDM-0.1,PG-full,interpolated,one_step,4.0,6000,0.7371210205471543,0.6811755452846217,0.055945475262532685
MDM-0.1,PG-full,interpolated,one_step,4.5,6000,0.7718250936489484,0.7305429111984516,0.04128218245049675
MDM-0.1,PG-full,interpolated,one_step,5.0,6000,0.819600341864968,0.789769332128496,0.029831009736472014
MDM-0.1,PG-full,interpolated,terminal,1.5,6000,0.5899461439230745,0.5476987191772456,0.04224742474582899
MDM-0.1,PG-full,interpolated,terminal,2.0,6000,0.6431721430433088,0.5204978344244865,0.12267430861882234
MDM-0.1,PG-full,interpolated,terminal,2.5,6000,0.677283073653708,0.5318700939484555,0.14541297970525247
MDM-0.1,PG-full,interpolated,terminal,3.0,6000,0.7297155297666837,0.5723656222089817,0.15734990755770206
MDM-0.1,PG-full,interpolated,terminal,3.5,6000,0.7634475763609674,0.6136100743597206,0.1498375020012468
MDM-0.1,PG-full,interpolated,terminal,4.0,6000,0.8006143486477084,0.6811755452846217,0.11943880336308677
MDM-0.1,PG-full,interpolated,terminal,4.5,6000,0.8258037238452447,0.7305429111984516,0.09526081264679309
MDM-0.1,PG-full,interpolated,terminal,5.0,6000,0.8598568995348567,0.789769332128496,0.07008756740636068
WMLE,PG-beta,nearest_grid,one_step,1.5,6000,0.5394288507682687,0.5476987191772456,-0.00826986840897681
WMLE,PG-beta,nearest_grid,one_step,2.0,6000,0.5382871463793735,0.5204978344244865,0.017789311954886977
WMLE,PG-beta,nearest_grid,one_step,2.5,6000,0.5707495202354081,0.5318700939484555,0.03887942628695262
WMLE,PG-beta,nearest_grid,one_step,3.0,6000,0.6128796532358175,0.5723656222089817,0.04051403102683582
