n,fold,seed,route,best_epoch,stopped_epoch,runtime_s
15,4,12011,QCP,150,210,82.66275954246521
15,4,17,QCP,73,133,52.38419055938721
15,4,2026,QCP,109,169,67.30461025238037
15,4,2718,QCP,163,223,101.64766955375671
15,4,314,QCP,190,250,84.54941248893738
15,4,3407,QCP,83,143,50.412062644958496
15,4,4099,QCP,152,212,99.75070691108704
15,4,42,QCP,123,183,73.27145767211914
15,4,73,QCP,215,275,124.40225911140442
15,4,8128,QCP,172,232,90.2737193107605
15,5,12011,QCP,246,306,122.46217751502991
15,5,17,QCP,130,190,73.89700365066528
15,5,2026,QCP,290,350,138.58872318267822
15,5,2718,QCP,98,158,70.5207781791687
15,5,314,QCP,212,272,92.37611889839172
15,5,3407,QCP,121,181,81.66507005691528
15,5,4099,QCP,159,219,99.40304040908813
15,5,42,QCP,78,138,55.0741183757782
15,5,73,QCP,210,270,120.29057240486145
15,5,8128,QCP,281,341,136.67016530036926
20,1,12011,QCP,251,311,125.28993821144104
20,1,17,QCP,394,454,176.3096957206726
20,1,2026,QCP,353,413,164.83924102783203
20,1,2718,QCP,335,395,181.40081787109375
20,1,314,QCP,315,375,128.23660230636597
20,1,3407,QCP,259,319,131.5810945034027
20,1,4099,QCP,355,415,188.70727467536926
20,1,42,QCP,260,320,127.36882519721985
20,1,73,QCP,365,425,166.98400235176086
20,1,8128,QCP,408,468,188.23923993110657
20,2,12011,QCP,492,552,229.6914575099945
20,2,17,QCP,466,526,213.32796335220337
20,2,2026,QCP,418,478,187.71163177490234
20,2,2718,QCP,334,394,181.77968072891235
20,2,314,QCP,383,443,123.91685557365417
20,2,3407,QCP,349,409,163.9077091217041
20,2,4099,QCP,463,523,238.4652829170227
20,2,42,QCP,311,371,147.44382333755493
20,2,73,QCP,301,361,137.6127965450287
20,2,8128,QCP,514,574,229.96307468414307
20,3,12011,QCP,297,357,143.93955039978027
20,3,17,QCP,426,486,221.57662439346313
20,3,2026,QCP,353,413,164.32727599143982
20,3,2718,QCP,557,600,273.20720410346985
20,3,314,QCP,594,600,171.15541577339172
20,3,3407,QCP,245,305,119.70876169204712
20,3,4099,QCP,430,490,225.34978985786438
20,3,42,QCP,382,442,173.97915148735046
20,3,73,QCP,328,388,132.88624548912048
20,3,8128,QCP,366,426,175.28780007362366
20,4,12011,QCP,493,553,214.00256967544556
20,4,17,QCP,285,345,160.10068273544312
20,4,2026,QCP,559,600,237.12943148612976
20,4,2718,QCP,324,384,174.667711019516
20,4,314,QCP,348,408,114.31442546844482
20,4,3407,QCP,196,256,99.47323036193848
20,4,4099,QCP,284,344,134.45854258537292
20,4,42,QCP,357,417,166.86674809455872
20,4,73,QCP,357,417,140.98190021514893
20,4,8128,QCP,337,397,159.41545724868774
20,5,12011,QCP,362,422,170.7256178855896
20,5,17,QCP,328,388,176.3318965435028
20,5,2026,QCP,384,444,174.07326221466064
20,5,2718,QCP,367,427,195.55767798423767
20,5,314,QCP,436,496,138.79644799232483
20,5,3407,QCP,151,211,81.78764271736145
20,5,4099,QCP,352,412,160.8360526561737
20,5,42,QCP,311,371,145.4076611995697
20,5,73,QCP,329,389,135.03193068504333
20,5,8128,QCP,299,359,142.50718593597412
7,1,12011,QCP,111,171,67.52486300468445
7,1,17,QCP,48,108,43.65969395637512
7,1,2026,QCP,82,142,36.97213959693909
7,1,2718,QCP,134,194,75.50910878181458
7,1,314,QCP,195,255,112.82935547828674
7,1,3407,QCP,178,238,93.05211973190308
7,1,4099,QCP,146,206,88.16990494728088
7,1,42,QCP,170,230,61.16862225532532
7,1,73,QCP,135,195,82.64558482170105
7,1,8128,QCP,211,271,107.36996006965637
7,2,12011,QCP,210,270,108.67008972167969
7,2,17,QCP,241,301,118.90949606895447
7,2,2026,QCP,57,117,31.84879970550537
7,2,2718,QCP,179,239,94.1574227809906
7,2,314,QCP,228,288,126.83550238609314
