route,n,fold,seed,mean_magnitude,mean_absolute_error,compensation,rmsre
P,7,4,4099,0.21369639057519335,0.13726314475261045,0.3397019881906539,0.20444298632310196
Q,7,4,4099,1.2725627743781744,0.14280850662021313,0.8700801695002398,0.20294087638341834
QCP,7,4,4099,0.22185586482511166,0.1427987338301314,0.3437337004557521,0.20034249512209454
P,7,4,8128,0.21388390194310644,0.13984448528520832,0.32071452700688136,0.2040009967936202
Q,7,4,8128,1.3145549482425485,0.1433549580537611,0.8701928719105084,0.20291197850578416
QCP,7,4,8128,0.21805656478157212,0.14092935559389383,0.33893507333364886,0.19956803253980954
P,7,4,12011,0.21365322961496513,0.13951774074706472,0.3222778032506495,0.20324733166048184
Q,7,4,12011,1.335954618196722,0.14336137777954205,0.8758122757080303,0.20348224365146922
QCP,7,4,12011,0.21731948908338036,0.1412456119644554,0.3288197977820726,0.19928261933714625
P,7,5,42,0.2151751625134679,0.13678834991262656,0.32849216561652367,0.20409984061942527
Q,7,5,42,1.2894438680541866,0.14320693263240428,0.8739242738128189,0.20203399186575755
QCP,7,5,42,0.21845863845790522,0.1406512125868348,0.33009766018778397,0.19617721088905016
P,7,5,2026,0.21894883180533034,0.14013811494000208,0.325278913140756,0.20491094723140918
Q,7,5,2026,1.3444552177590658,0.1444492198525997,0.8748039200695192,0.20033172863581106
QCP,7,5,2026,0.2205419688196522,0.13935690974772005,0.34669340936801485,0.1962139660700461
P,7,5,3407,0.21801769659566153,0.13931000224195655,0.3285399335597611,0.20461656330987246
Q,7,5,3407,1.2682628832588712,0.14389108511698165,0.8672293620868394,0.20037825782828125
QCP,7,5,3407,0.21931852916383957,0.14206815326695824,0.3278921357534832,0.1960230123762858
P,7,5,17,0.21917317103422213,0.14083283875965807,0.3258068185820477,0.20458064227979866
Q,7,5,17,1.2604592080143495,0.14629540136510635,0.8629651432220324,0.20072718274950604
QCP,7,5,17,0.22132203183369398,0.13898802418085865,0.3476689491239787,0.1961465394300956
P,7,5,73,0.21527191331040096,0.13975671709574225,0.3195180389839496,0.20538765541173695
Q,7,5,73,1.363986596033396,0.14193020860996589,0.882116852853512,0.20031776885851932
QCP,7,5,73,0.2200979896240708,0.13976396847224326,0.32864196456198297,0.19648487450714336
P,7,5,314,0.21276185008391502,0.13816885335167067,0.3169107451980733,0.20352567752218564
Q,7,5,314,1.3249361881764186,0.14592975866798458,0.8741719991638123,0.20029907498403599
QCP,7,5,314,0.21917895848577387,0.1417770766793817,0.3200435695290273,0.19565087305538115
P,7,5,2718,0.21554565519906432,0.13878404718572865,0.32463070236419544,0.20400968940963865
Q,7,5,2718,1.2625247657260927,0.14458273809327862,0.8672323429624548,0.20212240811605037
QCP,7,5,2718,0.22161509216946104,0.14015179787332954,0.3467058087113471,0.19656980951089112
P,7,5,4099,0.21735793219965738,0.13761498081825843,0.3357122781764333,0.20542498995284345
Q,7,5,4099,1.2917228930950777,0.14413081461357738,0.8704928880710122,0.20023822215587647
QCP,7,5,4099,0.22188388253842078,0.13987685601499772,0.3355045251173041,0.19633111014954308
P,7,5,8128,0.21820462404775184,0.13743092557861514,0.3401697270204941,0.20494885430904758
Q,7,5,8128,1.248187421478587,0.14620466707377713,0.8621711107610717,0.20186841298615554
QCP,7,5,8128,0.22087633521265654,0.14114149568489454,0.33571726848195327,0.19623908000688306
P,7,5,12011,0.21457110555621975,0.13831999395201927,0.32449483371915167,0.2028403613864347
Q,7,5,12011,1.2947210014081574,0.1468418436105731,0.8682445629092815,0.20209470375523467
QCP,7,5,12011,0.2195805343192269,0.1384522873373408,0.3470769898827435,0.1964969156776627
P,10,1,42,0.18211080980944797,0.11772906447982999,0.32442842163481095,0.17659274873909309
Q,10,1,42,1.4921127668992062,0.11755359493781709,0.9150345627488786,0.167178319149367
QCP,10,1,42,0.18311965213557652,0.11530760059237169,0.33220174499649263,0.1652040263862165
P,10,1,2026,0.18241669754275366,0.11556865773845,0.34466113804144316,0.17660944523448277
Q,10,1,2026,1.4969940706202898,0.1173630173676531,0.9153970638170934,0.16685898681837696
QCP,10,1,2026,0.18414236527153086,0.11525336909131466,0.33344314388241875,0.16554217210679056
P,10,1,3407,0.18393421640489213,0.11696285727430256,0.3429008419564424,0.17654929492822033
Q,10,1,3407,1.4933530778769202,0.11839268265130842,0.9137781990512455,0.16709673204808376
QCP,10,1,3407,0.1851287523548487,0.11509021995200806,0.3453046624135934,0.16469132185870597
P,10,1,17,0.1821036328960303,0.11709617001566523,0.3226514922096857,0.17499448711476645
Q,10,1,17,1.4840612943406943,0.1176643922441108,0.9141224053919738,0.16723917291560553
QCP,10,1,17,0.1839400979796339,0.11653120223562759,0.3286545519933608,0.16507226443090983
P,10,1,73,0.18254750769910114,0.11698689519370996,0.3289165420464281,0.1766434853593266
Q,10,1,73,1.491210179908343,0.11720778693536905,0.9147270757946417,0.16666116205916023
QCP,10,1,73,0.18404730820004023,0.11627872508604538,0.3354082173277891,0.16481756410498585
P,10,1,314,0.18121904534072694,0.11540771541268136,0.3286854138253741,0.17532705496813503
Q,10,1,314,1.493653510165523,0.11741494426211045,0.9151678501867463,0.16744680033095907
QCP,10,1,314,0.18613040095546424,0.11458974989750019,0.3586345660093992,0.16488783140620894
P,10,1,2718,0.181296489313911,0.11674555077511133,0.32362734759974016,0.17510232800747275
Q,10,1,2718,1.494700947589518,0.11716754675833489,0.9160201584614303,0.16692385274833946
QCP,10,1,2718,0.18511735016922412,0.11571349180761274,0.3446216435383709,0.16521007304654126
P,10,1,4099,0.18509477173643313,0.11818793320842261,0.33636130328892994,0.17431724303507687
Q,10,1,4099,1.4880716788632753,0.11873873718883213,0.913016365733287,0.168247882961061
QCP,10,1,4099,0.18932071911449155,0.11394837912379943,0.37193757950408174,0.16565516413410758
P,10,1,8128,0.17973762912759658,0.1159010955647212,0.326649528767734,0.175948375134502
Q,10,1,8128,1.5000782558712198,0.11727246370316453,0.916365804383505,0.16742293289648313
QCP,10,1,8128,0.1837477805601132,0.11577574367669946,0.3406787403516593,0.16528907949488772
P,10,1,12011,0.1885040919946864,0.11815023824183267,0.34442051349046515,0.1766668223842512
Q,10,1,12011,1.497266081716471,0.11725748915806063,0.9161725597840598,0.16715433534949956
QCP,10,1,12011,0.182314551467957,0.11378440952582518,0.34578555335748634,0.16546006105896008
P,10,2,42,0.18303128647966668,0.11914387947656625,0.33340217113909837,0.17403610428842423
Q,10,2,42,1.4830424985189112,0.12060901207338608,0.9127485469877805,0.16957504960960426
QCP,10,2,42,0.19290049414650703,0.12060055270085253,0.35993188320173014,0.1678379412452146
P,10,2,2026,0.1841111467732994,0.11939447342779845,0.3329736826460273,0.17448495064332348
Q,10,2,2026,1.4855506190688637,0.1210924698718679,0.912178989189335,0.16950935149483434
QCP,10,2,2026,0.18373237848441223,0.11805635175503587,0.3417530085344582,0.16784580011116743
P,10,2,3407,0.18288717525860268,0.1179940799988261,0.3320763575130144,0.1734992077756801
Q,10,2,3407,1.5021559431023257,0.12034594783311317,0.9151528290218341,0.16836167787152104
QCP,10,2,3407,0.2065852243651016,0.11996081092085563,0.4060889312831743,0.16948847922107013
P,10,2,17,0.18221585128289056,0.12133543840733481,0.31102051098122974,0.1737766583392427
Q,10,2,17,1.5049794104492271,0.12089772367084976,0.9139114803600633,0.16883473352872383
QCP,10,2,17,0.18597880874112865,0.11870237178432544,0.3385445056014012,0.16838394004011503
P,10,2,73,0.18184453852740332,0.12266526068374065,0.3029463330122122,0.17386980627208337
Q,10,2,73,1.4744959526048795,0.12082632148473724,0.9111306398917952,0.16888586938649897
QCP,10,2,73,0.1874025919587275,0.11922487007344178,0.345400371969977,0.16777934371877942
P,10,2,314,0.18093194970376375,0.11868356301461819,0.3204106207696235,0.17253406404347352
Q,10,2,314,1.5046201431030541,0.12014163673202766,0.9147897692345608,0.16941091942210573
QCP,10,2,314,0.19487065395321873,0.12114911184816608,0.364786472139116,0.16858830526070412
