method,delta,parameter,beta,gamma_over_eta,n,n_repeats,within_cell_normalized_sd
No offset,0.0,beta,4.5,0.1,10,300,0.4282809789191649
Default,0.1,beta,4.5,0.1,10,300,0.20457709353031153
No offset,0.0,beta,4.5,0.1,15,300,0.3244592317936457
Default,0.1,beta,4.5,0.1,15,300,0.1849702704933065
No offset,0.0,beta,4.5,0.1,20,300,0.28615378658138557
Default,0.1,beta,4.5,0.1,20,300,0.17972372136495052
No offset,0.0,beta,4.5,0.25,7,300,0.5676031703898523
Default,0.1,beta,4.5,0.25,7,300,0.24674322111819574
No offset,0.0,beta,4.5,0.25,10,300,0.4832710613512605
Default,0.1,beta,4.5,0.25,10,300,0.22462753218676343
No offset,0.0,beta,4.5,0.25,15,300,0.40216155201102616
Default,0.1,beta,4.5,0.25,15,300,0.1917236091135954
No offset,0.0,beta,4.5,0.25,20,300,0.3649750810078382
Default,0.1,beta,4.5,0.25,20,300,0.20077223112646378
No offset,0.0,beta,4.5,0.5,7,300,0.7495809796079062
Default,0.1,beta,4.5,0.5,7,300,0.23967488783672986
No offset,0.0,beta,4.5,0.5,10,300,0.6200029342790819
Default,0.1,beta,4.5,0.5,10,300,0.20558116221466036
No offset,0.0,beta,4.5,0.5,15,300,0.5533432677956738
Default,0.1,beta,4.5,0.5,15,300,0.20378346501584793
No offset,0.0,beta,4.5,0.5,20,300,0.516198589317142
Default,0.1,beta,4.5,0.5,20,300,0.19600655670916278
No offset,0.0,beta,4.5,0.75,7,300,0.8293665108957683
Default,0.1,beta,4.5,0.75,7,300,0.1961169292293732
No offset,0.0,beta,4.5,0.75,10,300,0.7364482109570715
Default,0.1,beta,4.5,0.75,10,300,0.24735224293450825
No offset,0.0,beta,4.5,0.75,15,300,0.6694523780847306
Default,0.1,beta,4.5,0.75,15,300,0.2070234287207224
No offset,0.0,beta,4.5,0.75,20,300,0.6297965261507409
Default,0.1,beta,4.5,0.75,20,300,0.19226166085517735
No offset,0.0,beta,4.5,1.0,7,300,0.9114146366960558
Default,0.1,beta,4.5,1.0,7,300,0.25548145411364814
No offset,0.0,beta,4.5,1.0,10,300,0.8735000075343571
Default,0.1,beta,4.5,1.0,10,300,0.2232796864149083
No offset,0.0,beta,4.5,1.0,15,300,0.7649746775705939
Default,0.1,beta,4.5,1.0,15,300,0.1892351778948121
No offset,0.0,beta,4.5,1.0,20,300,0.7479867948795162
Default,0.1,beta,4.5,1.0,20,300,0.19149723439143176
No offset,0.0,beta,5.0,0.1,7,300,0.4870221487725765
Default,0.1,beta,5.0,0.1,7,300,0.19988203263763094
No offset,0.0,beta,5.0,0.1,10,300,0.3933269749664978
Default,0.1,beta,5.0,0.1,10,300,0.1670277878132332
No offset,0.0,beta,5.0,0.1,15,300,0.339412007912057
Default,0.1,beta,5.0,0.1,15,300,0.18652690781774853
No offset,0.0,beta,5.0,0.1,20,300,0.3006661051455083
Default,0.1,beta,5.0,0.1,20,300,0.18184132149588092
No offset,0.0,beta,5.0,0.25,7,300,0.5995314177518287
Default,0.1,beta,5.0,0.25,7,300,0.218974198132731
No offset,0.0,beta,5.0,0.25,10,300,0.5095106577362472
Default,0.1,beta,5.0,0.25,10,300,0.18037590287842928
No offset,0.0,beta,5.0,0.25,15,300,0.4282731272002158
Default,0.1,beta,5.0,0.25,15,300,0.17556036046431028
No offset,0.0,beta,5.0,0.25,20,300,0.37629378023312926
Default,0.1,beta,5.0,0.25,20,300,0.1701104053222313
No offset,0.0,beta,5.0,0.5,7,300,0.7162424678360831
Default,0.1,beta,5.0,0.5,7,300,0.18607569812605423
No offset,0.0,beta,5.0,0.5,10,300,0.6053748903549305
Default,0.1,beta,5.0,0.5,10,300,0.18860049304614854
No offset,0.0,beta,5.0,0.5,15,300,0.5584892217379466
Default,0.1,beta,5.0,0.5,15,300,0.18956721030753365
No offset,0.0,beta,5.0,0.5,20,300,0.4931548065333568
Default,0.1,beta,5.0,0.5,20,300,0.18483959755792004
No offset,0.0,beta,5.0,0.75,7,300,0.7905081117884802
Default,0.1,beta,5.0,0.75,7,300,0.2165308611336408
No offset,0.0,beta,5.0,0.75,10,300,0.7220937563759986
Default,0.1,beta,5.0,0.75,10,300,0.18640563959125736
No offset,0.0,beta,5.0,0.75,15,300,0.6757806780934369
Default,0.1,beta,5.0,0.75,15,300,0.1734425621476441
No offset,0.0,beta,5.0,0.75,20,300,0.6463198369374258
Default,0.1,beta,5.0,0.75,20,300,0.18061427286305126
No offset,0.0,beta,5.0,1.0,7,300,0.8933453205534783
Default,0.1,beta,5.0,1.0,7,300,0.20377353583173363
No offset,0.0,beta,5.0,1.0,10,300,0.8422072824028143
Default,0.1,beta,5.0,1.0,10,300,0.17365066747407643
No offset,0.0,beta,5.0,1.0,15,300,0.75027762377439
Default,0.1,beta,5.0,1.0,15,300,0.18391387242419716
No offset,0.0,beta,5.0,1.0,20,300,0.7444096412974903
Default,0.1,beta,5.0,1.0,20,300,0.16947597774096293
No offset,0.0,eta,1.5,0.1,7,300,0.35929268619731997
Default,0.1,eta,1.5,0.1,7,300,0.3551304163965907
No offset,0.0,eta,1.5,0.1,10,300,0.2843745555543616
Default,0.1,eta,1.5,0.1,10,300,0.2778290855301163
No offset,0.0,eta,1.5,0.1,15,300,0.2358468129763811
Default,0.1,eta,1.5,0.1,15,300,0.23376707390107523
No offset,0.0,eta,1.5,0.1,20,300,0.20172754315991653
Default,0.1,eta,1.5,0.1,20,300,0.1975177357454449
No offset,0.0,eta,1.5,0.25,7,300,0.39350432067505453
Default,0.1,eta,1.5,0.25,7,300,0.371362013499703
No offset,0.0,eta,1.5,0.25,10,300,0.34039708529458873
Default,0.1,eta,1.5,0.25,10,300,0.32213829838362634
No offset,0.0,eta,1.5,0.25,15,300,0.2735850448324863
Default,0.1,eta,1.5,0.25,15,300,0.25809313633582437
No offset,0.0,eta,1.5,0.25,20,300,0.24394924416273975
Default,0.1,eta,1.5,0.25,20,300,0.22917393467268551
No offset,0.0,eta,1.5,0.5,7,300,0.482998066755779
Default,0.1,eta,1.5,0.5,7,300,0.42143928632937705
No offset,0.0,eta,1.5,0.5,10,300,0.4301889721029875
Default,0.1,eta,1.5,0.5,10,300,0.35702777442742384
No offset,0.0,eta,1.5,0.5,15,300,0.31973645780169563
Default,0.1,eta,1.5,0.5,15,300,0.2717804454057513
No offset,0.0,eta,1.5,0.5,20,300,0.2748730702923415
Default,0.1,eta,1.5,0.5,20,300,0.22968882337851435
No offset,0.0,eta,1.5,0.75,7,300,0.5749731329393292
Default,0.1,eta,1.5,0.75,7,300,0.4558581252792615
No offset,0.0,eta,1.5,0.75,10,300,0.4874798849275879
Default,0.1,eta,1.5,0.75,10,300,0.3494137475246008
No offset,0.0,eta,1.5,0.75,15,300,0.36475937643820994
Default,0.1,eta,1.5,0.75,15,300,0.2682922512167312
No offset,0.0,eta,1.5,0.75,20,300,0.3051442904515012
Default,0.1,eta,1.5,0.75,20,300,0.23935785325389944
No offset,0.0,eta,1.5,1.0,7,300,0.6761556510007876
Default,0.1,eta,1.5,1.0,7,300,0.4355953300812888
No offset,0.0,eta,1.5,1.0,10,300,0.5545235000631678
Default,0.1,eta,1.5,1.0,10,300,0.3430608227242404
No offset,0.0,eta,1.5,1.0,15,300,0.4296670427238331
Default,0.1,eta,1.5,1.0,15,300,0.28541903482456404
No offset,0.0,eta,1.5,1.0,20,300,0.3241003677736726
Default,0.1,eta,1.5,1.0,20,300,0.23216863960603484
No offset,0.0,eta,2.0,0.1,7,300,0.30694431509452197
Default,0.1,eta,2.0,0.1,7,300,0.30360882159724334
No offset,0.0,eta,2.0,0.1,10,300,0.26546320715507743
Default,0.1,eta,2.0,0.1,10,300,0.25741248744365214
No offset,0.0,eta,2.0,0.1,15,300,0.224994975342623
Default,0.1,eta,2.0,0.1,15,300,0.22229324828113653
No offset,0.0,eta,2.0,0.1,20,300,0.20520570305601765
Default,0.1,eta,2.0,0.1,20,300,0.2015317701482828
