beta,gamma_over_eta,n,count,l6_effective_delta_count,l6_delta_entropy_nats,l5_l6_delta_match_rate,paper_l6_delta_match_rate,z_reference_l6_delta_match_rate
4.0,0.75,10,100,5.214013420451518,1.651349889434257,0.07,0.51,0.48
4.0,0.75,15,100,6.472162112715799,1.8675102277607496,0.13,0.5,0.37
4.0,0.75,20,100,4.836416215872483,1.5761739951930889,0.03,0.28,0.28
4.0,1.0,7,100,5.176138721491837,1.6440593577459215,0.1,0.22,0.43
4.0,1.0,10,100,5.860822659040703,1.7682899792376252,0.08,0.33,0.44
4.0,1.0,15,100,5.643155392842914,1.730443375882875,0.1,0.25,0.29
4.0,1.0,20,100,5.875746786404878,1.7708331645316568,0.05,0.32,0.29
4.5,0.1,7,100,2.698658614769301,0.9927548402149284,0.08,0.13,0.14
4.5,0.1,10,100,3.2010451970468505,1.16347738055279,0.65,0.09,0.12
4.5,0.1,15,100,4.241313898242738,1.4448731029014843,0.53,0.09,0.03
4.5,0.1,20,100,3.920001086111322,1.3660919308715476,0.6,0.12,0.05
4.5,0.25,7,100,5.498020345891365,1.7043880903348545,0.22,0.18,0.08
4.5,0.25,10,100,4.987242068919655,1.606883065373858,0.2,0.19,0.13
4.5,0.25,15,100,4.641933222283131,1.5351309222001146,0.27,0.12,0.06
4.5,0.25,20,100,5.682299655422314,1.7373560197081364,0.18,0.11,0.07
4.5,0.5,7,100,4.614772354987286,1.5292625395415016,0.24,0.32,0.26
4.5,0.5,10,100,4.159526408637162,1.4254012237148377,0.1,0.31,0.32
4.5,0.5,15,100,5.435757982312969,1.692998974016149,0.1,0.23,0.25
4.5,0.5,20,100,5.5712597519230345,1.7176211956783591,0.05,0.16,0.12
4.5,0.75,7,100,4.934159950346431,1.5961824355684242,0.18,0.45,0.41
4.5,0.75,10,100,4.910050404419293,1.5912842074195814,0.12,0.33,0.38
4.5,0.75,15,100,5.358845515870738,1.678748563053119,0.06,0.49,0.37
4.5,0.75,20,100,5.051036054723436,1.6195933815961423,0.12,0.19,0.27
4.5,1.0,7,100,4.508268887675571,1.5059132411768086,0.14,0.19,0.54
4.5,1.0,10,100,4.980980040889697,1.6056266670342718,0.11,0.38,0.55
4.5,1.0,15,100,5.4414393131536345,1.694043605496665,0.08,0.24,0.38
4.5,1.0,20,100,6.028754506081899,1.7965404398329692,0.12,0.32,0.47
5.0,0.1,7,100,2.4915454622757927,0.9129031855227956,0.77,0.09,0.12
5.0,0.1,10,100,2.7050953745010475,0.9951371702724564,0.72,0.17,0.11
5.0,0.1,15,100,3.428088038763533,1.2320026826588226,0.64,0.13,0.05
5.0,0.1,20,100,3.664777753525925,1.2987676932614287,0.63,0.13,0.05
5.0,0.25,7,100,3.866813153303269,1.352430693201594,0.25,0.24,0.17
5.0,0.25,10,100,3.634812984279944,1.2905576610457108,0.2,0.27,0.17
5.0,0.25,15,100,4.329340297029255,1.4654151740627086,0.27,0.17,0.06
5.0,0.25,20,100,4.777761324353015,1.563972094611347,0.18,0.14,0.1
5.0,0.5,7,100,4.261830848553175,1.4496988446094197,0.35,0.22,0.27
5.0,0.5,10,100,3.8404931289862594,1.345600777361459,0.19,0.21,0.28
5.0,0.5,15,100,4.23233357776382,1.4427535141726704,0.15,0.16,0.2
5.0,0.5,20,100,4.583534440312459,1.522470412368219,0.11,0.17,0.13
5.0,0.75,7,100,3.8847612411532655,1.3570615253424712,0.33,0.33,0.41
5.0,0.75,10,100,4.458977506782568,1.4949194811792788,0.1,0.33,0.39
5.0,0.75,15,100,4.518581442461973,1.508198104422729,0.13,0.31,0.33
5.0,0.75,20,100,5.016262760914418,1.612685186510913,0.07,0.12,0.25
5.0,1.0,7,100,4.121103172037078,1.4161208877232438,0.17,0.21,0.56
5.0,1.0,10,100,3.625839957776257,1.288085973955447,0.13,0.48,0.5
5.0,1.0,15,100,5.041985965044839,1.617800045153135,0.16,0.3,0.61
5.0,1.0,20,100,3.935883410023145,1.3701353573140744,0.12,0.28,0.43
