beta,gamma_over_eta,n,repeat_id,cohort_delta,orig_best_delta,orig_best_loss,extended_best_delta,extended_best_loss,migrated,loss_improvement,rel_improvement
1.5,0.1,10,345,0.5,0.5,0.0654535168348806,0.78,0.0263909772588902,True,0.0390625395759904,0.5967981777745168
1.5,0.1,10,348,0.5,0.5,0.0569188268096846,0.84,0.0202412386429466,True,0.036677588166738,0.6443841207299343
1.5,0.1,10,359,0.5,0.5,0.169617283606224,1.0,0.1087075972892049,True,0.060909686317019,0.3591007061428027
1.5,0.1,10,365,0.5,0.5,0.0690570987189501,0.54,0.0686701837548539,True,0.0003869149640961,0.0056028268096067
1.5,0.1,10,369,0.5,0.5,0.1711593714326972,0.54,0.1655721985281921,True,0.0055871729045051,0.0326431024941107
1.5,0.1,10,381,0.5,0.5,0.0186270949427347,0.78,0.0049337250788973,True,0.0136933698638374,0.7351318016005682
1.5,0.1,10,386,0.5,0.5,0.0612325898805045,0.72,0.0575302954797015,True,0.0037022944008029,0.0604628092332534
1.5,0.1,10,393,0.5,0.5,0.6063187968069477,1.0,0.59831172298421,True,0.0080070738227376,0.013206045837446
1.5,0.1,10,429,0.5,0.5,0.1038287988756461,0.54,0.1011002643868721,True,0.002728534488774,0.0262791683841199
1.5,0.1,10,436,0.5,0.5,0.1749605864503558,0.64,0.1744819005285501,True,0.0004786859218057,0.0027359643192642
1.5,0.1,10,438,0.5,0.5,0.2560985856778376,1.0,0.0773729063669667,True,0.1787256793108708,0.6978784316118835
1.5,0.1,10,445,0.5,0.5,0.0497274998466656,0.72,0.0362010035230755,True,0.0135264963235901,0.2720123948579559
1.5,0.1,10,470,0.5,0.5,0.1958174740617502,1.0,0.1657335523723465,True,0.0300839216894036,0.1536324673451605
1.5,0.1,10,471,0.5,0.5,0.2612093568173786,1.0,0.2102411554696932,True,0.0509682013476854,0.1951239494966454
1.5,0.1,10,483,0.5,0.5,0.1272908694014077,0.5,0.1272908694014077,False,0.0,0.0
1.5,0.1,10,490,0.5,0.5,0.0179793279560493,0.54,0.0176412806297779,True,0.0003380473262713,0.0188020001135613
1.5,0.1,10,494,0.5,0.5,0.0269685053515338,0.8,0.0066593848347414,True,0.0203091205167923,0.7530680789336845
1.5,0.1,10,495,0.5,0.5,0.0885871592837278,1.0,0.0549919780815829,True,0.0335951812021449,0.3792330793060646
1.5,0.1,10,497,0.5,0.5,0.2082326621253855,0.56,0.2068597892965089,True,0.0013728728288765,0.0065929754480585
1.5,0.1,10,499,0.5,0.5,0.0621668983742763,0.84,0.0141417205707997,True,0.0480251778034766,0.7725200880111572
1.5,0.1,10,506,0.5,0.5,0.1062143092469675,0.6,0.0971190323773712,True,0.0090952768695963,0.0856313705194672
1.5,0.1,10,508,0.5,0.5,0.0214495312370824,0.7,0.0080428394804485,True,0.0134066917566339,0.6250342540566164
1.5,0.1,10,512,0.5,0.5,0.5608619462317062,0.56,0.4853853724595199,True,0.0754765737721862,0.1345724634721517
1.5,0.1,10,513,0.5,0.5,0.2178298133890697,0.56,0.2035518258016077,True,0.014277987587462,0.0655465262781082
1.5,0.1,10,520,0.5,0.5,0.1196782630859278,1.0,0.0527591661766213,True,0.0669190969093064,0.5591583231890592
1.5,0.1,10,522,0.5,0.5,0.0334564378315437,0.72,0.0227072572857117,True,0.010749180545832,0.3212888532830402
1.5,0.1,10,535,0.5,0.5,0.0208894380857075,0.62,0.0180120696302216,True,0.0028773684554859,0.1377427407898822
1.5,0.1,10,537,0.5,0.5,0.0636136464258033,0.98,0.0090706437829066,True,0.0545430026428966,0.8574104096754409
1.5,0.1,10,552,0.5,0.5,0.0748881269670662,1.0,0.0083708280892623,True,0.0665172988778039,0.8882222265627825
1.5,0.1,10,555,0.5,0.5,0.2641423631534333,0.5,0.2641423631534333,False,0.0,0.0
1.5,0.1,10,556,0.5,0.5,0.0891592095558818,1.0,0.0107421722537518,True,0.0784170373021299,0.8795169640101055
1.5,0.1,10,559,0.5,0.5,0.0348125180348479,0.62,0.027721048093511,True,0.0070914699413368,0.2037045965545551
