beta,eta,gamma,gamma_over_eta,n,repeat_id,delta,beta_hat,eta_hat,gamma_hat,r_squared,converged,time_ms,status,cohort
1.5,1.0,0.1,0.1,7,35,0.78,1.3975402031695274,0.8335583115042671,0.058326369197360575,0.948328558632745,True,36.10309999930905,success,0.5
1.5,1.0,0.1,0.1,7,35,0.8,1.3907233548176832,0.8300905580282197,0.06089828897361827,0.94645892105593,True,37.314400000468595,success,0.5
1.5,1.0,0.1,0.1,7,35,0.82,1.384177318537552,0.8266762929710729,0.06340312393815509,0.9445178177648429,True,34.42890000042098,success,0.5
1.5,1.0,0.1,0.1,7,35,0.84,1.377891560588714,0.82331030659219,0.06584518202531535,0.9425002150384812,True,36.88949999923352,success,0.5
1.5,1.0,0.1,0.1,7,35,0.86,1.3718588164147418,0.8199870755065867,0.06822854937285269,0.9404000959108769,True,37.47219999968365,success,0.5
1.5,1.0,0.1,0.1,7,35,0.88,1.3660640758238602,0.8167029753530112,0.07055711536815668,0.9382125381706257,True,46.78950000015902,success,0.5
1.5,1.0,0.1,0.1,7,35,0.9,1.3605059040202339,0.8134518720270627,0.07283459905966617,0.9359294447018512,True,35.647299999254756,success,0.5
1.5,1.0,0.1,0.1,7,35,0.92,1.3551751840823176,0.810229449202107,0.07506456427901315,0.9335436267916865,True,33.975599999394035,success,0.5
1.5,1.0,0.1,0.1,7,35,0.94,1.3500656270833176,0.8070310005866755,0.0772504517155108,0.9310466167399353,True,35.46199999982491,success,0.5
1.5,1.0,0.1,0.1,7,35,0.96,1.345171671502987,0.8038518334634234,0.07939559518510766,0.9284289581065701,True,34.897400000772905,success,0.5
1.5,1.0,0.1,0.1,7,35,0.98,1.340488471121687,0.8006872315514867,0.08150324464517311,0.9256800538118342,True,34.9714000003587,success,0.5
1.5,1.0,0.1,0.1,7,35,1.0,1.3360118846468971,0.7975324089920056,0.08357659345512286,0.9227879781009467,True,34.68140000040876,success,0.5
