budget_policy,domain_id,domain_label,train_beta_min,train_beta_max,n_train_per_n,n,beta,n_total,n_valid,failure_rate,J1,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x095_bias,x095_sd,x095_rmse
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,15,1.5,1500,1500,0.0,0.3773749594240045,0.19973770790221354,0.19351930321862276,0.27806457198962337,0.057783427978904824,0.20352994101372857,0.21150826259696273,-0.08001448778935856,0.1181659815724679,0.14267518585132774,0.012211988702548107,0.23609270506258667,0.23632972349717565
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,15,1.75,1500,1500,0.0,0.32165418311362676,0.1177079120280158,0.1893675752296637,0.2229155095172276,0.02665207801876114,0.18379441065652818,0.18565612942850268,-0.05936770849369727,0.12564987539108166,0.13893124463847734,0.002620370096964635,0.20192916170688496,0.20187884757000155
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,15,2.0,1500,1500,0.0,0.28354071414932686,0.04399295134849984,0.1790161886197363,0.1842845924806607,0.0010710454938992295,0.1696281866216308,0.16957501689182217,-0.02988607058448034,0.12960270017364475,0.13296179601932778,-0.00029019210983489074,0.1850972021435175,0.18503572034427446
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,15,2.25,1500,1500,0.0,0.2708595728475763,-0.018908168297436755,0.1649732511382275,0.1659986394635615,-0.02212561582674833,0.16699236292579728,0.16839655930294523,-0.0069571064495585,0.13196653930395041,0.13210586177133726,-0.0077728039954292755,0.1701120907980306,0.17023292230158749
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,15,2.5,1500,1500,0.0,0.2736868487741102,-0.06349834983346707,0.1551780871604492,0.16761928789330743,-0.05217753149708754,0.15941696124654195,0.16768816241620124,0.018099701562734837,0.13554923670229413,0.13670751882585286,-0.011253457354536943,0.1546723967757234,0.15502980872473404
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,15,2.75,1500,1500,0.0,0.28183985283816093,-0.10780605240019824,0.13837707113137498,0.17537842875660423,-0.07243515946411706,0.1503413458604166,0.16683615991404077,0.04175826131344978,0.13824179274284495,0.1443669114438539,-0.010398686728452958,0.15321408000070202,0.15351559299714274
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,15,3.0,1500,1500,0.0,0.2992118397395642,-0.15028180239825756,0.12274571167159065,0.19401310658306484,-0.08772934391006436,0.1502665553349157,0.17395810437193437,0.06040352500771555,0.13412167617615728,0.14705515100684563,-0.02080604737910072,0.1357107367623782,0.13725165722404653
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,15,3.25,1500,1500,0.0,0.32419650656219257,-0.185225005086518,0.1107271834693306,0.21577914170646503,-0.10421727928210417,0.14841076776242357,0.18130723496725357,0.07824322442159451,0.13986229737499023,0.16021992204491986,-0.021701911642674262,0.13472221871865234,0.1364146221437125
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,15,3.5,1500,1500,0.0,0.35310360746928504,-0.2231897928306995,0.09558999889010428,0.24278599605351106,-0.12293336722721282,0.14531488110703458,0.19030225915419816,0.10226621762199872,0.13811772620879584,0.17182016147395462,-0.020783151507851705,0.1236020852734879,0.12529656773789505
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,15,3.75,1500,1500,0.0,0.3815730480701486,-0.25776654817411465,0.08757395795141017,0.27222725556074046,-0.13685090838350725,0.14411404201170327,0.19870375518747863,0.11457076786257418,0.13745277254014163,0.17890536609561433,-0.03098901061004468,0.11321227657384304,0.1173405030921141
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,15,4.0,1500,1500,0.0,0.41159062862802825,-0.2876886645161618,0.07536423313953382,0.2973898936010518,-0.1490429017042267,0.1475288150605546,0.20967600718109114,0.1297982988910638,0.1420137868414672,0.19235921805560968,-0.03236104041372007,0.10897288030364219,0.11364158064973065
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,15,4.25,1500,1500,0.0,0.43840280360152195,-0.31831289349223907,0.06661483565071871,0.3252040530722538,-0.1604551542540833,0.1456552207761211,0.2166729245594598,0.1417574316688929,0.13931961947786614,0.19872640950287399,-0.04070295442342289,0.10003235483330083,0.10796541821781785
