beta,eta,gamma,gamma_over_eta,n,repeat_id,beta_hat,eta_hat,gamma_hat,r_squared,converged,time_ms,status
2.5,1.0,0.1,0.1,20,6,1.553435221890727,0.789803668879864,0.2250892722354904,0.885415764304717,True,13.31970002502203,success
2.5,1.0,0.1,0.1,20,7,2.8015638446016773,1.1818189967946697,0.0,0.8771740195522396,True,9.130199905484915,success
2.5,1.0,0.1,0.1,20,8,2.0527345276062365,0.876041686517855,0.15606731111119543,0.9445096779501676,True,9.732899954542518,success
2.5,1.0,0.1,0.1,20,9,1.5878283923956877,0.7251533905216249,0.3827174668564537,0.8887296253489654,True,8.977700024843216,success
4.0,1.0,0.1,0.1,7,0,0,0,0,0,False,19.203099887818098,failure
4.0,1.0,0.1,0.1,7,1,7.742211240756372,1.0310165928836996,0.0,0.871662060464149,True,7.578300079330802,success
4.0,1.0,0.1,0.1,7,2,8.689027323900337,1.2021547569337994,0.0,0.7827264733734861,True,22.546699969097972,success
4.0,1.0,0.1,0.1,7,3,0,0,0,0,False,19.63740005157888,failure
4.0,1.0,0.1,0.1,7,4,0,0,0,0,False,16.63969992659986,failure
4.0,1.0,0.1,0.1,7,5,0,0,0,0,False,151.10799996182323,failure
4.0,1.0,0.1,0.1,7,6,8.8731536398784,1.0964590427619445,0.0,0.15404323276645915,True,7.121100090444088,success
4.0,1.0,0.1,0.1,7,7,7.634814366515931,1.0445390815455624,0.0,0.8232019976837418,True,12.012700084596872,success
4.0,1.0,0.1,0.1,7,8,0,0,0,0,False,123.12239990569651,failure
4.0,1.0,0.1,0.1,7,9,3.956999868300781,0.9750953723531341,0.0,0.6254155102920027,True,9.721499867737293,success
4.0,1.0,0.1,0.1,10,0,2.130382260760026,0.5293516985126909,0.538533354509171,0.861271369038504,True,11.8219000287354,success
4.0,1.0,0.1,0.1,10,1,1.1691983956725618,0.4165775104431566,0.6148874043269078,0.5925272593060276,True,11.6115000564605,success
4.0,1.0,0.1,0.1,10,2,2.305543336110911,0.5890400069035231,0.5188942203694911,0.8467461320192627,True,12.39509996958077,success
4.0,1.0,0.1,0.1,10,3,1.8920619570300792,0.4354444724193029,0.42352332969831097,0.8700457343151367,True,10.956000071018934,success
4.0,1.0,0.1,0.1,10,4,4.7400262491874585,1.0823593960548796,0.0,0.8759665308077602,True,9.109900100156665,success
4.0,1.0,0.1,0.1,10,5,2.21193665175868,0.45732358344573887,0.6387961344146547,0.8648508216138421,True,10.840199887752533,success
4.0,1.0,0.1,0.1,10,6,3.450471668895676,0.5705587030955723,0.5280545002904447,0.8699084207900436,True,11.415800079703331,success
4.0,1.0,0.1,0.1,10,7,4.770313480326047,1.1162230314105268,0.0,0.5619715181694643,True,12.177499942481518,success
4.0,1.0,0.1,0.1,10,8,4.7316145346689495,1.0738745543617791,0.0,0.47831667283168067,True,8.247899822890759,success
4.0,1.0,0.1,0.1,10,9,5.625271652629349,1.1005359981142413,0.0,0.5658153226540525,True,8.492000168189406,success
4.0,1.0,0.1,0.1,20,0,3.5875887364717944,0.8048090935062155,0.2511365561237965,0.9040956590592586,True,11.622200021520257,success
4.0,1.0,0.1,0.1,20,1,3.348632118723211,0.716424869221358,0.3935443622228002,0.9409813105028948,True,11.036300100386143,success
4.0,1.0,0.1,0.1,20,2,4.25102824214115,1.0221362115824997,0.0,0.929123058617624,True,7.9459999687969685,success
4.0,1.0,0.1,0.1,20,3,3.427342994109411,1.0961306946635587,0.0,0.8736684637764383,True,10.694800177589059,success
