beta_true,sample_size,offset_value,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
1.5,5,0.05,46,3.002146,618.652537,839.730963,1.502146,-381.347463,-160.269037,0.972784
1.5,5,0.05,47,1.163915,749.769609,1515.179967,-0.336085,-250.230391,515.179967,0.981164
1.5,5,0.05,48,2.034839,288.521006,1321.371254,0.534839,-711.478994,321.371254,0.955620
1.5,5,0.05,49,1.828866,1793.128478,702.505555,0.328866,793.128478,-297.494445,0.864959
1.5,5,0.05,50,1.084729,523.229291,1621.768884,-0.415271,-476.770709,621.768884,0.958594
1.5,5,0.05,51,2.150902,1044.892085,677.490290,0.650902,44.892085,-322.509710,0.888576
1.5,5,0.05,52,1.805977,1884.760100,1074.228498,0.305977,884.760100,74.228498,0.983986
1.5,5,0.05,53,0.857258,951.386282,1588.173190,-0.642742,-48.613718,588.173190,0.986741
1.5,5,0.05,54,0.858592,427.021667,1321.556240,-0.641408,-572.978333,321.556240,0.961894
1.5,5,0.05,55,5.121894,1903.990059,0.000000,3.621894,903.990059,-1000.000000,0.758631
1.5,5,0.05,56,1.338850,1031.120759,1078.064373,-0.161150,31.120759,78.064373,0.966146
1.5,5,0.05,57,0.653377,512.982373,1048.705789,-0.846623,-487.017627,48.705789,0.955494
1.5,5,0.05,58,2.606153,208.030207,1232.745161,1.106153,-791.969793,232.745161,0.952255
1.5,5,0.05,59,3.036506,1737.451282,0.000000,1.536506,737.451282,-1000.000000,0.575499
1.5,5,0.05,60,2.788287,1925.743163,0.000000,1.288287,925.743163,-1000.000000,0.749083
1.5,5,0.05,61,1.906978,1784.121097,415.647179,0.406978,784.121097,-584.352821,0.995602
1.5,5,0.05,62,3.204159,2727.961521,0.000000,1.704159,1727.961521,-1000.000000,0.933229
1.5,5,0.05,63,2.941877,877.452406,638.714295,1.441877,-122.547594,-361.285705,0.973053
1.5,5,0.05,64,3.739064,1401.484662,589.091543,2.239064,401.484662,-410.908457,0.957215
1.5,5,0.05,65,2.410091,1846.987689,346.999831,0.910091,846.987689,-653.000169,0.916258
1.5,5,0.05,66,1.685160,1345.323637,1273.642397,0.185160,345.323637,273.642397,0.937251
1.5,5,0.05,67,1.648718,1138.117718,1077.429377,0.148718,138.117718,77.429377,0.963839
1.5,5,0.05,68,3.769847,2120.075709,0.000000,2.269847,1120.075709,-1000.000000,0.585987
1.5,5,0.05,69,3.180534,872.970804,989.280732,1.680534,-127.029196,-10.719268,0.971963
1.5,5,0.05,70,3.868660,1051.729665,1004.707564,2.368660,51.729665,4.707564,0.843974
1.5,5,0.05,71,2.907910,1923.892669,0.000000,1.407910,923.892669,-1000.000000,0.751746
