n,fold,seed,mse_p,mse_q,mse_qp
15,5,73,0.01995262195166706,0.018821753432480322,0.018745820465123155
15,5,314,0.019939534607400902,0.01893965364878704,0.018584335574819835
15,5,2718,0.019826187294721877,0.01920575023484776,0.019363232383432745
15,5,4099,0.019812977004969846,0.018762107542970433,0.018717611467423182
15,5,8128,0.019844279690688686,0.019031484127178,0.018604282390129307
15,5,12011,0.019723579489381454,0.018857725612435816,0.018475136153882778
20,1,42,0.014451904582628862,0.013995176067365911,0.013573958456362493
20,1,2026,0.014462104967894355,0.014006070633882572,0.013539824045959327
20,1,3407,0.01434262135216799,0.013919648594162762,0.013770919725063748
20,1,17,0.014391798539213258,0.013968076608997505,0.013615092148785398
20,1,73,0.014668901706885179,0.014010935660993047,0.013640986897151904
20,1,314,0.014581382952012225,0.014007067847015098,0.013555987801534577
20,1,2718,0.01438704264708874,0.01387613051612728,0.013709957007267513
20,1,4099,0.014410437964158487,0.013932824612887753,0.013479445969171451
20,1,8128,0.014586681836765111,0.013914306652383824,0.013633948590504982
20,1,12011,0.015014320559084658,0.014076905030299928,0.01365664362742225
20,2,42,0.01450051897826186,0.014221284398761818,0.013493684769779577
20,2,2026,0.01467195156529394,0.014200243341561114,0.013687349530819596
20,2,3407,0.014496489335716234,0.01419924451375612,0.01346754341546314
20,2,17,0.014630318577590682,0.014184248366377853,0.013644058216956937
20,2,73,0.014334620388970525,0.014279553211172588,0.013971835114087205
20,2,314,0.014156845994988435,0.014240059873755945,0.013717163716685344
20,2,2718,0.014025477303321038,0.014189813830910513,0.013629736680100807
20,2,4099,0.01443886405349445,0.014195372051738637,0.013853187153883131
20,2,8128,0.014522926234489546,0.014190548348305623,0.013448651197827424
20,2,12011,0.01422544847753453,0.014115057793470054,0.013828315334825175
20,3,42,0.01483100276623786,0.014398836934743168,0.014137737782541286
20,3,2026,0.015122637122534173,0.014198442638174717,0.01377666991210373
20,3,3407,0.014479149052225325,0.013936744814767131,0.014181099248053632
20,3,17,0.015023748744127085,0.014011818355406032,0.013923560772747038
20,3,73,0.014738607658745184,0.01427634102083732,0.013795597662903761
20,3,314,0.014241287812349969,0.01421214769985275,0.013830878691287666
20,3,2718,0.014769842897032962,0.014032695197712114,0.013954378720696053
20,3,4099,0.014859591647902952,0.014256326965788733,0.01407826246253807
20,3,8128,0.014745357421195027,0.014075996044462146,0.013997070470300637
20,3,12011,0.015240287707752084,0.014284675911874073,0.013966839305733558
20,4,42,0.01621209186498905,0.01577710110283339,0.01594164931799752
20,4,2026,0.01641709157607135,0.015717549257150486,0.015719012600769543
20,4,3407,0.016858253324161934,0.015767066020742727,0.015817419123061036
20,4,17,0.016447371039104777,0.015790892355342076,0.015541986845297853
20,4,73,0.016676821688300307,0.015590720455160993,0.01547914160604751
20,4,314,0.01588120230286789,0.015866664469501607,0.015542654464918775
20,4,2718,0.016771274867681544,0.01564205798858731,0.015846304215540494
20,4,4099,0.016639598995552216,0.01572067103430403,0.01579550437979814
20,4,8128,0.016585299135817824,0.015678973632692716,0.015722996538822483
20,4,12011,0.016708426140187017,0.015719993242418906,0.01566150729128661
20,5,42,0.01350163136381156,0.012774974565270743,0.012663552918212417
20,5,2026,0.013387915386543655,0.012783438964681086,0.012747895135237981
20,5,3407,0.013531013571776496,0.012814832335584338,0.012676349378503487
20,5,17,0.013259905749033936,0.012749079092561264,0.012558549585537548
20,5,73,0.013329010880578177,0.012824071348981588,0.012802932218022051
20,5,314,0.013156397942890903,0.012702133805066119,0.012713909222099844
20,5,2718,0.01371786752303954,0.012916051454851663,0.01292165876306457
20,5,4099,0.013107906674016182,0.012709672364041944,0.01243877865512824
20,5,8128,0.013735472320319365,0.012811407874378454,0.01264297858452231
20,5,12011,0.013436054605477653,0.012874780832936658,0.012671271660967152
