contract,n,fold,seed,mse_P,mse_Q,mse_QD
continuous,15,4,8128,0.01362863498655793,0.013565168491980523,0.013401796984159326
continuous,15,4,12011,0.013619840708655738,0.013663482071037911,0.013416462725827518
continuous,15,5,42,0.014131407405096752,0.014127686043815757,0.01387004060684531
continuous,15,5,2026,0.014129953445774666,0.0141225917154321,0.014110441261391523
continuous,15,5,3407,0.013950519555066411,0.014190252591918142,0.013960249954891285
continuous,15,5,17,0.01431541051498434,0.014231180977504677,0.013920466887962023
continuous,15,5,73,0.013962818840920927,0.01409622662015645,0.013904856356876888
continuous,15,5,314,0.014224053611070738,0.014155786114965275,0.013970120846534477
continuous,15,5,2718,0.014422187649791753,0.014143033839401369,0.01388912320358514
continuous,15,5,4099,0.01456678532069051,0.014400938059940855,0.014001934783155793
continuous,15,5,8128,0.013957197750573146,0.014096379787545396,0.013846341229955827
continuous,15,5,12011,0.014048313622190325,0.014200177648459383,0.013834684028043807
continuous,20,1,42,0.010563237706744132,0.010526456892603488,0.010211431152708771
continuous,20,1,2026,0.010518387562638901,0.010430970450018775,0.010126565096897544
continuous,20,1,3407,0.010576920592810402,0.010494096939054004,0.010076427459216592
continuous,20,1,17,0.010263553599217386,0.010500487745607124,0.010105487475076412
continuous,20,1,73,0.010209600302593845,0.010611019604460287,0.010139713225408105
continuous,20,1,314,0.01027412853899403,0.01043582886739537,0.010105878080741648
continuous,20,1,2718,0.010620490019604186,0.010487864985808844,0.010264773111778688
continuous,20,1,4099,0.010528097939700234,0.010443780383187358,0.010182151805577543
continuous,20,1,8128,0.010898103299851549,0.010499028300541693,0.010222044998047533
continuous,20,1,12011,0.010288525425340082,0.010600418128606874,0.010123997114633795
continuous,20,2,42,0.010092461418403727,0.010162947710624919,0.01016060324485424
continuous,20,2,2026,0.010372200135418291,0.01016156059455661,0.010152373702768695
continuous,20,2,3407,0.0102193682782178,0.010167472170409404,0.010090488481486862
continuous,20,2,17,0.010369087357866142,0.010180088147813782,0.010135942546469113
continuous,20,2,73,0.010162361972516833,0.010143463777314904,0.010239021775022845
continuous,20,2,314,0.01050967429141837,0.010201780436686342,0.010175803093192085
continuous,20,2,2718,0.01037866416960676,0.010177810426363437,0.010133239684126024
continuous,20,2,4099,0.010212685186614784,0.010132872282115775,0.010213205522668843
continuous,20,2,8128,0.01028639887512779,0.010158594656424267,0.010286516595648042
continuous,20,2,12011,0.010169792316133798,0.010178120968762113,0.010210262680746927
continuous,20,3,42,0.009778377785775942,0.010031780394741403,0.009766125273038781
continuous,20,3,2026,0.009837092278541177,0.010276888290855034,0.00993884645410292
continuous,20,3,3407,0.00984100480773223,0.010291383385370011,0.009814045424327148
continuous,20,3,17,0.009683986224362442,0.010137538135399863,0.00992798636384708
continuous,20,3,73,0.00971708567966028,0.010125474786938303,0.00979869819133301
continuous,20,3,314,0.009751708613384437,0.010170916310672327,0.009841636952595243
continuous,20,3,2718,0.009919736686177669,0.010129375101955563,0.00988860810014502
continuous,20,3,4099,0.009743720675890884,0.010175073627381256,0.009915794038606327
continuous,20,3,8128,0.01005290701710996,0.010203016700928795,0.009896071296295801
continuous,20,3,12011,0.00978710326820903,0.010220274510512422,0.009990365714821344
continuous,20,4,42,0.011019708602020752,0.010575606529646462,0.010719455103653361
continuous,20,4,2026,0.010673831955245043,0.010518336005920188,0.010751398264522398
continuous,20,4,3407,0.010809464146967953,0.010527068008998199,0.010789962630800363
continuous,20,4,17,0.010796180634725469,0.010601780739204954,0.010726717750170377
continuous,20,4,73,0.01070641186537649,0.010514097143896615,0.010706699424843738
continuous,20,4,314,0.010654831427268115,0.010562607708082018,0.010738507810301383
continuous,20,4,2718,0.01080751841285024,0.010531405561380647,0.01073716998963634
continuous,20,4,4099,0.010652434029400288,0.010496195230420136,0.010656175495441554
continuous,20,4,8128,0.01066700284507484,0.0105281433124563,0.010705527615610479
continuous,20,4,12011,0.01084098216657028,0.010589056891072625,0.010708317629858143
continuous,20,5,42,0.010572135241298927,0.010503745503492761,0.010444263378507443
continuous,20,5,2026,0.010739045561545556,0.010572819535712707,0.010427810668695683
continuous,20,5,3407,0.010635783352036902,0.010439335255093066,0.010382824456974839
continuous,20,5,17,0.010552267325672554,0.01054430615542086,0.010450351224142543
continuous,20,5,73,0.010536055819074555,0.010520567335512144,0.010300514122123957
continuous,20,5,314,0.0106005273552225,0.010521236302126266,0.010571464719923327
continuous,20,5,2718,0.010307158246433431,0.010589479086295478,0.01051523552171975
continuous,20,5,4099,0.010478530840717648,0.010487781847110323,0.010512119829115067
continuous,20,5,8128,0.010370597745139234,0.010598782476870447,0.010394259747029358
continuous,20,5,12011,0.0104339886359529,0.010495164631829325,0.010402200139387181
