level,group,delta,jparam
L3,beta=4.0_n=20,0.14,0.5914377031536118
L3,beta=4.0_n=20,0.16,0.6070947092588236
L3,beta=4.0_n=20,0.18,0.6217213920006208
L3,beta=4.0_n=20,0.2,0.635340290166659
L3,beta=4.0_n=20,0.22,0.6480234765344599
L3,beta=4.0_n=20,0.24,0.6598965907260675
L3,beta=4.0_n=20,0.26,0.6710236777025514
L3,beta=4.0_n=20,0.28,0.6814265938796548
L3,beta=4.0_n=20,0.3,0.6910876073253602
L3,beta=4.0_n=20,0.32,0.7001201160249382
L3,beta=4.0_n=20,0.34,0.7086945508623299
L3,beta=4.0_n=20,0.36,0.7168468297589307
L3,beta=4.0_n=20,0.38,0.7244049790947663
L3,beta=4.0_n=20,0.4,0.7314590365415053
L3,beta=4.0_n=20,0.42,0.738010649291712
L3,beta=4.0_n=20,0.44,0.7441793655932932
L3,beta=4.0_n=20,0.46,0.7499661616262201
L3,beta=4.0_n=20,0.48,0.7553345014271894
L3,beta=4.0_n=20,0.5,0.7603286154037058
L4,beta=2.0_n=7_g=0.1,0.0,0.6737453647645503
L4,beta=2.0_n=7_g=0.1,0.02,0.6272087570780481
L4,beta=2.0_n=7_g=0.1,0.04,0.609513100248288
L4,beta=2.0_n=7_g=0.1,0.06,0.5984675703012249
L4,beta=2.0_n=7_g=0.1,0.08,0.5931659015280265
L4,beta=2.0_n=7_g=0.1,0.1,0.5916093291337232
L4,beta=2.0_n=7_g=0.1,0.12,0.5921379930428388
L4,beta=2.0_n=7_g=0.1,0.14,0.5932575407973716
L4,beta=2.0_n=7_g=0.1,0.16,0.611317090575032
L4,beta=2.0_n=7_g=0.1,0.18,0.6234064271700601
L4,beta=2.0_n=7_g=0.1,0.2,0.6256469915508514
L4,beta=2.0_n=7_g=0.1,0.22,0.628055597351158
L4,beta=2.0_n=7_g=0.1,0.24,0.6306010468322262
L4,beta=2.0_n=7_g=0.1,0.26,0.6370645415637367
L4,beta=2.0_n=7_g=0.1,0.28,0.6449716961084525
L4,beta=2.0_n=7_g=0.1,0.3,0.653390788755212
L4,beta=2.0_n=7_g=0.1,0.32,0.6596882659002345
L4,beta=2.0_n=7_g=0.1,0.34,0.6643572206458946
L4,beta=2.0_n=7_g=0.1,0.36,0.6726830666762078
L4,beta=2.0_n=7_g=0.1,0.38,0.6788814348586121
L4,beta=2.0_n=7_g=0.1,0.4,0.6836974400314809
L4,beta=2.0_n=7_g=0.1,0.42,0.6889575328916029
L4,beta=2.0_n=7_g=0.1,0.44,0.691937554652891
L4,beta=2.0_n=7_g=0.1,0.46,0.6953432455739413
L4,beta=2.0_n=7_g=0.1,0.48,0.7012124889062858
L4,beta=2.0_n=7_g=0.1,0.5,0.7050840011420693
L4,beta=2.0_n=7_g=0.5,0.0,0.972491728394224
L4,beta=2.0_n=7_g=0.5,0.02,0.8379168166561664
L4,beta=2.0_n=7_g=0.5,0.04,0.7499443485293226
L4,beta=2.0_n=7_g=0.5,0.06,0.6960369710877989
L4,beta=2.0_n=7_g=0.5,0.08,0.6541743630362302
L4,beta=2.0_n=7_g=0.5,0.1,0.624827529274818
L4,beta=2.0_n=7_g=0.5,0.12,0.6054785226509368
L4,beta=2.0_n=7_g=0.5,0.14,0.6152940087666916
L4,beta=2.0_n=7_g=0.5,0.16,0.6163043867325674
L4,beta=2.0_n=7_g=0.5,0.18,0.6120995809134308
L4,beta=2.0_n=7_g=0.5,0.2,0.6200718923239104
L4,beta=2.0_n=7_g=0.5,0.22,0.6235572484259088
L4,beta=2.0_n=7_g=0.5,0.24,0.6243248430907303
L4,beta=2.0_n=7_g=0.5,0.26,0.6258686029498663
L4,beta=2.0_n=7_g=0.5,0.28,0.6294949380635951
L4,beta=2.0_n=7_g=0.5,0.3,0.6349226699190051
L4,beta=2.0_n=7_g=0.5,0.32,0.6389839325915019
L4,beta=2.0_n=7_g=0.5,0.34,0.6418939789482871
L4,beta=2.0_n=7_g=0.5,0.36,0.6486052190017966
L4,beta=2.0_n=7_g=0.5,0.38,0.6536275743081117
L4,beta=2.0_n=7_g=0.5,0.4,0.6574534139610045
L4,beta=2.0_n=7_g=0.5,0.42,0.6634117162315353
L4,beta=2.0_n=7_g=0.5,0.44,0.6670193251892647
L4,beta=2.0_n=7_g=0.5,0.46,0.6729995959707588
L4,beta=2.0_n=7_g=0.5,0.48,0.6775955194481683
L4,beta=2.0_n=7_g=0.5,0.5,0.6825697469407349
L4,beta=2.0_n=7_g=1.0,0.0,1.5465384463919782
L4,beta=2.0_n=7_g=1.0,0.02,1.1562308402362398
L4,beta=2.0_n=7_g=1.0,0.04,0.9521200079810715
L4,beta=2.0_n=7_g=1.0,0.06,0.8148417432731334
L4,beta=2.0_n=7_g=1.0,0.08,0.732517838939334
L4,beta=2.0_n=7_g=1.0,0.1,0.6811054023159466
L4,beta=2.0_n=7_g=1.0,0.12,0.6616896724102145
L4,beta=2.0_n=7_g=1.0,0.14,0.6495359795315776
L4,beta=2.0_n=7_g=1.0,0.16,0.636900005349704
L4,beta=2.0_n=7_g=1.0,0.18,0.6338306637231946
L4,beta=2.0_n=7_g=1.0,0.2,0.6290203823475791
L4,beta=2.0_n=7_g=1.0,0.22,0.630753480632152
L4,beta=2.0_n=7_g=1.0,0.24,0.6317360335705939
L4,beta=2.0_n=7_g=1.0,0.26,0.6340685378499138
L4,beta=2.0_n=7_g=1.0,0.28,0.6366762911127032
L4,beta=2.0_n=7_g=1.0,0.3,0.643643613727414
L4,beta=2.0_n=7_g=1.0,0.32,0.6455594535604211
L4,beta=2.0_n=7_g=1.0,0.34,0.6506643868094838
L4,beta=2.0_n=7_g=1.0,0.36,0.6558606131522532
L4,beta=2.0_n=7_g=1.0,0.38,0.6587782720040424
L4,beta=2.0_n=7_g=1.0,0.4,0.6635679129584544
L4,beta=2.0_n=7_g=1.0,0.42,0.6673674849794717
L4,beta=2.0_n=7_g=1.0,0.44,0.674229946101395
L4,beta=2.0_n=7_g=1.0,0.46,0.6769309600623596
L4,beta=2.0_n=7_g=1.0,0.48,0.6814369647453798
L4,beta=2.0_n=7_g=1.0,0.5,0.685549094370944
L4,beta=2.0_n=10_g=0.1,0.0,0.487431965300595
L4,beta=2.0_n=10_g=0.1,0.02,0.4762289939241635
L4,beta=2.0_n=10_g=0.1,0.04,0.4743242784699472
L4,beta=2.0_n=10_g=0.1,0.06,0.4738380668684719
L4,beta=2.0_n=10_g=0.1,0.08,0.4729044553258443
L4,beta=2.0_n=10_g=0.1,0.1,0.4724354395858612
L4,beta=2.0_n=10_g=0.1,0.12,0.4726640790641806
L4,beta=2.0_n=10_g=0.1,0.14,0.4730441852798193
L4,beta=2.0_n=10_g=0.1,0.16,0.4735273700671525
L4,beta=2.0_n=10_g=0.1,0.18,0.474740709005694
L4,beta=2.0_n=10_g=0.1,0.2,0.4801848000166316
L4,beta=2.0_n=10_g=0.1,0.22,0.4824122031927276
L4,beta=2.0_n=10_g=0.1,0.24,0.4865623201576228
L4,beta=2.0_n=10_g=0.1,0.26,0.4892409129084744
L4,beta=2.0_n=10_g=0.1,0.28,0.4922254768612135
L4,beta=2.0_n=10_g=0.1,0.3,0.4966721181053578
L4,beta=2.0_n=10_g=0.1,0.32,0.5035395595975847
L4,beta=2.0_n=10_g=0.1,0.34,0.506952954320975
L4,beta=2.0_n=10_g=0.1,0.36,0.510134909059182
L4,beta=2.0_n=10_g=0.1,0.38,0.514172322211355
L4,beta=2.0_n=10_g=0.1,0.4,0.5180554786862503
L4,beta=2.0_n=10_g=0.1,0.42,0.5217983075637952
L4,beta=2.0_n=10_g=0.1,0.44,0.5251146661572804
L4,beta=2.0_n=10_g=0.1,0.46,0.5285561362920635
L4,beta=2.0_n=10_g=0.1,0.48,0.5324292848080894
L4,beta=2.0_n=10_g=0.1,0.5,0.5367456135780869
L4,beta=2.0_n=10_g=0.5,0.0,0.8214167467961458
L4,beta=2.0_n=10_g=0.5,0.02,0.7257621039206718
L4,beta=2.0_n=10_g=0.5,0.04,0.6616081842087657
L4,beta=2.0_n=10_g=0.5,0.06,0.617844064387236
L4,beta=2.0_n=10_g=0.5,0.08,0.5816768044062058
L4,beta=2.0_n=10_g=0.5,0.1,0.5520964371009516
L4,beta=2.0_n=10_g=0.5,0.12,0.5303957613678211
L4,beta=2.0_n=10_g=0.5,0.14,0.5149819808312064
L4,beta=2.0_n=10_g=0.5,0.16,0.5042912807672442
