beta,n,gamma_eta,delta,bias_beta,sd_beta,bias_eta,sd_eta,bias_gamma,sd_gamma,n_valid
1.5,10,1.0,0.44,-0.1692015819999999,0.4125482361168662,-0.11429562800000004,0.2551291828797234,0.09646678000000031,0.14946881622190347,500
1.5,10,1.0,0.46,-0.17493461399999988,0.4138363998710474,-0.11837510399999995,0.2521716203040436,0.09958621599999984,0.1479615973798463,500
1.5,10,1.0,0.48,-0.18132165399999978,0.4120014485902291,-0.12177869800000007,0.25031486927815993,0.10221894999999992,0.14685448131847437,500
1.5,10,1.0,0.5,-0.1852044100000001,0.4168325062795805,-0.12597759800000008,0.24761858879679416,0.10532578999999997,0.14565459542147197,500
1.5,20,0.1,0.0,0.11724825400000016,0.40572893914165836,0.004116274000000031,0.21227243921406921,-0.005943314000000019,0.10727356622331495,500
1.5,20,0.1,0.02,0.10308945200000008,0.3969492018347716,-0.0004491679999999443,0.21173851873004063,-0.0019489899999999977,0.10738334089062215,500
1.5,20,0.1,0.04,0.08995660399999994,0.3889253728582142,-0.004693219999999831,0.21101692774399078,0.0017555159999999986,0.10723233050028703,500
1.5,20,0.1,0.06,0.07815118399999998,0.3833137206488459,-0.008471659999999881,0.21058760487555492,0.005039087999999983,0.1071365263869086,500
1.5,20,0.1,0.08,0.06763659200000016,0.3791427871658979,-0.011834891999999986,0.2102351530262155,0.007951738,0.10708430300946728,500
1.5,20,0.1,0.1,0.057659551999999836,0.37425174023304986,-0.015020183999999936,0.2098035377245809,0.010713319999999985,0.1069346722698701,500
1.5,20,0.1,0.12,0.048137333999999976,0.3695545589895684,-0.018060592000000097,0.20940299022173764,0.013346951999999995,0.10672571019173194,500
1.5,20,0.1,0.14,0.03903886600000006,0.36485013246969,-0.02098778400000001,0.20888284490290437,0.015880669999999986,0.10645765285093486,500
1.5,20,0.1,0.16,0.030439335999999928,0.36053844656821654,-0.023775718,0.20827509849179282,0.01828874599999998,0.10618275225141253,500
1.5,20,0.1,0.18,0.022093599999999824,0.35593922629339503,-0.02648057799999992,0.20765486273214148,0.02062352599999999,0.10586417792074425,500
1.5,20,0.1,0.2,0.014051996000000067,0.3514706046628539,-0.029117583999999974,0.20697066474286435,0.022892786,0.10551165712397043,500
1.5,20,0.1,0.22,0.006417497999999799,0.3474160848533638,-0.03164726200000001,0.20627825508503608,0.025059842,0.10517701032415064,500
1.5,20,0.1,0.24,-0.0008461300000000005,0.3437265062486116,-0.03408088399999998,0.20556948637250969,0.027134835999999996,0.10485707520795837,500
