beta,n,gamma_eta,method,mean_loss,n_valid,J_param
2.5,7,0.5,oracle,0.4298616512253816,500,0.6556383539920324
2.5,7,0.5,wmle,0.5150945033734522,500,0.7177008453202853
2.5,7,1.0,dual,0.7682163882448327,500,0.8764795423994977
2.5,7,1.0,lmom,0.59549199748516,1,0.7716812797296304
2.5,7,1.0,mdm0,0.9934480431684801,500,0.9967186379156758
2.5,7,1.0,oracle,0.425219297248398,500,0.6520884121408677
2.5,7,1.0,wmle,0.6311501912034333,500,0.7944496152704923
2.5,10,0.1,dual,0.30863099125658966,500,0.5555456698207535
2.5,10,0.1,lmom,0.4397236133251338,133,0.6631165910495181
2.5,10,0.1,mdm0,0.2953765499788325,500,0.5434855563663422
2.5,10,0.1,oracle,0.2692318785718735,500,0.5188755906495057
2.5,10,0.1,wmle,0.30414455880334007,500,0.5514930269761713
2.5,10,0.5,dual,0.42260592138294234,500,0.6500814728808554
2.5,10,0.5,lmom,0.47685934655002526,38,0.690550031894884
2.5,10,0.5,mdm0,0.4373621346175952,500,0.6613336031214467
2.5,10,0.5,oracle,0.31524971037575766,500,0.5614710236296773
2.5,10,0.5,wmle,0.41403224190693977,500,0.643453371975732
2.5,10,1.0,dual,0.512542803718973,500,0.715920947953734
2.5,10,1.0,lmom,0.59011276904533,4,0.7681879776756012
2.5,10,1.0,mdm0,0.5868521657351943,500,0.7660627687958698
2.5,10,1.0,oracle,0.3127368250983924,500,0.5592287770656946
2.5,10,1.0,wmle,0.4793443095936504,500,0.6923469575246578
2.5,20,0.1,dual,0.19541041525153727,500,0.4420525028223879
2.5,20,0.1,lmom,0.25227636075897014,237,0.5022712023986345
2.5,20,0.1,mdm0,0.1887029544889579,500,0.4343995332513122
2.5,20,0.1,oracle,0.16993115970199185,500,0.41222707298525635
2.5,20,0.1,wmle,0.1949305813460473,500,0.44150943517216856
2.5,20,0.5,dual,0.2716020280292672,500,0.5211545145436881
2.5,20,0.5,lmom,0.26305784482865646,90,0.512891650184185
2.5,20,0.5,mdm0,0.2969791122886234,500,0.5449578995561248
2.5,20,0.5,oracle,0.1666003717201293,500,0.40816708799231877
2.5,20,0.5,wmle,0.26753382854567626,500,0.5172367238950424
2.5,20,1.0,dual,0.25943751655980574,500,0.509350092333167
2.5,20,1.0,lmom,0.29978381304352,9,0.5475251711506239
2.5,20,1.0,mdm0,0.3039012271631191,500,0.5512723711225869
2.5,20,1.0,oracle,0.15256300862349575,500,0.3905931497395925
2.5,20,1.0,wmle,0.24027485433324305,500,0.49017839031646737
4.0,7,0.1,dual,0.669631928172323,500,0.8183104106464264
4.0,7,0.1,lmom,1.1490000727845624,6,1.0719142096196703
4.0,7,0.1,mdm0,0.5836036776413235,500,0.7639395772188554
4.0,7,0.1,oracle,0.5376674721976087,500,0.7332581211262571
4.0,7,0.1,wmle,0.6941022994216629,500,0.8331280210277787
4.0,7,0.5,dual,0.7133992938629593,500,0.8446296785354865
4.0,7,0.5,mdm0,0.6493358015146274,500,0.8058137511327462
4.0,7,0.5,oracle,0.5647076999339301,500,0.7514703586529079
4.0,7,0.5,wmle,0.7272695837689456,500,0.8528010223779904
4.0,7,1.0,dual,0.8722341934296063,500,0.9339347907801734
4.0,7,1.0,mdm0,0.837359986983046,500,0.9150737604057096
4.0,7,1.0,oracle,0.587230787466735,500,0.7663098508219341
4.0,7,1.0,wmle,0.8282457834766088,500,0.9100800972862821
4.0,10,0.1,dual,0.5316446814017215,500,0.7291396857953362
4.0,10,0.1,lmom,0.7207316423840417,6,0.8489591523648483
4.0,10,0.1,mdm0,0.4625395368193125,500,0.6801025928632477
4.0,10,0.1,oracle,0.4379902038495096,500,0.66180828330379
4.0,10,0.1,wmle,0.5622243376523384,500,0.7498162025805647
4.0,10,0.5,dual,0.5697666359210001,500,0.7548288785685138
4.0,10,0.5,mdm0,0.5149166990985223,500,0.7175769638850751
4.0,10,0.5,oracle,0.45401803858616824,500,0.6738086067914005
4.0,10,0.5,wmle,0.608056536578734,500,0.7797798000581536
4.0,10,1.0,dual,0.5895161171835869,500,0.7677995292936737
4.0,10,1.0,mdm0,0.5284220474104548,500,0.726926438788998
4.0,10,1.0,oracle,0.4569425048041546,500,0.6759752249928651
4.0,10,1.0,wmle,0.616556466592201,500,0.7852110968346034
4.0,20,0.1,dual,0.32758542889610415,500,0.572350791819234
4.0,20,0.1,lmom,0.6697463053232019,13,0.8183802938262883
4.0,20,0.1,mdm0,0.28459716529308066,500,0.5334764899159856
4.0,20,0.1,oracle,0.25634320939815053,500,0.5063034755935916
4.0,20,0.1,wmle,0.34126052402865065,500,0.5841750799449175
4.0,20,0.5,dual,0.3894521557890814,500,0.6240610192834363
4.0,20,0.5,mdm0,0.34898505624402837,500,0.5907495715140455
4.0,20,0.5,oracle,0.2862918869383545,500,0.5350625075057628
4.0,20,0.5,wmle,0.40294639097985263,500,0.6347805849109223
4.0,20,1.0,dual,0.42365853299662587,500,0.650890569140947
4.0,20,1.0,mdm0,0.37699818352805,500,0.6140017781147299
4.0,20,1.0,oracle,0.305917300755951,500,0.5530979124494605
4.0,20,1.0,wmle,0.4338137579675851,500,0.6586453962243911
5.0,7,0.1,dual,0.7693829789799905,500,0.8771447879227183
