model,beta,gamma_over_eta,n,selected_loss,oracle_min_loss,regret,rel_regret,near_0.01,near_0.02,near_0.05
Vector-MLP-L6,1.5,0.1,7,0.4235947513624017,0.27041496560172296,0.15317978576067875,0.566461939041819,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.5474276915882185,0.5470912066555935,0.0003364849326249475,0.0006150435768871213,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.06404075766827105,0.06404075766827105,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.04230901014781039,0.04060339132738115,0.0017056188204292375,0.04200680693582959,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.09613217318223828,0.045914990505869696,0.050217182676368585,1.0936990756852907,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.09640051924953273,0.09265588411746746,0.0037446351320652715,0.04041443420169506,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.2266008619547983,0.2235430110238928,0.00305785093090552,0.013679027212256214,0,1,1
Vector-MLP-L6,1.5,0.1,7,0.051287599588186954,0.051287599588186954,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.02569471240635636,0.025564622338899327,0.0001300900674570324,0.005088675503689579,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.14230530033748953,0.13874902850388998,0.0035562718335995502,0.02563096745214217,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.09257160473692713,0.06051360069903498,0.03205800403789215,0.5297652704114065,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.061146651287199004,0.061146651287199004,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.030109749547723726,0.02040643456145652,0.009703314986267204,0.4755027124922025,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.1404946026542281,0.1327725413838387,0.007722061270389408,0.058160077301415196,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.9836549610645117,0.2566875802234726,0.7269673808410391,2.832109680601376,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.03586249419845981,0.013482527513920872,0.02237996668453894,1.6599236798464794,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.2567495012396087,0.1900180624163675,0.0667314388232412,0.351184713572225,0,0,0
