beta,gamma_over_eta,n,method,mean_loss_primary,J1_primary,failure_rate,n_samples
2.5,0.1,10,MDM-0.1,0.2742835256679777,0.5237208470817041,0.0,300
2.5,0.1,10,MLE,1.1628358506088188,1.0783486683855175,0.31666666666666665,300
2.5,0.1,10,WMLE,0.14868799982731704,0.3856008296507115,0.0,300
2.5,0.1,15,LRE,0.22840617480745778,0.477918585961519,0.0,300
2.5,0.1,15,LSE,0.24568672448712386,0.49566795789835344,0.0,300
2.5,0.1,15,MDM-0.1,0.20688641902255184,0.45484768771815454,0.0,300
2.5,0.1,15,MLE,0.663290370267399,0.814426405679113,0.15333333333333332,300
2.5,0.1,15,WMLE,0.13586267830540494,0.36859554840692926,0.0,300
2.5,0.1,20,LRE,0.15659145340781297,0.39571638000948733,0.0,300
2.5,0.1,20,LSE,0.17164348554933753,0.4142987877719865,0.0,300
2.5,0.1,20,MDM-0.1,0.14997895660684168,0.3872711667641185,0.0,300
2.5,0.1,20,MLE,0.395647581401532,0.6290052316169811,0.07333333333333333,300
2.5,0.1,20,WMLE,0.1098298832648761,0.33140591917597984,0.0,300
2.5,0.25,7,LRE,0.5799906675964545,0.7615711835386462,0.0,300
2.5,0.25,7,LSE,0.6174767244237935,0.7857968722410351,0.0,300
2.5,0.25,7,MDM-0.1,0.43397968513744484,0.6587713451095493,0.0,300
2.5,0.25,7,MLE,2.1687988162577394,1.4726842215009093,0.5566666666666666,300
2.5,0.25,7,WMLE,0.3119058264636159,0.558485296550962,0.0,300
2.5,0.25,10,LRE,0.4114494035678758,0.641443219285913,0.0,300
2.5,0.25,10,LSE,0.4599615139606657,0.6782046254344375,0.0,300
2.5,0.25,10,MDM-0.1,0.3162718424597511,0.5623805139402956,0.0,300
2.5,0.25,10,MLE,1.4197674224718078,1.1915399374220774,0.35,300
