selected_method,train_mean_loss,selector,fold,n,beta,gamma_over_eta
MDM-0.1,0.1730969385320523,cell,1,20.0,2.5,1.0
WMLE,0.2748763135212359,cell,1,7.0,3.0,0.1
WMLE,0.21793784478631237,cell,1,10.0,3.0,0.1
WMLE,0.18619172996345884,cell,1,15.0,3.0,0.1
WMLE,0.17004170283403902,cell,1,20.0,3.0,0.1
WMLE,0.33027096459402866,cell,1,7.0,3.0,0.25
WMLE,0.30116006252875327,cell,1,10.0,3.0,0.25
WMLE,0.23324687241059544,cell,1,15.0,3.0,0.25
MDM-0.1,0.18782718579473362,cell,1,20.0,3.0,0.25
WMLE,0.46569336276285445,cell,1,7.0,3.0,0.5
MDM-0.1,0.3376067085651931,cell,1,10.0,3.0,0.5
MDM-0.1,0.28158293643357807,cell,1,15.0,3.0,0.5
MDM-0.1,0.21447522432869998,cell,1,20.0,3.0,0.5
MDM-0.1,0.5267032991210578,cell,1,7.0,3.0,0.75
MDM-0.1,0.34920629265579123,cell,1,10.0,3.0,0.75
MDM-0.1,0.27320894752824026,cell,1,15.0,3.0,0.75
MDM-0.1,0.1994035192175068,cell,1,20.0,3.0,0.75
MDM-0.1,0.5404156795188928,cell,1,7.0,3.0,1.0
MDM-0.1,0.3588360548031869,cell,1,10.0,3.0,1.0
MDM-0.1,0.2591520784511806,cell,1,15.0,3.0,1.0
MDM-0.1,0.21408399983756027,cell,1,20.0,3.0,1.0
WMLE,0.3219831260503279,cell,1,7.0,3.5,0.1
WMLE,0.32172552585240216,cell,1,10.0,3.5,0.1
WMLE,0.2532347546326919,cell,1,15.0,3.5,0.1
WMLE,0.22118516651233036,cell,1,20.0,3.5,0.1
WMLE,0.36485705986040684,cell,1,7.0,3.5,0.25
WMLE,0.3450868906889956,cell,1,10.0,3.5,0.25
WMLE,0.28902492508648864,cell,1,15.0,3.5,0.25
MDM-0.1,0.24411422374937794,cell,1,20.0,3.5,0.25
WMLE,0.4113164176999589,cell,1,7.0,3.5,0.5
MDM-0.1,0.3856460935465,cell,1,10.0,3.5,0.5
MDM-0.1,0.3403121312498753,cell,1,15.0,3.5,0.5
MDM-0.1,0.25661821386329386,cell,1,20.0,3.5,0.5
WMLE,0.4742143918412569,cell,1,7.0,3.5,0.75
MDM-0.1,0.38941939368141903,cell,1,10.0,3.5,0.75
MDM-0.1,0.2962910516626994,cell,1,15.0,3.5,0.75
MDM-0.1,0.23684308399899898,cell,1,20.0,3.5,0.75
WMLE,0.504654211828526,cell,1,7.0,3.5,1.0
MDM-0.1,0.4132725991233842,cell,1,10.0,3.5,1.0
MDM-0.1,0.3056456768219089,cell,1,15.0,3.5,1.0
MDM-0.1,0.28476041694478976,cell,1,20.0,3.5,1.0
WMLE,0.40579213546592624,cell,1,7.0,4.0,0.1
WMLE,0.42157017100133065,cell,1,10.0,4.0,0.1
WMLE,0.34055724946774474,cell,1,15.0,4.0,0.1
WMLE,0.28919957906079624,cell,1,20.0,4.0,0.1
WMLE,0.4299864856631862,cell,1,7.0,4.0,0.25
WMLE,0.4324037740790442,cell,1,10.0,4.0,0.25
WMLE,0.33928188995431674,cell,1,15.0,4.0,0.25
WMLE,0.32784648151044976,cell,1,20.0,4.0,0.25
WMLE,0.48435828833304195,cell,1,7.0,4.0,0.5
WMLE,0.46795180261836217,cell,1,10.0,4.0,0.5
WMLE,0.3645679991503767,cell,1,15.0,4.0,0.5
MDM-0.1,0.2938378152411613,cell,1,20.0,4.0,0.5
WMLE,0.49902899702534675,cell,1,7.0,4.0,0.75
WMLE,0.47343118418636065,cell,1,10.0,4.0,0.75
MDM-0.1,0.36737498362486026,cell,1,15.0,4.0,0.75
MDM-0.1,0.3034823998518915,cell,1,20.0,4.0,0.75
WMLE,0.5527783404373063,cell,1,7.0,4.0,1.0
WMLE,0.47220890171762664,cell,1,10.0,4.0,1.0
MDM-0.1,0.3521698553443124,cell,1,15.0,4.0,1.0
MDM-0.1,0.29966052708343205,cell,1,20.0,4.0,1.0
WMLE,0.4666640475768275,cell,1,7.0,4.5,0.1
WMLE,0.44744759499894093,cell,1,10.0,4.5,0.1
LSE,0.36813555748292054,cell,1,15.0,4.5,0.1
LSE,0.30764794271559354,cell,1,20.0,4.5,0.1
WMLE,0.519567734724967,cell,1,7.0,4.5,0.25
WMLE,0.506264053939143,cell,1,10.0,4.5,0.25
WMLE,0.3826754781009157,cell,1,15.0,4.5,0.25
WMLE,0.34083286553568964,cell,1,20.0,4.5,0.25
WMLE,0.5535993860302121,cell,1,7.0,4.5,0.5
WMLE,0.5091905843431385,cell,1,10.0,4.5,0.5
WMLE,0.42171916157944916,cell,1,15.0,4.5,0.5
WMLE,0.365370695434604,cell,1,20.0,4.5,0.5
WMLE,0.5554523825570326,cell,1,7.0,4.5,0.75
WMLE,0.5012769786588864,cell,1,10.0,4.5,0.75
WMLE,0.4294360605034479,cell,1,15.0,4.5,0.75
WMLE,0.3822926015549959,cell,1,20.0,4.5,0.75
WMLE,0.5414219200671799,cell,1,7.0,4.5,1.0
WMLE,0.5400755857548296,cell,1,10.0,4.5,1.0
WMLE,0.41729047404355923,cell,1,15.0,4.5,1.0
WMLE,0.3355323425827698,cell,1,20.0,4.5,1.0
WMLE,0.5795237386000267,cell,1,7.0,5.0,0.1
LSE,0.5410304102574471,cell,1,10.0,5.0,0.1
LSE,0.4723014346136673,cell,1,15.0,5.0,0.1
LSE,0.32142761845500883,cell,1,20.0,5.0,0.1
WMLE,0.5465235777224486,cell,1,7.0,5.0,0.25
WMLE,0.6272611273103853,cell,1,10.0,5.0,0.25
WMLE,0.4847817694409708,cell,1,15.0,5.0,0.25
WMLE,0.3960278226438227,cell,1,20.0,5.0,0.25
WMLE,0.5999828951878795,cell,1,7.0,5.0,0.5
WMLE,0.5364466865705154,cell,1,10.0,5.0,0.5
WMLE,0.4752716040058185,cell,1,15.0,5.0,0.5
WMLE,0.41816325531618154,cell,1,20.0,5.0,0.5
WMLE,0.6605195056404435,cell,1,7.0,5.0,0.75
WMLE,0.5479272979974449,cell,1,10.0,5.0,0.75
WMLE,0.47643659134206434,cell,1,15.0,5.0,0.75
WMLE,0.4324105141857673,cell,1,20.0,5.0,0.75
WMLE,0.5791523754767416,cell,1,7.0,5.0,1.0
WMLE,0.6188397228574943,cell,1,10.0,5.0,1.0
WMLE,0.46708694096993814,cell,1,15.0,5.0,1.0
WMLE,0.4444959273935582,cell,1,20.0,5.0,1.0
WMLE,0.2651241332562453,cell,2,7.0,1.5,0.1
WMLE,0.19629014569155542,cell,2,10.0,1.5,0.1
MDM-0.1,0.1418852340437198,cell,2,15.0,1.5,0.1
MDM-0.1,0.10100510028945284,cell,2,20.0,1.5,0.1
MDM-0.1,0.3867289877088466,cell,2,7.0,1.5,0.25
MDM-0.1,0.31817898421278673,cell,2,10.0,1.5,0.25
MDM-0.1,0.18349735107558388,cell,2,15.0,1.5,0.25
MDM-0.1,0.1424300106991095,cell,2,20.0,1.5,0.25
MDM-0.1,0.6329645877295998,cell,2,7.0,1.5,0.5
MDM-0.1,0.3442790213949887,cell,2,10.0,1.5,0.5
MDM-0.1,0.2110298266922633,cell,2,15.0,1.5,0.5
MDM-0.1,0.161016973370868,cell,2,20.0,1.5,0.5
MDM-0.1,0.589852476386458,cell,2,7.0,1.5,0.75
MDM-0.1,0.3623648602542575,cell,2,10.0,1.5,0.75
MDM-0.1,0.2281578826287667,cell,2,15.0,1.5,0.75
MDM-0.1,0.1667112126194482,cell,2,20.0,1.5,0.75
MDM-0.1,0.5060038642807081,cell,2,7.0,1.5,1.0
MDM-0.1,0.3375036988993346,cell,2,10.0,1.5,1.0
MDM-0.1,0.24112505002823387,cell,2,15.0,1.5,1.0
MDM-0.1,0.15459708188197074,cell,2,20.0,1.5,1.0
WMLE,0.25021542773865557,cell,2,7.0,2.0,0.1
WMLE,0.1705289937986581,cell,2,10.0,2.0,0.1
WMLE,0.12993907148264125,cell,2,15.0,2.0,0.1
WMLE,0.10285747803171094,cell,2,20.0,2.0,0.1
WMLE,0.3961792069639885,cell,2,7.0,2.0,0.25
MDM-0.1,0.25501185826234396,cell,2,10.0,2.0,0.25
MDM-0.1,0.19536076122813728,cell,2,15.0,2.0,0.25
MDM-0.1,0.1465472704118443,cell,2,20.0,2.0,0.25
MDM-0.1,0.5335722665463751,cell,2,7.0,2.0,0.5
MDM-0.1,0.35714632846645067,cell,2,10.0,2.0,0.5
MDM-0.1,0.224851083709621,cell,2,15.0,2.0,0.5
MDM-0.1,0.1587246765044841,cell,2,20.0,2.0,0.5
MDM-0.1,0.4278430629520355,cell,2,7.0,2.0,0.75
MDM-0.1,0.3239363979250349,cell,2,10.0,2.0,0.75
MDM-0.1,0.25333567639211446,cell,2,15.0,2.0,0.75
MDM-0.1,0.1601320131962694,cell,2,20.0,2.0,0.75
MDM-0.1,0.45394759210470764,cell,2,7.0,2.0,1.0
MDM-0.1,0.30774251753548704,cell,2,10.0,2.0,1.0
MDM-0.1,0.21299056765166755,cell,2,15.0,2.0,1.0
MDM-0.1,0.17334770549327944,cell,2,20.0,2.0,1.0
WMLE,0.22120686469769948,cell,2,7.0,2.5,0.1
WMLE,0.15305821859940236,cell,2,10.0,2.5,0.1
WMLE,0.1236245787754009,cell,2,15.0,2.5,0.1
WMLE,0.11196717106461859,cell,2,20.0,2.5,0.1
WMLE,0.3076088246725568,cell,2,7.0,2.5,0.25
WMLE,0.27247400464076116,cell,2,10.0,2.5,0.25
MDM-0.1,0.212611911018492,cell,2,15.0,2.5,0.25
MDM-0.1,0.15761827508297224,cell,2,20.0,2.5,0.25
MDM-0.1,0.3943170866171448,cell,2,7.0,2.5,0.5
MDM-0.1,0.3194003951506424,cell,2,10.0,2.5,0.5
MDM-0.1,0.20509801196420696,cell,2,15.0,2.5,0.5
MDM-0.1,0.17622313787082533,cell,2,20.0,2.5,0.5
MDM-0.1,0.5228679438778855,cell,2,7.0,2.5,0.75
MDM-0.1,0.35101823286119027,cell,2,10.0,2.5,0.75
MDM-0.1,0.20206914312404362,cell,2,15.0,2.5,0.75
MDM-0.1,0.18552073674070585,cell,2,20.0,2.5,0.75
MDM-0.1,0.4098474626287577,cell,2,7.0,2.5,1.0
MDM-0.1,0.3119736573292379,cell,2,10.0,2.5,1.0
MDM-0.1,0.2227127104453696,cell,2,15.0,2.5,1.0
MDM-0.1,0.17248162281100274,cell,2,20.0,2.5,1.0
WMLE,0.2790943652908047,cell,2,7.0,3.0,0.1
WMLE,0.22899209958507438,cell,2,10.0,3.0,0.1
WMLE,0.18642019814818375,cell,2,15.0,3.0,0.1
WMLE,0.18174768304898278,cell,2,20.0,3.0,0.1
WMLE,0.3251566272373779,cell,2,7.0,3.0,0.25
WMLE,0.29833142624346587,cell,2,10.0,3.0,0.25
MDM-0.1,0.24098088309903212,cell,2,15.0,3.0,0.25
MDM-0.1,0.19061387039017585,cell,2,20.0,3.0,0.25
WMLE,0.475712921257083,cell,2,7.0,3.0,0.5
MDM-0.1,0.3284489335082014,cell,2,10.0,3.0,0.5
MDM-0.1,0.2909402101651615,cell,2,15.0,3.0,0.5
MDM-0.1,0.21197318489922096,cell,2,20.0,3.0,0.5
MDM-0.1,0.47665930107004667,cell,2,7.0,3.0,0.75
MDM-0.1,0.36255060475323725,cell,2,10.0,3.0,0.75
MDM-0.1,0.2762525623981815,cell,2,15.0,3.0,0.75
MDM-0.1,0.21738800099309594,cell,2,20.0,3.0,0.75
MDM-0.1,0.5380689491623092,cell,2,7.0,3.0,1.0
MDM-0.1,0.3582704655931442,cell,2,10.0,3.0,1.0
MDM-0.1,0.2714731130335686,cell,2,15.0,3.0,1.0
MDM-0.1,0.22264604557495274,cell,2,20.0,3.0,1.0
WMLE,0.33781397960015175,cell,2,7.0,3.5,0.1
WMLE,0.3240144226163165,cell,2,10.0,3.5,0.1
WMLE,0.23986164486792694,cell,2,15.0,3.5,0.1
WMLE,0.21806232472681025,cell,2,20.0,3.5,0.1
WMLE,0.35580443131515926,cell,2,7.0,3.5,0.25
WMLE,0.34209020256480505,cell,2,10.0,3.5,0.25
MDM-0.1,0.28899530744894647,cell,2,15.0,3.5,0.25
MDM-0.1,0.22587140761188235,cell,2,20.0,3.5,0.25
WMLE,0.4273859302137753,cell,2,7.0,3.5,0.5
MDM-0.1,0.4085619241412649,cell,2,10.0,3.5,0.5
MDM-0.1,0.3076571052441418,cell,2,15.0,3.5,0.5
MDM-0.1,0.25720452306161073,cell,2,20.0,3.5,0.5
WMLE,0.49573588996824697,cell,2,7.0,3.5,0.75
MDM-0.1,0.38241362064277973,cell,2,10.0,3.5,0.75
MDM-0.1,0.28445029720333814,cell,2,15.0,3.5,0.75
MDM-0.1,0.2381980708881536,cell,2,20.0,3.5,0.75
WMLE,0.51075198124842,cell,2,7.0,3.5,1.0
MDM-0.1,0.43531843476128906,cell,2,10.0,3.5,1.0
MDM-0.1,0.28638164044476805,cell,2,15.0,3.5,1.0
MDM-0.1,0.24436767111514834,cell,2,20.0,3.5,1.0
WMLE,0.40471367994905766,cell,2,7.0,4.0,0.1
WMLE,0.41775580361142306,cell,2,10.0,4.0,0.1
LSE,0.34633488227195813,cell,2,15.0,4.0,0.1
LSE,0.27976143091484595,cell,2,20.0,4.0,0.1
WMLE,0.44133489570409146,cell,2,7.0,4.0,0.25
WMLE,0.42367513308341986,cell,2,10.0,4.0,0.25
WMLE,0.34554563589850584,cell,2,15.0,4.0,0.25
WMLE,0.34846488800894604,cell,2,20.0,4.0,0.25
WMLE,0.46282314318176626,cell,2,7.0,4.0,0.5
WMLE,0.4931898065320829,cell,2,10.0,4.0,0.5
WMLE,0.3521161895090911,cell,2,15.0,4.0,0.5
MDM-0.1,0.3018835112554042,cell,2,20.0,4.0,0.5
WMLE,0.5407258545985647,cell,2,7.0,4.0,0.75
MDM-0.1,0.4834534098036963,cell,2,10.0,4.0,0.75
MDM-0.1,0.38076177011306755,cell,2,15.0,4.0,0.75
MDM-0.1,0.2939672874421504,cell,2,20.0,4.0,0.75
WMLE,0.5712617594746923,cell,2,7.0,4.0,1.0
WMLE,0.4483098966028016,cell,2,10.0,4.0,1.0
WMLE,0.3700109100529142,cell,2,15.0,4.0,1.0
MDM-0.1,0.27902546168175324,cell,2,20.0,4.0,1.0
WMLE,0.48303120961554763,cell,2,7.0,4.5,0.1
WMLE,0.43320719957703663,cell,2,10.0,4.5,0.1
LSE,0.3695981902020289,cell,2,15.0,4.5,0.1
LSE,0.3064433664596507,cell,2,20.0,4.5,0.1
WMLE,0.49725655997824675,cell,2,7.0,4.5,0.25
WMLE,0.509296080221845,cell,2,10.0,4.5,0.25
WMLE,0.3885050128267454,cell,2,15.0,4.5,0.25
WMLE,0.35294907812058723,cell,2,20.0,4.5,0.25
WMLE,0.5687205766948448,cell,2,7.0,4.5,0.5
WMLE,0.5058716792809325,cell,2,10.0,4.5,0.5
WMLE,0.4249647140560129,cell,2,15.0,4.5,0.5
WMLE,0.3283007858053017,cell,2,20.0,4.5,0.5
WMLE,0.5561444853283192,cell,2,7.0,4.5,0.75
WMLE,0.4976547147377111,cell,2,10.0,4.5,0.75
WMLE,0.4435149088298162,cell,2,15.0,4.5,0.75
WMLE,0.3741009967534973,cell,2,20.0,4.5,0.75
WMLE,0.5531728549606629,cell,2,7.0,4.5,1.0
WMLE,0.5235958289013773,cell,2,10.0,4.5,1.0
WMLE,0.3952411666290201,cell,2,15.0,4.5,1.0
WMLE,0.35994367579988146,cell,2,20.0,4.5,1.0
WMLE,0.5543169701996933,cell,2,7.0,5.0,0.1
LSE,0.5456366970757832,cell,2,10.0,5.0,0.1
LSE,0.4793189859332157,cell,2,15.0,5.0,0.1
LSE,0.3319252477289593,cell,2,20.0,5.0,0.1
WMLE,0.568419643029728,cell,2,7.0,5.0,0.25
WMLE,0.6446779519304632,cell,2,10.0,5.0,0.25
WMLE,0.45894849909965046,cell,2,15.0,5.0,0.25
WMLE,0.36118908272900185,cell,2,20.0,5.0,0.25
WMLE,0.6311864327819616,cell,2,7.0,5.0,0.5
WMLE,0.5613760428629203,cell,2,10.0,5.0,0.5
WMLE,0.4611574180491915,cell,2,15.0,5.0,0.5
WMLE,0.44170179120694325,cell,2,20.0,5.0,0.5
WMLE,0.6463466821583649,cell,2,7.0,5.0,0.75
WMLE,0.5826601091973616,cell,2,10.0,5.0,0.75
WMLE,0.5096176304572488,cell,2,15.0,5.0,0.75
WMLE,0.4310706455404725,cell,2,20.0,5.0,0.75
WMLE,0.5785697044517619,cell,2,7.0,5.0,1.0
WMLE,0.6250033381636521,cell,2,10.0,5.0,1.0
WMLE,0.45941312321393163,cell,2,15.0,5.0,1.0
WMLE,0.45036831147095857,cell,2,20.0,5.0,1.0
WMLE,0.2840097104083648,cell,3,7.0,1.5,0.1
MDM-0.1,0.20020491945811933,cell,3,10.0,1.5,0.1
MDM-0.1,0.15018374485966351,cell,3,15.0,1.5,0.1
WMLE,0.0972614863398385,cell,3,20.0,1.5,0.1
MDM-0.1,0.3858675845876658,cell,3,7.0,1.5,0.25
MDM-0.1,0.3233686049709198,cell,3,10.0,1.5,0.25
MDM-0.1,0.1880824078120594,cell,3,15.0,1.5,0.25
MDM-0.1,0.14689341972479555,cell,3,20.0,1.5,0.25
MDM-0.1,0.6360268216789858,cell,3,7.0,1.5,0.5
MDM-0.1,0.35117599900103014,cell,3,10.0,1.5,0.5
MDM-0.1,0.22608674394011716,cell,3,15.0,1.5,0.5
MDM-0.1,0.1616216662695073,cell,3,20.0,1.5,0.5
MDM-0.1,0.925814554362475,cell,3,7.0,1.5,0.75
MDM-0.1,0.3493176592220699,cell,3,10.0,1.5,0.75
MDM-0.1,0.24989198150650355,cell,3,15.0,1.5,0.75
MDM-0.1,0.15887526658620704,cell,3,20.0,1.5,0.75
MDM-0.1,0.5021440154555242,cell,3,7.0,1.5,1.0
MDM-0.1,0.3491188912536911,cell,3,10.0,1.5,1.0
MDM-0.1,0.2418619422835699,cell,3,15.0,1.5,1.0
MDM-0.1,0.15740210479809236,cell,3,20.0,1.5,1.0
WMLE,0.2442388937386264,cell,3,7.0,2.0,0.1
WMLE,0.16799963494802586,cell,3,10.0,2.0,0.1
WMLE,0.1272903628507651,cell,3,15.0,2.0,0.1
WMLE,0.09510405783873624,cell,3,20.0,2.0,0.1
MDM-0.1,0.3638866299137265,cell,3,7.0,2.0,0.25
MDM-0.1,0.27724970163419066,cell,3,10.0,2.0,0.25
MDM-0.1,0.20565523968017846,cell,3,15.0,2.0,0.25
MDM-0.1,0.15144999636167072,cell,3,20.0,2.0,0.25
MDM-0.1,0.5546108475917347,cell,3,7.0,2.0,0.5
MDM-0.1,0.3411715390469071,cell,3,10.0,2.0,0.5
MDM-0.1,0.22885367474736162,cell,3,15.0,2.0,0.5
MDM-0.1,0.16256020903087748,cell,3,20.0,2.0,0.5
MDM-0.1,0.4317598666855133,cell,3,7.0,2.0,0.75
MDM-0.1,0.31868180946097807,cell,3,10.0,2.0,0.75
MDM-0.1,0.2421007434656852,cell,3,15.0,2.0,0.75
MDM-0.1,0.15900996690308083,cell,3,20.0,2.0,0.75
MDM-0.1,0.4520513063718133,cell,3,7.0,2.0,1.0
MDM-0.1,0.2878255571046993,cell,3,10.0,2.0,1.0
MDM-0.1,0.23412761364157825,cell,3,15.0,2.0,1.0
MDM-0.1,0.1820128296754149,cell,3,20.0,2.0,1.0
WMLE,0.22301177268937356,cell,3,7.0,2.5,0.1
WMLE,0.14727395881544753,cell,3,10.0,2.5,0.1
WMLE,0.13848541517956614,cell,3,15.0,2.5,0.1
WMLE,0.10330277423522297,cell,3,20.0,2.5,0.1
WMLE,0.3184383481013875,cell,3,7.0,2.5,0.25
WMLE,0.2773823580564542,cell,3,10.0,2.5,0.25
MDM-0.1,0.2092513736888035,cell,3,15.0,2.5,0.25
MDM-0.1,0.1519050655275855,cell,3,20.0,2.5,0.25
MDM-0.1,0.38691743017301744,cell,3,7.0,2.5,0.5
MDM-0.1,0.32710541820143885,cell,3,10.0,2.5,0.5
MDM-0.1,0.2258808635499575,cell,3,15.0,2.5,0.5
MDM-0.1,0.17387869123812577,cell,3,20.0,2.5,0.5
MDM-0.1,0.5272548405956494,cell,3,7.0,2.5,0.75
MDM-0.1,0.35133832614979765,cell,3,10.0,2.5,0.75
MDM-0.1,0.20370865214564957,cell,3,15.0,2.5,0.75
MDM-0.1,0.1749947777865029,cell,3,20.0,2.5,0.75
MDM-0.1,0.40612211116742375,cell,3,7.0,2.5,1.0
MDM-0.1,0.3203089525977512,cell,3,10.0,2.5,1.0
MDM-0.1,0.23221369882805437,cell,3,15.0,2.5,1.0
MDM-0.1,0.17981274872702582,cell,3,20.0,2.5,1.0
WMLE,0.2679707420447043,cell,3,7.0,3.0,0.1
WMLE,0.21723232777039989,cell,3,10.0,3.0,0.1
WMLE,0.18540717178933405,cell,3,15.0,3.0,0.1
WMLE,0.1897979474717713,cell,3,20.0,3.0,0.1
WMLE,0.3098165562902073,cell,3,7.0,3.0,0.25
WMLE,0.29001446438744566,cell,3,10.0,3.0,0.25
WMLE,0.24035788805116545,cell,3,15.0,3.0,0.25
MDM-0.1,0.18629409682174952,cell,3,20.0,3.0,0.25
WMLE,0.47033875366175637,cell,3,7.0,3.0,0.5
MDM-0.1,0.34101455135122205,cell,3,10.0,3.0,0.5
MDM-0.1,0.29171144821739564,cell,3,15.0,3.0,0.5
MDM-0.1,0.2167775572612435,cell,3,20.0,3.0,0.5
MDM-0.1,0.47410683536633164,cell,3,7.0,3.0,0.75
MDM-0.1,0.35546463747746143,cell,3,10.0,3.0,0.75
MDM-0.1,0.2668748824204293,cell,3,15.0,3.0,0.75
MDM-0.1,0.21428601011567414,cell,3,20.0,3.0,0.75
MDM-0.1,0.5547664912762122,cell,3,7.0,3.0,1.0
MDM-0.1,0.3448024314861235,cell,3,10.0,3.0,1.0
MDM-0.1,0.26751192002297214,cell,3,15.0,3.0,1.0
MDM-0.1,0.1997240977628203,cell,3,20.0,3.0,1.0
WMLE,0.32225093447906417,cell,3,7.0,3.5,0.1
WMLE,0.3296697438451723,cell,3,10.0,3.5,0.1
WMLE,0.243567608931623,cell,3,15.0,3.5,0.1
WMLE,0.22417212751369014,cell,3,20.0,3.5,0.1
WMLE,0.36661192343230126,cell,3,7.0,3.5,0.25
WMLE,0.3524159702000801,cell,3,10.0,3.5,0.25
WMLE,0.28952107023580315,cell,3,15.0,3.5,0.25
MDM-0.1,0.23749141514515906,cell,3,20.0,3.5,0.25
WMLE,0.428417670961755,cell,3,7.0,3.5,0.5
WMLE,0.3956395041608659,cell,3,10.0,3.5,0.5
MDM-0.1,0.3201222838355307,cell,3,15.0,3.5,0.5
MDM-0.1,0.2446385160196738,cell,3,20.0,3.5,0.5
WMLE,0.48121020381377594,cell,3,7.0,3.5,0.75
MDM-0.1,0.3832750571998444,cell,3,10.0,3.5,0.75
MDM-0.1,0.3112074247078235,cell,3,15.0,3.5,0.75
MDM-0.1,0.23369347242204946,cell,3,20.0,3.5,0.75
WMLE,0.521076432584812,cell,3,7.0,3.5,1.0
MDM-0.1,0.3995485836127081,cell,3,10.0,3.5,1.0
MDM-0.1,0.2950014440877338,cell,3,15.0,3.5,1.0
MDM-0.1,0.27202600389894527,cell,3,20.0,3.5,1.0
WMLE,0.412452967218713,cell,3,7.0,4.0,0.1
WMLE,0.41320819508194995,cell,3,10.0,4.0,0.1
WMLE,0.32936825283282195,cell,3,15.0,4.0,0.1
LSE,0.28607977359434333,cell,3,20.0,4.0,0.1
WMLE,0.41570346412889936,cell,3,7.0,4.0,0.25
WMLE,0.4197240906867949,cell,3,10.0,4.0,0.25
WMLE,0.3451101631160621,cell,3,15.0,4.0,0.25
WMLE,0.34180660699974474,cell,3,20.0,4.0,0.25
WMLE,0.46346636659045687,cell,3,7.0,4.0,0.5
WMLE,0.47966586438355546,cell,3,10.0,4.0,0.5
WMLE,0.3762418715890765,cell,3,15.0,4.0,0.5
MDM-0.1,0.27631714541461844,cell,3,20.0,4.0,0.5
WMLE,0.5288497168600552,cell,3,7.0,4.0,0.75
WMLE,0.4641078222059989,cell,3,10.0,4.0,0.75
MDM-0.1,0.39792669880922144,cell,3,15.0,4.0,0.75
MDM-0.1,0.3141677027685222,cell,3,20.0,4.0,0.75
WMLE,0.563456359564648,cell,3,7.0,4.0,1.0
WMLE,0.48001694365464936,cell,3,10.0,4.0,1.0
WMLE,0.34605646170330395,cell,3,15.0,4.0,1.0
MDM-0.1,0.27914850071876446,cell,3,20.0,4.0,1.0
WMLE,0.5041348514298339,cell,3,7.0,4.5,0.1
WMLE,0.4462764411276815,cell,3,10.0,4.5,0.1
LSE,0.3740101453527364,cell,3,15.0,4.5,0.1
LSE,0.29261747045265546,cell,3,20.0,4.5,0.1
WMLE,0.5184840738480995,cell,3,7.0,4.5,0.25
WMLE,0.5089711688132014,cell,3,10.0,4.5,0.25
WMLE,0.39655126051406225,cell,3,15.0,4.5,0.25
WMLE,0.333595742550565,cell,3,20.0,4.5,0.25
WMLE,0.5499696490391309,cell,3,7.0,4.5,0.5
WMLE,0.5079114062892344,cell,3,10.0,4.5,0.5
WMLE,0.4140624255131337,cell,3,15.0,4.5,0.5
WMLE,0.3505681170253332,cell,3,20.0,4.5,0.5
WMLE,0.5571831616182826,cell,3,7.0,4.5,0.75
WMLE,0.4743802304872071,cell,3,10.0,4.5,0.75
WMLE,0.4353919296712008,cell,3,15.0,4.5,0.75
WMLE,0.38808488523793927,cell,3,20.0,4.5,0.75
WMLE,0.5399866100708604,cell,3,7.0,4.5,1.0
WMLE,0.5079792210449637,cell,3,10.0,4.5,1.0
WMLE,0.42602257680899935,cell,3,15.0,4.5,1.0
WMLE,0.34820188619045805,cell,3,20.0,4.5,1.0
WMLE,0.588707744261694,cell,3,7.0,5.0,0.1
LSE,0.5291487451689049,cell,3,10.0,5.0,0.1
LSE,0.47765016594464876,cell,3,15.0,5.0,0.1
LSE,0.3019426482302055,cell,3,20.0,5.0,0.1
WMLE,0.5702422323889059,cell,3,7.0,5.0,0.25
WMLE,0.6256579564193312,cell,3,10.0,5.0,0.25
WMLE,0.48072127852404256,cell,3,15.0,5.0,0.25
WMLE,0.3784061901571093,cell,3,20.0,5.0,0.25
WMLE,0.6138373646229416,cell,3,7.0,5.0,0.5
WMLE,0.5445656704662201,cell,3,10.0,5.0,0.5
WMLE,0.46311558640373873,cell,3,15.0,5.0,0.5
WMLE,0.42878244259926857,cell,3,20.0,5.0,0.5
WMLE,0.6395100075082957,cell,3,7.0,5.0,0.75
WMLE,0.54934079972874,cell,3,10.0,5.0,0.75
WMLE,0.5151907507223533,cell,3,15.0,5.0,0.75
WMLE,0.44124991723801876,cell,3,20.0,5.0,0.75
WMLE,0.5647732930900431,cell,3,7.0,5.0,1.0
WMLE,0.6175790709555778,cell,3,10.0,5.0,1.0
WMLE,0.47287937163747734,cell,3,15.0,5.0,1.0
WMLE,0.46651871104122195,cell,3,20.0,5.0,1.0
WMLE,0.29761159495271994,cell,4,7.0,1.5,0.1
MDM-0.1,0.20276178201244152,cell,4,10.0,1.5,0.1
MDM-0.1,0.13859279090811447,cell,4,15.0,1.5,0.1
WMLE,0.10923028466872661,cell,4,20.0,1.5,0.1
MDM-0.1,0.3944994065414199,cell,4,7.0,1.5,0.25
MDM-0.1,0.2979794238882894,cell,4,10.0,1.5,0.25
MDM-0.1,0.17582795389476097,cell,4,15.0,1.5,0.25
MDM-0.1,0.1493220327150009,cell,4,20.0,1.5,0.25
MDM-0.1,0.6131895996772327,cell,4,7.0,1.5,0.5
MDM-0.1,0.38570119411279624,cell,4,10.0,1.5,0.5
MDM-0.1,0.23949632581297386,cell,4,15.0,1.5,0.5
MDM-0.1,0.16211586090683544,cell,4,20.0,1.5,0.5
