beta,n,gamma_eta,rep,method,loss_i
1.5,7,0.1,81,oracle,0.2933164884757778
1.5,7,0.1,81,mdm0,0.2933164884757778
1.5,7,0.1,81,dual,0.2933164884757778
1.5,7,0.1,81,lmom,0.2933164884757778
1.5,7,0.1,81,wmle,0.2933164884757778
1.5,7,0.1,82,oracle,1.135813940996
1.5,7,0.1,82,mdm0,1.135813940996
1.5,7,0.1,82,dual,1.135813940996
1.5,7,0.1,82,wmle,1.09833724007
1.5,7,0.1,83,oracle,0.01593466044311112
1.5,7,0.1,83,mdm0,0.01593466044311112
1.5,7,0.1,83,dual,0.01593466044311112
1.5,7,0.1,83,wmle,0.01593466044311112
1.5,7,0.1,84,oracle,0.08582889172777776
1.5,7,0.1,84,mdm0,0.08582889172777776
1.5,7,0.1,84,dual,0.08582889172777776
1.5,7,0.1,84,lmom,0.08582889172777776
1.5,7,0.1,84,wmle,0.08582889172777776
1.5,7,0.1,85,oracle,0.34038020284411113
1.5,7,0.1,85,mdm0,0.26900432340711117
1.5,7,0.1,85,dual,0.34038020284411113
1.5,7,0.1,85,lmom,0.26900432340711117
1.5,7,0.1,85,wmle,0.26900432340711117
1.5,7,0.1,86,oracle,0.16770929882411117
1.5,7,0.1,86,mdm0,0.2522373450049999
1.5,7,0.1,86,dual,0.2522373450049999
1.5,7,0.1,86,wmle,0.2522373450049999
1.5,7,0.1,87,oracle,1.0119932572237778
1.5,7,0.1,87,mdm0,1.0119932572237778
1.5,7,0.1,87,dual,1.0119932572237778
1.5,7,0.1,87,wmle,0.9903630479997777
1.5,7,0.1,88,oracle,0.17041925052844442
1.5,7,0.1,88,mdm0,0.17041925052844442
1.5,7,0.1,88,dual,0.17041925052844442
1.5,7,0.1,88,lmom,0.12601594460277776
1.5,7,0.1,88,wmle,0.12601594460277776
1.5,7,0.1,89,oracle,0.777616527785
1.5,7,0.1,89,mdm0,0.777616527785
1.5,7,0.1,89,dual,0.777616527785
1.5,7,0.1,89,wmle,0.704899111116
1.5,7,0.1,90,oracle,0.0698014166497778
1.5,7,0.1,90,mdm0,0.18362976336944442
1.5,7,0.1,90,dual,0.18362976336944442
1.5,7,0.1,90,wmle,0.18362976336944442
1.5,7,0.1,91,oracle,0.023032761408
1.5,7,0.1,91,mdm0,0.023032761408
1.5,7,0.1,91,dual,0.023032761408
1.5,7,0.1,91,lmom,0.023032761408
1.5,7,0.1,91,wmle,0.023032761408
1.5,7,0.1,92,oracle,0.02236998166499999
1.5,7,0.1,92,mdm0,0.02236998166499999
1.5,7,0.1,92,dual,0.02236998166499999
1.5,7,0.1,92,wmle,0.02236998166499999
1.5,7,0.1,93,oracle,0.0759565879067778
1.5,7,0.1,93,mdm0,0.0759565879067778
1.5,7,0.1,93,dual,0.0759565879067778
1.5,7,0.1,93,lmom,0.0759565879067778
