contract,script_sha256,target,n,fold,seed,train_rows,test_rows,n_iter,runtime_s
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,15,5,42,9600,2400,45,4.589252948760986
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,15,5,2026,9600,2400,52,5.45596981048584
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,15,5,3407,9600,2400,46,5.122503042221069
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,20,1,42,9600,2400,45,4.810898780822754
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,20,1,2026,9600,2400,42,4.178131580352783
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,20,1,3407,9600,2400,50,5.312751293182373
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,20,2,42,9600,2400,48,4.8004655838012695
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,20,2,2026,9600,2400,43,4.324507236480713
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,20,2,3407,9600,2400,43,5.2071533203125
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,20,3,42,9600,2400,40,6.150863170623779
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,20,3,2026,9600,2400,42,7.516542196273804
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,20,3,3407,9600,2400,42,7.307612895965576
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,20,4,42,9600,2400,51,5.322455406188965
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,20,4,2026,9600,2400,42,4.330335855484009
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,20,4,3407,9600,2400,43,4.390482664108276
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,20,5,42,9600,2400,46,4.906292676925659
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,20,5,2026,9600,2400,43,4.526660442352295
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,oracle_regret,20,5,3407,9600,2400,42,4.501923084259033
