beta,gamma_eta_ratio,eta,gamma,n,repeat_id,primary_class,high_has_root,low_geom_has_root,low_uniform_has_root,grid_gradient_has_root,min_abs_g_minus_offset,g_min,g_max,boundary_fraction,multipeak_fraction,beta_unstable,gradient_noise_suspect
1.5,0.0,1000.0,0.0,20,6,strict_root,True,True,True,True,0.006980724700786603,-0.31737077199274777,2.806265770600985,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,20,7,all_above_offset,False,False,False,False,0.10080967015285547,0.20080967015285547,1.9413838985542546,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,20,8,all_above_offset,False,False,False,False,1.3941635401116237,1.4941635401116238,3.0672067352727197,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,20,9,all_above_offset,False,False,False,False,0.2115126641049437,0.3115126641049437,1.3961448774876504,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,20,10,all_above_offset,False,False,False,False,0.13810771840193614,0.23810771840193615,7.394269225344273,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,20,11,strict_root,True,True,True,True,0.030038080308302156,-0.030712111620836313,3.3389998981552114,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,20,12,strict_root,True,True,True,True,0.30566547992691995,-1.4975442835032153,11.676859442735658,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,20,13,all_above_offset,False,False,False,False,4.980049208722898,5.0800492087228974,5.254217515753726,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,20,14,all_above_offset,False,False,False,False,1.5028824075439586,1.6028824075439587,1.7308606904012107,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,20,15,strict_root,True,True,True,True,0.0060145984217423315,-0.32247968913228414,3.072916071796379,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,20,16,strict_root,True,True,True,True,0.11106749322095227,-0.31230056457147226,10.979724128917168,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,20,17,strict_root,True,True,True,True,0.06197495446618084,-0.5533727566735569,4.695663477116931,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,20,18,strict_root,True,True,True,True,0.0496709820062942,-0.3544592601098296,3.663301475914147,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,20,19,all_above_offset,False,False,False,False,0.05161606358488402,0.15161606358488403,2.35715050429956,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,30,0,strict_root,True,True,True,True,0.06025215849504977,-0.5154039891802896,5.876145570877461,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,30,1,strict_root,True,True,True,True,0.024047035157351168,-0.6213681616092961,4.071308000908334,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,30,2,all_above_offset,False,False,False,False,1.9914893184148794,2.0914893184148795,2.3779010866917876,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,30,3,all_above_offset,False,False,False,False,0.7135488131461256,0.8135488131461256,1.7116058136913292,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,30,4,strict_root,True,True,True,True,0.003447323440539038,-0.044386290425708415,2.4844625820098654,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,30,5,strict_root,True,True,True,True,0.022002544192232562,-0.1503091160864579,5.005126204791599,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,30,6,strict_root,True,True,True,True,0.03700240077386163,-0.4757648346606318,4.169268731494987,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,30,7,strict_root,True,True,True,True,0.008319733907538956,-0.257026714946341,2.137689888636385,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,30,8,strict_root,True,True,True,True,0.11883562647606616,-0.6885679490725516,6.099055688589724,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,30,9,all_above_offset,False,False,False,False,2.5883370458625476,2.6883370458625477,2.7195664485014044,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,30,10,strict_root,True,True,True,True,0.019509798114811364,0.08049020188518864,2.0648310600115,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,30,11,strict_root,True,True,True,True,0.052343949288103625,-0.38669312666601646,2.53331574814568,0.0,0.0,False,False
